iter	MultiClass
0	1.026288025
1	0.9450158477
2	0.8910477211
3	0.8553290616
4	0.8064357584
5	0.7791766017
6	0.7471252234
7	0.7267511555
8	0.6982178302
9	0.6778434685
10	0.6623182929
11	0.6501394965
12	0.6404530664
13	0.6308774355
14	0.6224556673
15	0.6075679835
16	0.5958763172
17	0.5918361413
18	0.5802130982
19	0.5705402584
20	0.5544737589
21	0.5488961939
22	0.5397934232
23	0.5369534632
24	0.5261317352
25	0.5244085768
26	0.5197596079
27	0.5140439629
28	0.5077068563
29	0.4989680689
30	0.493966831
31	0.4848039943
32	0.4783810035
33	0.4750049505
34	0.4679457866
35	0.4612249847
36	0.4594756297
37	0.453820346
38	0.4510157338
39	0.4489097257
40	0.4445899095
41	0.4343738724
42	0.4326813335
43	0.430033603
44	0.4272615423
45	0.4215382169
46	0.4132332678
47	0.4104709513
48	0.4073100006
49	0.4051350346
