iter	Passed	Remaining
0	1	84
1	3	94
2	5	84
3	6	79
4	8	73
5	9	69
6	10	65
7	11	62
8	13	62
9	15	60
10	16	58
11	18	57
12	19	56
13	20	53
14	22	52
15	23	50
16	24	48
17	26	47
18	27	45
19	29	43
20	30	42
21	32	41
22	33	39
23	35	38
24	37	37
25	39	36
26	40	34
27	41	32
28	43	31
29	44	29
30	45	27
31	47	26
32	48	24
33	50	23
34	52	22
35	54	21
36	55	19
37	57	18
38	58	16
39	60	15
40	61	13
41	62	11
42	64	10
43	65	8
44	66	7
45	68	5
46	69	4
47	71	2
48	72	1
49	74	0
