IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
0,0,115,7.54913,-0.4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC117834.1,least likely
0,0,80,139.59497,0.5089,3.35894,16.0221,41.5886,23.8061,7.19681,17.6493,9.653030000000001,7.39814,12.062000000000001,0.0,0.0,0.0,0.123297259,1.8264306495169397e-05,,0.19506700000000002,7.52807,0.15590299999999999,0.13759100000000002,0.46,-0.187296,-0.343331,0.169534,0.215964,0.13534200000000002,0.16434200000000002,0.153864,0.111951,0.29971,0.142542,0.14047300000000001,0.264815,0.164554,0.189852,0.196448,0.25496599999999997,-0.35559,0.08809199999999999,-0.245238,-0.199881,0.158275,0.329856,0.143683,ACBD4,most likely
0,1,17,1006.9095,-0.433,1.42466,8.69263,0.520167,12.4842,112.34100000000001,3.1546,1.00705,6.40418,0.157691,0.9306270059999999,0.0,0.8162841409999999,0.158249199,4.6328287445364795e-18,7.94256213,0.354105,6.0877099999999995,0.926743,-0.38331,-0.57,-2.775792,-0.346445,-0.202015,1.0388540000000002,0.050503,0.8744870000000001,-0.327757,-0.5975659999999999,0.9268709999999999,2.700781,-0.385567,-0.5097520000000001,-0.31696599999999997,0.944708,1.161607,-0.532507,1.568196,-0.515339,0.285139,0.385561,0.722897,-2.652866,-0.879318,ACE,most likely
2,1,39,73.5044,-0.3064,0.021302,0.0733223,68.4379,0.169416,0.312212,0.288429,0.0,0.0265708,0.0672155,0.0,0.0,0.0,0.435617685,1.98871537094846e-07,0.0,-0.358025,,0.671513,-6.6438559999999995,-0.4,,,,,,,,,-0.875467,,,0.574404,,0.942147,,-0.657327,,,-6.6438559999999995,,-6.6438559999999995,,,ACMSD,possible
2,1,112,194.54546000000002,0.4655,16.9018,16.8404,37.2952,20.1664,15.4911,20.612,9.58868,15.024000000000001,10.7652,0.0,0.0,0.0,0.75617367,0.0944353057008641,9.41746522,-0.192889,7.010089999999999,0.13111099999999998,0.700151,0.13,0.366615,0.24996100000000002,-0.302262,0.571401,0.056083,-0.077848,-0.331836,0.263502,-0.48562,-0.219034,0.08164,0.097961,0.160341,0.453982,-0.191597,-0.36657,0.473762,0.06669800000000001,0.8457020000000001,0.09636,0.067978,0.194477,0.302392,ACOX1,possible
0,1,251,3.6049599999999997,-0.2944,42.2185,207.196,27.3746,19.7748,236.486,96.412,9.97282,51.8673,16.6229,0.8266041,0.0,0.957427108,0.6980452540000001,0.734223241103143,9.88631356,-0.125782,5.00635,0.492867,-0.662572,-0.27,0.260422,1.469023,-0.609726,0.790604,-0.530516,0.500749,-0.8075,1.132045,-6.6438559999999995,-6.6438559999999995,0.223313,-1.6778220000000001,-0.42013100000000003,-1.030139,-4.6665790000000005,-3.573813,1.41396,0.77782,-0.256048,-0.201286,0.749061,0.740259,-6.6438559999999995,ACTA2,possible
0,1,33,30.513209999999997,0.3791,0.708883,3.56339,0.158664,1.59342,35.5194,0.21497,27.5602,0.302798,0.045492000000000005,0.0,0.0,0.0,0.572527647,0.0212580375414267,11.75996628,-0.217793,7.63748,-6.6438559999999995,1.3098610000000002,-0.2,0.953011,0.251886,1.436575,0.746436,-0.37902399999999997,0.28918299999999997,-0.7928890000000001,-0.239279,0.418033,-0.19866099999999998,0.383115,-0.232386,0.5440520000000001,-0.518201,0.25161300000000003,-0.218052,0.189573,2.1368,-0.388974,-6.6438559999999995,-0.542471,0.656434,0.105921,ADORA1,possible
0,1,269,62.69651999999999,-0.5859,5.03811,2.6754599999999997,4.6432,0.807384,3.1208299999999998,2.6396,0.778696,0.0129655,0.20925300000000002,0.514240382,0.0,0.0,0.238498077,0.000244368543397983,2.80622297,2.6821740000000003,3.2277,1.684791,0.403192,-0.25,-6.6438559999999995,-6.6438559999999995,-0.937578,0.768296,1.762535,0.5601619999999999,1.404356,-0.6337229999999999,0.626748,0.8697090000000001,0.375199,-1.804823,0.680528,0.621135,-4.162617,-2.0800919999999996,-3.132977,0.432906,0.471321,0.642837,-0.583585,-5.868582,-0.392839,ADRA2B,most likely
0,1,266,95.03749,0.2683,0.12138099999999999,0.358247,0.182195,0.31352199999999997,1.23019,0.13308699999999998,3.85523,0.014750799999999998,0.6053,0.5706635320000001,0.0,0.0,,,2.91936788,0.693304,4.69039,-3.1613119999999997,0.778546,,-5.16079,0.23556799999999997,-0.20940999999999999,-0.344381,-0.647004,-0.437346,1.5065879999999998,1.260947,-6.6438559999999995,-0.783462,-1.8162169999999997,-1.184796,-2.701629,-1.201365,2.422936,0.359533,-0.366002,-0.647977,-6.6438559999999995,1.107148,0.892756,-0.605254,1.908354,ADRB1,most likely
0,1,52,2513.68991,-0.3705,3.72013,4.83225,3.4057800000000005,0.46190200000000003,0.649181,0.550471,1.16925,0.918796,0.6728350000000001,0.8387322209999999,0.0,0.0,0.668925405,0.476493104047244,10.75900262,-0.32664299999999996,9.69708,1.313345,0.321598,0.42,1.034605,-6.6438559999999995,-1.460321,-1.383824,0.690348,0.254384,0.272742,-0.281683,1.372258,0.9067780000000001,0.208875,0.7483770000000001,0.28018200000000004,0.956111,-0.362008,0.380619,-3.5856230000000004,0.25506999999999996,-0.665428,-0.597503,-0.236499,-2.177262,-0.458609,ADRB2,most likely
