IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC
0.0,1.0,280.0,407.27264,-0.4145,1.15933,0.07200830000000001,0.08363910000000001,74.0619,1.04186,0.374595,6.93692,0.0113234,0.0179703,0.0,0.0,0.0,0.7714540959999999,3.938723405991528e-15,3.63608214,0.534513,6.9814300000000005,-1.837408,0.548255,-2.09,1.293365,0.326554,0.274796,0.575179,0.582739,0.498882,1.7351740000000002,0.470007,0.801624,0.437944,1.731966,0.302197,0.7379760000000001,1.145373,0.405074,0.298729,0.715841,0.7582760000000001,0.924459,0.5599310000000001,-1.058049,3.160413,0.574311
1.0,1.0,56.0,117.11773,0.4561,16.1667,4.15827,8.69046,2.37503,0.506314,2.63463,1.91818,16.5493,0.0393093,0.884429274,0.0,0.0,0.670620084,0.000700542902364641,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.972996,-0.317595,0.250539,-0.478721,-0.469268,-0.619337,0.364388,0.50041,-0.481913,0.314485,0.556739,-1.363194,0.163588,0.937921,-1.6628919999999998,-0.707662,-3.589953,0.667657,0.334298,-0.370917,-0.216938,0.429516,0.360312
0.0,0.0,1.0,1512.78445,0.08141599999999997,19.523714700000006,29.505354099999998,13.252615800000003,28.9024006,42.833496999999994,30.14863260000002,14.676162899999994,50.756926900000025,35.85911815000001,0.0,0.0,0.0,0.5280151641699999,0.1947896240144085,4.9193864995,-0.04190978000000003,8.066080000000001,-0.05684738000000001,-0.014232910000000012,-0.0013000000000000095,0.037224110000000005,0.05411020999999999,0.06401663999999999,0.05729567999999998,0.08506280000000002,-0.0035198799999999965,-0.0566561,0.009345920000000002,0.12155421999999992,-0.08756177000000001,0.005003179999999997,0.07907638000000002,0.01444708,-0.000789659999999999,0.14822813999999998,0.017332110000000015,0.022674900000000008,-0.02441053000000002,-0.00017429000000000167,-0.015281569999999998,0.011279920000000014,-0.20072488999999996,0.010409259999999997
0.0,0.0,357.0,12.38694,-0.438,25.879648899999996,30.277794000000004,17.57166177,31.133726000000014,46.05103389999999,31.72923210000002,16.047353499999996,46.149098600000016,45.61903216999999,0.027983755000000003,0.0,0.0,0.6373115646999999,0.4779278963455604,4.162893499600002,-0.001393750000000003,8.654367249999993,-0.0029162799999999977,-0.005336149999999995,-0.3077999999999997,0.019889289999999994,0.039484630000000014,-0.005387700000000002,0.022769900000000006,0.01584850000000001,-0.04369013999999999,-0.07849236000000002,-0.036904340000000015,-0.04097279,-0.07891014000000002,-0.053313079999999985,0.01742448,0.023097160000000002,0.004985380000000002,0.11912962000000009,0.0005474100000000054,0.013832290000000004,-0.06330845999999998,-0.040695530000000014,1.0779999999991352e-05,-0.021422579999999986,0.03836270000000002,-0.06363163000000001
0.0,0.0,24.0,1095.2409699999996,0.6259,38.38233650000001,35.4641301,24.3693644,36.97012360000001,45.2833403,32.08734250000002,16.9919074,56.39416759999999,43.671527440000006,0.005457224070000001,0.0,0.00957427108,0.6077689011499998,0.37099996915422956,5.112623093000002,-0.017844090000000003,7.4987589,0.005314889999999999,0.031143959999999967,-0.18309923899999997,-0.05057126,0.021895430000000004,0.029301120000000007,0.028939250000000014,0.049002870000000004,-0.021331370000000013,-0.06779225000000003,0.04053636,0.07585676000000001,-0.05413088000000002,-0.018940949999999998,0.0525797,-0.0007713300000000032,4.477999999999968e-05,0.10868401999999999,0.014017140000000004,0.061679520000000015,-0.02775153999999999,-0.11764697,-0.016802719999999976,-0.025571239999999967,0.04301039999999998,-0.013060260000000014
0.0,0.0,966.0,332.05359,0.4141,24.296819100000004,28.692097099999987,14.498596900000003,28.378068000000013,44.42077610000002,31.478096700000023,16.757372599999997,56.97862760000001,42.95710430000002,0.01411566287,0.0,0.00957427108,0.6369341320199998,0.4799000903657521,3.938610130100001,0.027951069999999998,7.971402599999999,-0.13751187999999998,0.029930719999999966,-0.36129923899999994,0.024622050000000003,0.08993182000000002,0.022467209999999994,-0.08540765999999998,0.0041240000000000035,-0.011399209999999993,-0.06551872,0.0068971399999999995,0.006227279999999995,-0.04077995,-0.02099324999999999,0.02218787,0.006594659999999995,-0.001468109999999994,0.12141027000000003,-0.004723709999999982,-0.005967769999999994,-0.042365999999999994,0.016148779999999984,0.027059740000000002,-0.02960586999999999,0.04613678,-0.03507768999999998
0.0,0.0,162.0,371.98567,-0.2965,14.847602000000004,23.829746099999994,11.215513600000003,27.542356500000004,41.93889059999999,27.820137900000017,14.464516299999996,42.11882730000002,39.08198886000002,0.0,0.0,0.0,0.6225006764999998,0.3558964465646405,3.971265445200001,0.005431869999999995,8.103149999999994,-0.009136260000000002,0.01061852000000001,-0.2754992389999999,0.017425660000000023,0.08437766000000003,0.024307270000000006,0.0252847,0.04361778,-0.026299239999999995,-0.06930820000000001,-0.014885530000000004,-0.019671469999999993,-0.08801492999999999,-0.03875274000000001,0.052030969999999996,0.010609230000000004,0.025831329999999996,0.09963041,-0.0024389999999999802,0.018737140000000006,-0.03198047,0.04065697000000001,0.013147419999999995,0.0020967900000000016,0.05111388999999999,-0.04890106
0.0,0.0,290.0,0.61257,-0.2878,55.37317520000002,53.85265330000002,26.149301670000003,63.24945499999998,62.8824694,50.17714740000004,24.389939599999995,60.379329829999996,64.71081629,0.07028964437,0.0,0.07317871518,0.68698297434,0.5769708232183279,6.5895301279,-0.04930913999999998,12.7035,-0.08747413999999998,-0.3163855900000002,-0.44439923900000017,-0.09707294,-0.43646413999999994,-0.09657753000000005,-1.4426276100000002,-0.3328066599999999,-0.11882057000000001,-0.07941629999999998,-0.12299137000000006,-1.53874795,-0.96250574,-0.015183569999999997,-0.12980232,0.012147860000000003,-0.10412369999999999,-0.22299165,-0.3480690400000001,0.20163983,-0.05540129999999998,-0.06757635,-0.04968924999999999,-0.03901397999999999,0.08504844999999994,-0.35992675999999996
0.0,0.0,104.0,1535.52979,-0.3792,23.783415900000005,28.2026293,13.975857500000004,31.283067000000006,43.42247529999998,30.339978000000027,14.206845899999998,44.53714810000001,44.607740480000004,0.00396248826,0.0,0.025899953899999998,0.5809616340899999,0.2892062354542039,4.741212078699999,-0.029537760000000014,12.0118,-0.038463159999999975,0.07749726999999998,-0.02900000000000001,0.06171607000000002,-0.22914846000000005,-0.02686021,0.027578610000000007,-0.11012683000000001,-0.013958620000000001,-0.08834004000000004,-0.054447160000000015,-0.52487441,-0.40363731000000014,-0.03551993999999999,-0.02985891999999999,0.013765940000000006,0.026639209999999976,-0.09444922,-0.28593352000000005,-0.02203417000000001,-0.040055070000000005,0.018383489999999995,-0.005332129999999999,0.01046657000000001,0.027951800000000016,-0.07527518
0.0,0.0,6.0,2.95899,-0.3115,39.17776020000001,40.802758999999995,22.888601599999998,45.375578000000026,58.63290589999999,37.381147,21.679272999999988,65.88429599999996,57.152667550000004,0.018449560440000002,0.0,0.01914854216,0.6248966257099997,0.5115469013721078,5.6003758661,-0.11228439999999999,7.97421,-0.08056108000000002,-0.011571050000000001,-0.47179999999999994,-0.0054266200000000105,-0.29876360999999996,-0.03392146,-0.038203900000000006,-0.09055382,-0.07305582000000001,-0.05520378,-0.07004074,-0.13500652000000016,-0.7556368099999999,-0.03249469999999999,-0.01851486,0.016626209999999995,-0.041073629999999986,-0.04629752000000008,-0.14632959999999995,-0.012790049999999997,-0.052546329999999974,-0.06973589999999998,-0.02488385,0.0014172400000000021,-0.05964609000000007,-0.41323012000000003
