iter	Passed	Remaining
0	1	89
1	4	99
2	6	97
3	7	90
4	9	82
5	10	78
6	12	76
7	13	70
8	14	67
9	16	64
10	18	64
11	19	62
12	21	60
13	23	59
14	24	56
15	25	54
16	27	53
17	29	51
18	30	49
19	31	47
20	33	45
21	34	44
22	36	42
23	38	41
24	39	39
25	40	37
26	42	36
27	44	34
28	45	32
29	46	31
30	49	30
31	50	28
32	52	27
33	54	25
34	55	23
35	57	22
36	58	20
37	60	19
38	61	17
39	63	15
40	64	14
41	66	12
42	67	10
43	69	9
44	70	7
45	72	6
46	73	4
47	75	3
48	76	1
49	77	0
