iter	MultiClass
0	1.030754012
1	0.9590751645
2	0.8986877096
3	0.8561721584
4	0.8106008229
5	0.7803588406
6	0.7604848629
7	0.7410721905
8	0.7202021157
9	0.7077316288
10	0.6934546449
11	0.6635540713
12	0.6473758742
13	0.6387698565
14	0.6273543338
15	0.6165672955
16	0.6074807579
17	0.5986518265
18	0.5903257141
19	0.5848141953
20	0.5777106422
21	0.5665086107
22	0.5584677514
23	0.5513309366
24	0.5460669034
25	0.537192468
26	0.5316252762
27	0.5249880315
28	0.5199903344
29	0.5151174498
30	0.5088263093
31	0.5039738454
32	0.4982177089
33	0.4951846738
34	0.4880814286
35	0.4806585028
36	0.4761577179
37	0.471228829
38	0.4680155275
39	0.4607537592
40	0.4553678019
41	0.4511083852
42	0.4477842485
43	0.4434500013
44	0.4390296984
45	0.4354660902
46	0.4313238485
47	0.4278514991
48	0.4257178107
49	0.4190332422
