wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Testis_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI,Gene,BPlabel
2317,0,0,141.56503,-0.7345,0.03956,0.105563,0.0,0.0,0.0,0.111908376,3.28541e-10,2.89366853,CYP1A2,most likely
224,0,0,2760.21963,-0.324,3.22191,0.987103,0.957427108,0.0,0.0,0.506795704,0.672306731,1.96359409,CYP21A2,probable
212,0,0,378.83872,0.3776,0.0,0.0750059,0.0,0.0,0.0,0.111908376,2.53769e-10,3.866916,CYP2C19,most likely
282,0,0,21.66294,-0.283,32.1368,125.666,0.0,0.0,0.0,0.17792584,1.84814e-05,,DALRD3,probable
109,1,0,637.88987,0.3188,1.00974,0.659191,0.651169479,0.0,0.0,0.390099078,2.54161e-06,12.63081829,DBH,probable
1,1,1,77.4528,,19.2484,28.5401,0.0,0.887688063,0.0,0.591572225,0.168276873,1.99992492,DDAH1,probable
48,0,0,8.97171,0.7071,0.0,0.0,,,,0.123297259,0.157398012,,DEFB131,least likely
74,0,0,139.19509,-0.459,,,,,,,,,DKFZP434O1614,least likely
1396,0,0,796.35554,-0.5314,,,,,,,,,DKFZP761K2322,least likely
30,0,0,0.63842,0.3811,1.08495,0.794476,0.0,0.0,0.0,,,,DLEU2L,least likely
672,0,0,499.50349,-0.7297,1.42652,110.288,0.0,0.0,0.0,0.146139458,0.000136493,8.91291128,DPEP1,probable
2,0,0,4755.60752,-0.1857,9.40431,3.21316,0.0,0.528793336,0.0,0.747131348,0.999901543,12.88289324,DSP,most likely
192,1,1,218.27707,-0.3435,922.405,135.061,0.0,0.913254607,0.0,0.848568261,0.020500202,1.86907763,DUSP1,most likely
765,1,0,747.20557,0.638,17.5142,7.74557,0.0,0.887688063,0.0,0.449802697,0.081020067,6.87802251,EDN1,most likely
94,1,1,6.56136,0.2822,43.6706,6.46399,0.0,0.0,0.0,0.800036311,0.986016088,1.74820254,EDNRA,most likely
14,0,0,250.99535,-0.7151,7.24064,10.3093,0.0,0.0,0.0,0.743839204,0.062109871,10.79296239,EPB41,probable
234,0,0,741.13732,0.5378,0.0,0.100667,0.0,0.0,0.0,,,0.0,ERVV-1,least likely
257,1,0,148.46269,-0.4592,43.2436,2.73794,0.0,0.514240382,0.0,0.762403488,0.987167021,11.79347495,ESR1,probable
108,0,0,15.97048,0.1941,0.15137,0.453519,0.0,0.513919247,0.0,0.824708164,0.93661121,0.0,ESRRG,probable
108,1,0,1350.01732,0.4863,0.11964,1.38948,0.0,0.494209116,0.0,0.634786546,0.959943188,7.86340488,F2,probable
71,0,0,107.00427,-0.5613,32.0732,8.67099,0.0,0.465192662,0.0,0.705665529,2.7739e-05,6.70564693,FES,probable
20,0,0,265.4958,0.2923,0.0365695,0.0450065,0.0,0.0,0.0,0.69255507,4.31893e-05,2.89203741,FGF5,probable
10,0,0,70.2485,0.3287,38.967,78.0878,0.0,0.0,0.0,0.715512335,0.600789667,1.12427871,FIP1L1,probable
358,0,0,1.92553,0.4922,,,,,,,,,FKSG62,least likely
81,0,0,98.07425,0.2472,8.01926,2.52139,0.0,0.0,0.0,0.38356629,0.011344576,2.19615612,FTO,probable
61,0,0,1567.59549,-0.8276,132.658,23.8362,0.0,0.0,0.0,0.630912066,0.999969901,8.84810219,GABBR1,probable
184,0,0,2249.29606,-0.235,57.4669,6.18994,0.0,0.564666898,0.0,0.836875796,0.97976209,2.75424746,GATA2,probable
147,0,0,9.29304,0.2265,1.10129,0.902858,0.0,0.0,0.0,0.748405397,0.204306173,2.80882657,GCK,probable
26,1,2,58.06389,0.5164,0.0,0.129494,0.609459847,0.0,0.0,0.295108467,0.086007141,3.85244898,GDF2,probable
247,0,0,415.38531,-0.4044,0.0,0.84196,0.0,0.0,0.0,0.123297259,0.162839345,4.95013216,GIP,probable
17,0,0,1766.09386,-0.1996,5.26264,0.504048,0.0,0.0,0.0,0.238498077,2.54083e-22,1.98266541,GIPR,probable
187,0,0,29.87324,-0.8326,53.373,35.6586,0.900502883,0.570663532,0.0,0.833060265,0.21554685,24.59899632,GJA1,most likely
29,1,2,290.01884,0.2409,210.185,118.222,0.957427108,0.0,0.0,0.703993857,0.999540082,5.98324176,GNAS,probable
1,0,0,114.40031,,1.92197,0.595451,0.0,0.0,0.0,0.458951801,0.020935797,1.97547522,GPR3,probable
297,1,1,41.83799,-0.8064,0.0213295,0.631728,0.0,0.0,0.0,0.778094649,0.999994896,10.67917885,GRIN2B,probable
467,0,0,199.89032,0.3888,8.40534,0.803821,,,,0.593201816,1.41369e-06,,GUCY1A3,most likely
155,0,0,41.67691,0.4123,16.8543,2.78732,,,,0.636561334,0.000916634,,GUCY1B3,most likely
12,0,0,13.11329,-0.2142,,,0.0,0.0,0.0,0.146139458,0.026229492,0.0,HEPN1,least likely
49,0,0,796.87118,0.2219,5.67733,1.55111,0.0,0.0,0.0,0.146511853,8.49697e-07,12.72102078,HFE,most likely
10,0,0,16291.10418,0.2636,1503.69,392.794,0.869202136,0.0,0.0,0.328141659,0.002664635,10.54543118,HLA-B,probable
75,1,2,16622.23863,0.2096,13.2878,2.00496,0.0,0.0,0.0,0.186891869,0.16662533,12.35448238,HLA-DQA1,probable
194,0,0,116.32725,0.4063,337.884,43.6598,0.0,0.0,0.0,0.356269389,0.70016489,14.48467393,HLA-DRA,probable
286,1,1,91.19342,0.5011,7.32477,0.953955,0.0,0.0,0.0,0.196595117,0.001561168,3.93670914,HRH1,probable
311,0,0,1907.06868,-0.3337,78.6648,42.5554,0.0,0.0,0.0,,,21.50009141,HSPA1A,probable
2063,0,0,2435.22546,0.3317,4.93633,164.327,0.0,0.0,0.0,0.39679274,2.19041e-06,6.86005273,HSPA1L,probable
43,0,0,307.12317,0.4035,46.2009,92.3215,0.0,0.0,0.0,0.852899194,0.999958226,2.97639148,HSPA4,most likely
227,0,0,120.59949,0.5009,0.126865,0.648295,0.0,0.0,0.0,0.494588822,0.813006425,2.91372116,HTR1D,probable
109,0,0,168.09506,0.4371,0.0818392,0.071949,0.0,0.0,0.0,0.72905165,0.648787513,5.91668299,HTR4,probable
178,0,0,40.46933,0.5471,45.8872,8.38843,0.0,0.0,0.0,0.685321391,0.376558105,4.60912048,IDH2,probable
30,1,0,98.37812,0.4175,13.6169,4.86163,0.0,0.830863574,0.0,0.804062724,0.469523496,6.8125021,IGF1,probable
26,0,0,2102.84042,0.2496,198.138,10.23,0.0,0.0,0.0,0.79961127,0.362251902,5.7405052,IGFBP3,probable
1210,1,2,133.86335,0.4516,13.581,0.625845,0.0,0.549225289,0.0,0.401833534,0.289669117,3.9639913,IL6,probable
39,1,1,971.5298,-0.3997,20.7015,8.06532,0.0,0.742183659,0.0,,,2.98297969,IRS2,probable
181,0,0,3832.69791,-0.389,4.7763,10.4741,0.0,0.472965166,0.0,0.723324299,4.07385e-05,7.94127642,ITGA2B,probable
17,0,0,1818.89628,0.3241,50.9151,19.041,0.0,0.0,0.0,0.705665529,0.000480019,7.90802953,ITGB5,most likely
167,0,0,537.31129,-0.4961,57.4689,7.95499,0.0,0.494209116,0.0,0.824708164,0.999999616,5.85644216,JAG1,probable
24,0,0,123.58507,0.1733,7.48691,0.790368,0.0,0.0,0.0,0.728550792,0.98258787,11.69182943,KCNB1,probable
521,0,0,913.18144,-0.4321,3.74621,8.00556,0.0,0.442034071,0.0,0.714798927,0.999889995,3.81588039,KCNH3,probable
32,0,0,71.76069,0.2634,0.484081,0.856897,0.0,0.0,0.0,0.774301469,0.999978751,3.75626441,KCNH4,probable
61,1,0,173.55232,0.4484,0.790484,1.13664,0.0,0.855397621,0.0,0.714407027,0.31472413,14.76606971,KCNJ11,most likely
39,0,0,532.76648,-0.2262,6.15963,4.13522,0.0,0.0,0.0,0.369423717,0.106847942,1.74820254,KCNK15,least likely
1000,1,0,11.36951,-0.2937,7.77762,0.812116,0.615881762,0.0,0.0,,,2.92856602,KCNK3,probable
113,1,1,5.61975,0.5171,0.0808569,0.177921,0.0,0.0,0.0,0.565498233,0.126993746,2.92012308,KCNK9,probable
53,0,0,200.0252,-0.2653,0.19302,0.481007,0.0,0.0,0.0,0.716944396,0.999535087,4.77313532,KCNQ5,probable
61,0,0,22.58422,0.3521,76.3724,194.016,0.0,0.0,0.0,0.745582581,0.991027965,6.70370701,KDM1A,probable
958,0,0,5734.22375,-0.4264,32.6971,39.3658,0.0,0.0,0.0,0.571837127,0.999994425,3.35283215,KDM6B,probable
32,0,0,2694.09373,-0.194,0.0,0.177636,0.0,0.0,0.0,0.111908376,0.017072106,1.98841355,KRTAP10-2,least likely
88,0,0,50.28346,0.3964,0.0,0.0,0.0,0.0,0.0,0.123297259,0.023274211,1.98717466,KRTAP20-1,least likely
101,0,0,160.69859,-0.2458,0.0,0.103706,0.0,0.0,0.0,0.123297259,0.532856912,1.98717466,KRTAP6-3,least likely
170,0,0,370.17865,0.3065,0.0,0.0,0.0,0.0,0.0,0.111908376,0.00547083,1.98841355,KRTAP9-7,least likely
28,1,0,654.09994,-0.4081,49.6503,7.04122,0.957427108,0.0,0.0,0.485596061,2.59266e-16,20.630263,LDLR,most likely
27,0,0,1102.81114,-0.2385,,,0.0,0.0,0.0,0.132359073,0.002925351,4.52859362,LILRA3,least likely
46,0,0,175.30019,-0.272,13.2231,31.1575,0.76088591,0.0,0.0,0.824708164,0.990896287,6.91609969,LIMK1,probable
6437,0,0,7952.87694,0.6727,80.3908,68.1228,0.0,0.0,0.0,0.273053437,0.998848724,9.68123578,MAP4,probable
51,0,0,121.12067,0.5027,36.7942,37.4156,0.0,0.477882401,0.0,0.654942453,0.232913565,4.52819492,MAPK7,probable
862,0,0,48.85088,-0.5253,27.1536,36.5321,0.0,0.465944823,0.0,0.824708164,0.999736598,6.61160851,MAPKAP1,probable
325,0,0,4302.22642,0.4471,1.79092,7.67509,0.0,0.0,0.0,0.565020561,4.68265e-05,27.47563542,MAPT,probable
34,1,0,40.92143,-0.3182,237.898,89.6183,0.0,0.0,0.0,0.700975537,0.950092967,9.69401325,MCL1,probable
1167,0,0,4.23961,0.6824,147.746,16.9054,0.0,0.0,0.0,0.767147124,0.022432784,2.93755893,MDK,probable
50,0,0,3.53068,-0.6337,,,,,,,,,MGC10955,least likely
45,0,0,1715.16552,-0.3807,27.3257,44.4973,0.0,0.0,0.0,0.650545239,0.739578311,8.26567547,MLH1,probable
1040,1,0,140.44703,-0.3382,1.57504,0.921413,0.0,0.0,0.0,0.743839204,2.19309e-08,12.90950108,MME,most likely
712,0,0,264.93653,-0.2642,0.349282,1.47414,0.894080968,0.395367293,0.0,0.597733259,1.43928e-06,5.8717989,MPL,probable
1,1,0,4524.99996,,14.8533,15.5602,0.0,0.0,0.0,0.37917918,2.45516e-07,1.99733796,MTHFR,probable
21,1,2,324.5184,-0.1934,0.0,0.658488,0.0,0.0,0.0,0.501750886,0.00870273,1.74820254,MTNR1B,probable
58,0,0,1618.50988,0.505,0.0,0.0,0.0,0.0,0.0,,,1.99932516,MTRNR2L5,least likely
57,0,0,4.81382,-0.4319,0.0888322,0.131827,0.0,0.0,0.0,,,1.9940426,MTRNR2L6,least likely
1,1,0,5098.77916,,0.0888147,0.428808,0.0,0.558572271,0.0,0.495365709,1.27599e-17,7.02337534,MYH6,probable
1,0,0,108.56923,,0.18153,2.69373,0.957427108,0.0,0.0,0.631864309,0.000145766,5.87436508,MYH7,probable
31,0,0,2287.01575,-0.178,2.94032,32.7457,0.0,0.0,0.0,0.781591654,1.33081e-23,2.98610432,MYH7B,probable
40,0,0,547.26349,-0.3687,39.4992,81.3088,0.0,0.0,0.0,0.792072892,0.999998877,7.54165982,MYO9B,most likely
784,0,0,3780.70014,0.5874,0.0,1.51697,0.0,0.0,0.0,0.111908376,0.087453851,0.0,NBPF6,least likely
37,0,0,11.36697,-0.4375,50.4535,79.8628,0.0,0.0,0.0,0.432313383,0.339536516,2.00140612,NDUFA2,probable
256,0,0,27.09868,-0.4045,37.3734,48.6447,0.0,0.0,0.0,0.320700407,0.047137034,5.62602042,NDUFS3,probable
102,1,1,42.02222,0.3845,2.24275,4.1627,0.0,0.899703515,0.0,0.824708164,0.999966646,7.68047773,NEDD4L,most likely
656,0,0,133.06333,-0.5093,0.0,1.11565,0.0,0.0,0.0,0.444330692,0.140552619,0.0,NEUROD4,least likely
32,1,0,363.12652,0.2836,13.4901,13.1943,0.957427108,0.882196062,0.0,0.636561334,2.21161e-05,9.79939448,NOS3,probable
52,0,0,203.86765,0.3503,3.40164,4.39466,0.0,0.0,0.0,,,1.99992573,NPIPB11,least likely
1,1,0,1308.42229,,2.0292,13.3073,0.0,0.89609491,0.0,0.244530007,0.016931635,6.90823393,NPPA,most likely
1,1,2,41.12591,,0.14807,0.583287,0.0,0.0,0.0,0.181705475,0.00038006,2.83811816,NPPB,most likely
45,1,0,1510.90255,0.2257,90.994,3.86741,0.0,0.932800606,0.0,0.711480618,0.000172509,3.98295932,NPR1,most likely
39,1,0,1772.52944,0.5137,2.52281,0.99814,0.0,0.853179975,0.0,0.622939706,0.003099263,3.99033126,NPR3,most likely
305,0,0,3330.11414,-0.3613,13.5656,4.84516,0.0,0.0,0.0,0.575230479,4.52405e-11,3.8377306,NQO1,probable
257,0,0,7029.68062,-0.4635,0.30181,2.34743,0.0,0.545722407,0.0,0.653915465,0.947798762,10.93726445,NRG1,probable
74,0,0,1330.90849,-0.1726,13.6071,7.69615,0.0,0.0,0.0,0.762403488,0.991172158,4.62651381,NRIP1,probable
80,0,0,602.61593,-0.3719,39.2225,44.0492,0.0,0.0,0.0,0.638582647,0.052197863,0.0,NT5C2,probable
650,1,0,4347.97507,-0.2948,19.77,29.5574,0.0,0.431381082,0.0,0.229989916,8.58988e-08,7.6323214,NUCB2,probable
71,0,0,8.43166,-0.3434,1.97616,1.47809,0.0,0.0,0.0,0.146139458,0.017329039,,OCLM,least likely
19,1,0,2304.1461,0.2505,0.00719869,2.53345,0.0,0.0,0.0,0.45271197,4.20778e-05,14.75014718,OPRM1,probable
998,0,0,1919.79326,-0.5045,0.0,0.0283906,0.0,0.0,0.0,0.111908376,0.007138452,0.0,OR10G9,least likely
19,0,0,1835.21965,-0.2854,0.0,16.648,0.0,0.0,0.0,0.170125708,1.5923e-08,1.74820254,OR10J1,least likely
110,0,0,10099.65241,-0.4135,0.0,0.0,0.0,0.0,0.0,0.146139458,0.044375651,0.0,OR10R2,least likely
1,0,0,2713.21922,,0.0,0.0654694,0.0,0.0,0.0,0.25535503,0.712159403,0.0,OR1D5,least likely
95,0,0,118.03568,0.3936,0.0,0.0,0.0,0.0,0.0,0.123297259,0.015283314,0.0,OR2AJ1,least likely
19,0,0,650.65007,-0.1345,0.0720918,2.02284,0.0,0.0,0.0,0.111908376,0.001867748,0.0,OR2L2,least likely
178,0,0,2290.45899,0.5922,0.0561926,0.110064,0.0,0.0,0.0,0.111908376,6.39177e-05,0.0,OR2L3,least likely
46,0,0,239.02977,0.3589,0.0,0.0,0.0,0.0,0.0,0.146139458,6.75518e-05,0.0,OR4K13,least likely
53,0,0,2179.08089,0.3499,2.05628,0.958143,0.0,0.0,0.0,0.146139458,3.29465e-05,1.98266541,OR52N4,least likely
272,0,0,4882.5213,-0.3774,0.0,0.0,0.0,0.0,0.0,0.111908376,0.001920531,1.98266541,OR5K3,least likely
187,0,0,4489.11023,-0.3416,0.0,0.0910709,0.0,0.0,0.0,0.111908376,9.27165e-07,1.98266541,OR5K4,least likely
92,0,0,2006.35393,-0.4847,0.0,0.0,0.0,0.0,0.0,0.144167379,0.017981897,0.0,OR6Y1,least likely
149,0,0,235.93423,0.4266,10.1449,24.6983,0.0,0.0,0.0,0.579714477,0.988642484,,OSGIN2,probable
68,0,0,41.40219,0.359,0.885336,0.496205,0.0,0.497331948,0.0,0.455463469,4.63835e-07,3.27505451,P2RY6,probable
82,0,0,216.58313,-0.3275,0.0,0.907013,0.0,0.0,0.0,0.22862041,0.001881242,2.99226437,PANX3,least likely
1529,0,0,1247.40878,0.5461,0.0,0.0,0.0,0.0,0.0,0.146139458,0.007572397,1.86907763,PBOV1,least likely
96,1,1,48.90667,-0.5545,4.64491,4.75542,0.0,0.0,0.0,0.80871886,0.998485351,2.99056035,PDE10A,probable
166,1,1,1086.94608,-0.2903,0.16086,1.75341,0.957427108,0.0,0.0,0.527515531,4.16725e-31,0.0,PDE11A,probable
745,0,0,40.97898,-0.5346,11.0839,18.0719,0.0,0.0,0.0,0.54646343,0.730656355,2.96331746,PDE1A,most likely
597,1,0,1899.16799,-0.4488,9.08769,0.91261,0.957427108,0.0,0.0,0.746229529,0.106612096,1.99962367,PDE3A,probable
41,1,1,426.62286,-0.4491,22.3949,7.18509,0.0,0.0,0.0,0.640711069,0.003390906,0.0,PDE5A,probable
244,1,1,317.57217,0.3022,30.8388,30.097,0.0,0.0,0.0,0.650558949,0.713477057,1.99992492,PDE8A,probable
36,0,0,16.87911,-0.4523,21.6651,4.24083,0.0,0.0,0.0,0.737545311,0.969061049,8.90483434,PDGFC,probable
129,1,1,599.71226,-0.3671,89.1068,12.3471,0.0,0.494209116,0.0,0.852899194,0.99987673,10.79929478,PDGFRA,probable
14,0,0,289.79879,0.6378,247.283,67.348,0.0,0.0,0.0,0.693781972,0.875748962,3.66240179,PER1,probable
783,1,2,1363.72417,-0.4597,45.1429,2.14859,0.0,0.477894065,0.0,0.833875239,0.884782623,2.94475488,PGR,most likely
609,0,0,15.56557,-0.5123,1.81364,1.83402,0.0,0.0,0.0,0.209607884,0.664117315,3.97250131,PHACTR1,probable
35,0,0,76.83464,0.2222,17.0934,43.0607,0.0,0.0,0.0,0.71511656,1.40586e-06,1.99990361,PIK3R3,probable
47,0,0,,-0.312,0.221323,1.39554,,,,,,5.95345819,PKD1L3,probable
35,0,0,3481.90583,-0.2666,0.0469471,4.34285,0.0,0.0,0.0,0.250911236,6.57114e-17,9.90845216,PKD2L1,most likely
56,0,0,22.08097,0.4133,3.03872,6.81154,0.0,0.0,0.0,0.348049432,3.64893e-11,4.93580207,PLA2G1B,probable
19,0,0,81.7627,-0.3874,17.8625,19.3525,0.0,0.0,0.0,0.275690168,0.000143297,2.87341017,PLCD3,most likely
18,0,0,134.29607,0.2175,0.0,0.0867021,0.0,0.0,0.0,,,4.81544009,PLET1,least likely
35,0,0,15.56407,-0.3834,18.1338,30.8434,0.0,0.514240382,0.0,0.794491291,0.985449561,4.90475214,PPM1A,probable
651,0,0,6.37885,0.4462,19.3728,11.763,0.0,0.0,0.0,0.824708164,0.998148789,8.79676704,PPP3CA,probable
36,1,1,21.40368,0.3955,49.3274,28.35,0.0,0.479453267,0.0,0.794239461,0.999703649,6.7860231,PPP3CB,probable
1084,0,0,173.2434,-0.4041,0.0,0.548622,0.0,0.0,0.0,0.25535503,0.098105164,,PRAMEF1,least likely
