,wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Testis_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI,BPlabel_encoded
0,56.0,1.0,1.0,117.11773000000001,0.4561,18.294,0.506314,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717,1
1,1.0,0.0,0.0,1512.78445,-0.033301000000000004,33.86587506000001,21.377107000000013,0.0957427108,0.026895744510000003,0.0,0.4866030942399999,0.17052083711352112,5.0814857470999995,3
2,357.0,0.0,0.0,12.38694,-0.43799999999999994,27.98181110000001,30.896842599999985,0.034506021889999995,0.16001168619999998,0.0,0.7077037157899998,0.5255156562052591,5.503685663299999,3
3,24.0,0.0,0.0,1095.2409699999998,0.6259,152.62381472599998,72.25662349999995,0.14070380299999996,0.07939210572000001,0.0,0.6937335148099997,0.7916120601123207,6.7253671079999995,3
4,966.0,0.0,0.0,332.05359,0.4141,28.83480546,27.92013331000001,0.07491300897000001,0.02583900752,0.0,0.6492070145100002,0.4734519907129379,5.391782680000001,3
5,162.0,0.0,0.0,371.98567,-0.2965,22.213189304000007,25.69559980000001,0.00957427108,0.017482624540000002,0.0,0.5265533736100001,0.24718204457410398,2.8394513688999994,3
6,290.0,0.0,0.0,0.61257,-0.2878,144.6075052,97.86099699999994,0.03399938113999999,0.12993139996000005,0.0,0.66112543722,0.5948356213975206,13.131745786800009,3
7,104.0,0.0,0.0,1535.52979,-0.3792,32.518019200000005,22.55987770000001,0.13152828886999998,0.13824847663999998,0.0,0.7046367173400001,0.34412181879908216,6.204981131000003,3
8,6.0,0.0,0.0,2.95899,-0.3115,52.59460806999999,45.44766999999999,0.028722813239999995,0.013393238889999999,0.0,0.5800570335000004,0.34381223002818245,8.726719658400002,3
9,1399.0,0.0,0.0,12.51592,0.4977,92.57175264,76.68665189999999,0.2335880745700001,0.045779454639999995,0.0,0.6322962202200001,0.5611495434709094,10.2374073563,3
10,210.0,0.0,0.0,171.18661,-0.3834,27.72176243,25.26331694000001,0.00957427108,0.16412480167000004,0.0,0.6712119417399998,0.3016472900496901,4.959908813,3
11,261.0,0.0,0.0,4573.515329999999,-0.4349,25.350092699999994,24.390981399999998,0.06505448557999999,0.2490396998900001,0.0,0.6796679133500001,0.4263560917874014,7.287037874600004,3
12,21.0,0.0,0.0,31.188159999999996,-0.22899999999999998,67.11087062,79.16548590000001,0.0,0.024866597400000003,0.0,0.146139458,0.050466464,3.3229551757999998,3
13,846.0,0.0,0.0,3024.54248,0.4032,40.90029510000002,31.896684750000034,0.1347653529,0.13604786105000005,0.0,0.6775417438200002,0.4003160548760289,7.336264526900005,3
14,30.0,0.0,0.0,2440.91385,0.2594,36.957045300000026,26.51124190000001,0.04318931349999999,0.06966059561999999,0.0,0.7119483655200001,0.21102940801334,6.1782620184000026,3
15,66.0,0.0,0.0,1631.4976900000001,0.1789,38.85386250000001,24.461341000000008,0.11978348213999995,0.04302102127,0.0,0.7198535297099997,0.40613710028735994,6.090861407,3
16,105.0,0.0,0.0,86.29137,0.3539,23.64562336,24.739561640000005,0.0,0.04050348582,0.0,0.5464453189499999,0.2777248568321255,3.0087445714999985,3
17,176.0,0.0,0.0,10.46141,-0.4437,28.196953200000006,28.708216499999995,0.0,0.16445911090999998,0.0,0.7102043395399998,0.56896343827957,5.550004133000001,3
18,135.0,0.0,0.0,0.31035999999999997,1.0733,174.88183498799998,91.03805119999998,0.02587515154,0.11261505719000005,0.0,0.6603763974400002,0.5743954611776005,12.696227731700008,3
19,115.0,0.0,0.0,7.54913,-0.4311,32.637052800000006,29.938218800000005,0.01914854216,0.17701942805999998,0.0,0.6840477957299997,0.35640737939397993,5.583022886400004,3
20,80.0,0.0,0.0,139.59497,0.5089,34.6796,7.19681,0.0,0.0,0.0,0.123297259,1.82643e-05,2.5393461577000003,1
21,17.0,1.0,0.0,1006.9095,-0.433,3.49419,112.34100000000001,0.8162841409999999,0.9306270059999999,0.0,0.158249199,4.632830000000001e-18,7.94256213,1
22,269.0,1.0,0.0,62.69651999999999,-0.5859,5.08615,3.1208299999999998,0.0,0.514240382,0.0,0.238498077,0.00024436900000000003,2.80622297,1
23,266.0,1.0,0.0,95.03749,0.2683,0.22541599999999998,1.23019,0.0,0.5706635320000001,0.0,0.54595680609,0.2057258307969051,2.91936788,1
24,52.0,1.0,0.0,2513.68991,-0.3705,3.74804,0.649181,0.0,0.8387322209999999,0.0,0.668925405,0.476493104,10.75900262,1
25,198.0,1.0,0.0,587.2068,-0.284,10.9731,10.2313,0.957427108,0.905486233,0.0,0.172807097,1.57429e-09,4.7137448,1
26,38.0,0.0,0.0,17.52078,-0.4952,63.1979,43.5993,0.0,0.0,0.0,0.831385493,0.9978162070000001,8.7600131,2
27,104.0,0.0,0.0,264.70005,0.3519,42.699628770000025,42.641443199999976,0.0,0.024866597400000003,0.0,0.146139458,0.15946756,3.3216207471999986,3
28,98.0,0.0,0.0,722.18127,0.2755,23.26162224000001,19.845420100000013,0.009005028830000001,0.01710062852,0.0,0.47800889961,0.15881159628477035,4.809461053699997,3
29,465.0,0.0,0.0,611.7661,-0.3,15.524190953999998,13.812461970000005,0.06626867961999999,0.036736431519999994,0.0,0.4904416397100001,0.11138582688779927,3.3248735863000016,3
30,48.0,0.0,0.0,21.642979999999998,0.4095,29.57500958,35.81235483999999,0.0,0.08351290191000002,0.0,0.5754590659100001,0.3088520740710063,3.877554314499999,3
