wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Testis_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
56.0,1.0,1.0,117.11773,0.4561,18.294,0.506314,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717
1.0,0.0,0.0,1512.78445,-0.033301000000000004,33.86587506000001,21.37710700000001,0.09574271079999999,0.026895744510000003,0.0,0.48660309424,0.17052083711352112,5.081485747099999
357.0,0.0,0.0,12.38694,-0.438,27.98181110000001,30.896842599999985,0.03450602189,0.16001168619999998,0.0,0.7077037157899998,0.5255156562052591,5.503685663299999
24.0,0.0,0.0,1095.24097,0.6259,152.62381472599998,72.25662349999995,0.14070380299999996,0.07939210572000001,0.0,0.6937335148099997,0.7916120601123207,6.725367108
966.0,0.0,0.0,332.05359,0.4141,28.834805460000002,27.92013331000001,0.07491300897,0.02583900752,0.0,0.6492070145100002,0.4734519907129379,5.391782680000001
162.0,0.0,0.0,371.98567,-0.2965,22.213189304000007,25.695599800000014,0.00957427108,0.01748262454,0.0,0.5265533736100001,0.247182044574104,2.8394513688999994
290.0,0.0,0.0,0.61257,-0.2878,144.6075052,97.86099699999994,0.03399938114,0.12993139996000003,0.0,0.66112543722,0.5948356213975206,13.131745786800007
104.0,0.0,0.0,1535.52979,-0.3792,32.518019200000005,22.559877700000015,0.13152828886999998,0.13824847663999998,0.0,0.7046367173400001,0.34412181879908216,6.204981131000003
6.0,0.0,0.0,2.95899,-0.3115,52.594608069999985,45.44766999999999,0.02872281324,0.01339323889,0.0,0.5800570335000004,0.34381223002818245,8.726719658400002
1399.0,0.0,0.0,12.51592,0.4977,92.57175264000001,76.68665189999999,0.23358807457000008,0.04577945464,0.0,0.6322962202200001,0.5611495434709094,10.237407356299999
210.0,0.0,0.0,171.18661,-0.3834,27.72176243,25.263316940000013,0.00957427108,0.16412480167000004,0.0,0.6712119417399998,0.3016472900496901,4.959908813
261.0,0.0,0.0,4573.51533,-0.4349,25.350092699999994,24.3909814,0.06505448558,0.24903969989000013,0.0,0.6796679133500001,0.4263560917874014,7.287037874600004
21.0,0.0,0.0,31.18816,-0.229,67.11087062,79.1654859,0.0,0.024866597400000003,0.0,0.146139458,0.050466464,3.3229551758
846.0,0.0,0.0,3024.54248,0.4032,40.90029510000002,31.896684750000027,0.1347653529,0.13604786105000005,0.0,0.6775417438200002,0.4003160548760289,7.336264526900005
30.0,0.0,0.0,2440.91385,0.2594,36.957045300000026,26.51124190000001,0.0431893135,0.06966059561999999,0.0,0.7119483655200001,0.21102940801333997,6.1782620184000026
66.0,0.0,0.0,1631.49769,0.1789,38.85386250000001,24.461341000000015,0.11978348213999997,0.04302102127,0.0,0.7198535297099997,0.40613710028736,6.090861407
105.0,0.0,0.0,86.29137,0.3539,23.64562336,24.739561640000005,0.0,0.04050348582,0.0,0.5464453189499999,0.2777248568321255,3.008744571499999
176.0,0.0,0.0,10.46141,-0.4437,28.196953200000003,28.708216499999995,0.0,0.16445911090999998,0.0,0.7102043395399998,0.56896343827957,5.550004133000001
135.0,0.0,0.0,0.31036,1.0733,174.881834988,91.03805119999998,0.025875151540000002,0.11261505719000003,0.0,0.6603763974400002,0.5743954611776005,12.696227731700008
115.0,0.0,0.0,7.54913,-0.4311,32.63705280000001,29.938218800000005,0.01914854216,0.17701942806,0.0,0.6840477957299997,0.35640737939397993,5.583022886400003
80.0,0.0,0.0,139.59497,0.5089,34.6796,7.19681,0.0,0.0,0.0,0.123297259,1.82643e-05,2.5393461577000003
17.0,1.0,0.0,1006.9095,-0.433,3.49419,112.341,0.816284141,0.930627006,0.0,0.158249199,4.632830000000001e-18,7.94256213
269.0,1.0,0.0,62.69652,-0.5859,5.08615,3.12083,0.0,0.514240382,0.0,0.238498077,0.000244369,2.80622297
266.0,1.0,0.0,95.03749,0.2683,0.225416,1.23019,0.0,0.570663532,0.0,0.54595680609,0.2057258307969051,2.91936788
52.0,1.0,0.0,2513.68991,-0.3705,3.74804,0.649181,0.0,0.838732221,0.0,0.668925405,0.476493104,10.75900262
