iter	MultiClass
0	1.319760763
1	1.254936367
2	1.208593716
3	1.157891761
4	1.106278173
5	1.071462727
6	1.03347053
7	1.004051002
8	0.9874950504
9	0.9702826855
10	0.947728991
11	0.9319235834
12	0.918148856
13	0.8950664469
14	0.869597779
15	0.8555348506
16	0.8435010867
17	0.8363759785
18	0.8263679836
19	0.8137802455
20	0.798517401
21	0.7911072901
22	0.7751910759
23	0.762847672
24	0.7486259011
25	0.7421384482
26	0.7326134464
27	0.7248931212
28	0.7161352637
29	0.7113296562
30	0.7010871997
31	0.6896556964
32	0.6812017709
33	0.6746419677
34	0.6705670519
35	0.6620173953
36	0.6565020694
37	0.6524147695
38	0.6470532499
39	0.6416623302
40	0.6327974631
41	0.6265926172
42	0.6221671186
