iter	Passed	Remaining
0	54	2301
1	55	1142
2	56	754
3	57	559
4	58	442
5	59	365
6	60	308
7	60	266
8	61	233
9	62	206
10	63	184
11	64	165
12	64	149
13	65	135
14	66	124
15	67	113
16	67	103
17	68	95
18	69	87
19	70	80
20	70	74
21	71	68
22	72	63
23	73	58
24	74	53
25	74	48
26	75	44
27	76	40
28	77	37
29	77	33
30	78	30
31	79	27
32	80	24
33	80	21
34	81	18
35	82	15
36	82	13
37	83	10
38	84	8
39	84	6
40	85	4
41	86	2
42	86	0
