Gene	interactors
ABCB9	DDX60L, LRRC8B, PCDHAC1
ABCC1	ATP5A1, ATP6V1F, ATP6V1H, BCL2, CANX, CAPN7, CAV1, CD160, CHEK1, CLGN, CLN6, CSNK1A1, CSNK2A1, CSNK2A3, DBT, ECHS1, EEF1A1, FAS, FASN, FKBP8, FLOT1, HNRNPL, IDH3A, LGALS8, MCU, MDM2, MDM4, MLH1, MRPL17, MSH2, NDUFAF3, NDUFB9, NFS1, NR3C1, PAICS, PC PDCD6IP, PDHX, PDX1, PGRMC2, POR, PSMC5, PSMD2, PTGES3, PUF60, RAVER1, RB1, RNF115, RPN1, RPS7, SAFB, SEC63, STT3B, STX4, SURF1, TMCO1, TMEM173, TMEM33, TMOD2, TMX2, TP53, TP73, UBE2D2, VCP, VDAC1, VDAC2, VDAC3, YWHAB, YWHAE, YWHAG, YWHAH, PC SEC63, PDCD6IP
ABCC10	CFTR, DERL1, ECSIT, GOPC, HNRNPD, PDZK1, RNF5, SLC9A3R1, SV2C, TEX264, USP19
ABCC2	ATP6V1B1, ATP6V1E1, CANX, CD14, CHCHD2, EEF1A1, EIF4A1, HSPA4, JUP, LY6E, MRP63, MRPL10, MRPL2, MRPL23, MRPL24, MRPL37, MRPS26, MRPS28, MRPS35, NDUFA10, NDUFA2, NDUFA9, NDUFB9, NDUFS8, OXA1L, PDZD3, PDZK1, PICALM, PRR3, PTH2, PTRH2, RAB11B, RAB14, RAB31, RDX, SLC30A5, SLC9A3R1, SSR1, SYNJ2BP, TCIRG1, TOMM22, TOMM70A, TUBB3, UQCRFS1, VAMP2
ABCC3	ATP9A, CANX, EEF2, IDH3A, POR, VCP, VDAC1, VDAC2, VDAC3
ABCC4	CFTR, GPR26, HAX1, LGALS2, LGALS3, LPAR1, PDZK1, REEP5, SLC9A3R1, SLC9A3R2, SNTA1, SNX27, TMEM128
ABCC5	NUPL1, SCN3B, TRDN
ABCC6	CREB1, DLX5, FOXJ2, FOXS1, HOXB9, HOXC13, HOXD13, NFIC, NFIX, PPP2R1A, PPP2R2A, PPP2R2D, RECQL, S100A12, SALL1, SATB1, SATB2, SMARCA5, TFCP2, TP53
ABCC8	ANK2, CRYBB1, ENSA, KCNJ11, KCNJ8, RAPGEF4
ABCC9	EEF1G, KCNJ11, KCNJ8, LDHA, STX1A
ABCD2	ABCD3, AMN, PEX19
