Gene	interactors
CLPS	GLP1R, LIPF, PNLIP
CLPSL1	ADAM9, HBM, LRP5, NUDT15, SLC30A5, TNFAIP1, ZER1, ZYG11B
CLPTM1	ASIC4, C2orf47, ERGIC3, ICT1, LMAN1, ODF4, SCNN1D, STT3B, TCTN2, UBAC2, UNC93B1
CLPTM1L	EMC7, KCNF1, MRPL47, NCDN, SPTAN1, TMEM173, UQCRQ
CLPX	AGMAT, ATP5A1, ATPAF2, BOLA1, BTRC, C19orf70, C1QBP, C7orf55, CCDC58, CHCHD10, CHCHD2, CISD3, CLPP, COQ10A, COQ5, COQ6, COQ9, COX6B1, DUSP23, EXD2, FASLG, FASTKD3, FBXW11, GCAT, GNS, GRB2, HSPE1, KCTD12, KIF12, LIG3, LONP1, METTL20, NDUFS3, NIT1, PDP2, PIM1, POLD4, POLDIP2, PTPMT1, SDHB, THTPA, TOMM22, TRIM43, TRIM43B, TRUB2
CLRN1	CANT1, FAM24B
CLRN2	CLEC2D
CLSPN	ATR, BRCA1, BTRC, CASP7, CDC20, CDC45, CDC7, CDH1, CDK9, CHEK1, FBXW11, FZR1, GINS3, HERC2, LACC1, LTA, MSH6, PC PLK1, PMS2, PMS2CL, PRIMPOL, RAD17, RAD9A, RPA1, RPA2, RPA3, TIMELESS, USP20, USP28, USP29, USP7, PLK1, PC RPA1
CLSTN1	APBA2, APBB1, APP, CD96, CDCP1, GSS, HK2, KIF2A, KLC1, KLC2, LYPD5, PRNP, PSEN1, PVRIG, TOPBP1
CLSTN3	APBA2, APOE, SCNN1D, ST8SIA4, TCTN2
CLTA	ACTR2, APPL1, CALY, CENPJ, CKAP5, CLTB, CLTC, CLTCL1, HIP1, HIP1R, HSPA8, MAD2L2, MYB, MYBL2, PICALM, PIK3C2A, PTPN23, RBM8A, RBM8B, SEC16A, SYNJ1, TACC3, TNK2, VCP
CLTB	AAK1, AP2A1, AP2A2, AP2B1, AP2M1, AP3D1, APPL1, BMP2K, CALM1, CALM2, CALM3, CENPJ, CLINT1, CLTA, CLTC, CLTCL1, CSNK2A1, CSNK2A2, CSNK2A3, DAB2, DENND1A, EPS15, FAM83B, FCHO2, GAK, GTSE1, HIP1, HIP1R, HSPE1, MYO6, NCAPD3, NCAPG2, NUMB, PDAP1, PI4K2A, PICALM, PIK3C2A, PNPT1, PTPN23, SEC13, STON2, TNRC6A, VPS33A, VPS33B, VPS41, WNK1, ZDHHC17
CLTC	ADRB2, AMPH, AP1B1, AP1G1, AP2A1, AP2A2, AP2B1, AP2M1, AP3B1, AP3B2, AP3D1, ARF6, ARRB1, ARRB2, ATG16L1, ATP1A1, ATP1A2, ATP1A3, ATP5C1, ATR, BCR, BIN1, BLOC1S1, BMP2K, BRD1, BRPF1, C10orf88, CAD, CANX, CCDC47, CCT3, CCT6A, CCT6B, CHUK, CISD1, CLINT1, CLTA, CLTB, CLTCL1, CYC1, DAB2, DDOST, DENND1A, DHX38, DNAJA3, DNAJC6, DYRK1A, EHD1, EHD2, EIF3A, EIF6, EPHA2, EPN1, EPN2, EPS15, ERBB2, FASTKD2, FCHO2, FCRL3, FYN, GAK, GCNT1, GGA1, GGA2, GGA3, GJB5, GRB2, HERC1, HGS, HIP1, HIP1R, HSP90B1, HTR6, IKBKB, INPP5F, IPO5, KIT, KPNB1, LASP1, LBP, LDLRAP1, LRRK2, MAP3K10, MAP3K7, MAP3K8, MTCH2, MYB, MYBL2, MYO6, NCALD, NDUFB9, NDUFS1, NFKBIA, NFKBIE, NLRP1, PCM1, PDGFRB, PHB, PHB2, PICALM, PIK3C2A, POR, PPME1, PPP2R1A, PPP2R1B, PTAFR, PTPN23, PXN, RAB5B, RAC1, RANBP2, RANBP6, REL, RPN1, RPSA, SCYL2, SHC1, SLC25A3, SLK, SNAP91, SNCA, SNX5, SNX9, SORBS2, SPG20, SRC, SSR3, STAM, STAMBP, STAMBPL1, STON2, SVIL, SYNJ1, TECR, TFAP2A, TMCO1, TNK2, TOM1, TOM1L1, TOM1L2, TOMM22, TUFM, UQCRC2, UQCRQ, VCL, VDAC1, VDAC2, VDAC3, WBP1, WNK1, ZDHHC17, ZFYVE9, ZMPSTE24
CLTCL1	AHSA1, ATP1A1, CCDC27, CCL21, CCT6B, CENPJ, CLINT1, CLTA, CLTB, CLTC, CTSL, EPRS, GAK, GTSE1, HIP1, IDH3A, PICALM, PPP2R1A, PRKAG3, QARS, RAB32, SEC16A, SFXN4, SNX5, STAMBP, STAMBPL1, TTC9B, WDR16
CLU	ACTN1, ADCYAP1, ADCYAP1R1, APP, ATG3, ATP7B, BAX, BCL2L1, BTRC, C7, C8B, C9, CBY1, CD209, CDK19, CHUK, CLUAP1, COMMD1, CUL1, EIF3F, ELN, EPPIN, FBXO27, GPR180, GSS, HBA1, HBA2, HSP90B1, HSPA1L, HSPA5, HSPD1, HYOU1, IL24, KATNA1, KIAA0355, KNSTRN, LEP, LEPR, LRP2, LRP8, LTF, LYZ, MAP1LC3A, MMP20, MMP25, MMP9, MSRB1, NFKB1, NFKBIA, NUCB2, PCYOX1L, PON1, PRNP, RPE, SAV1, SEMG1, SLC4A1, SUMF2, SYVN1, TENM3, TGFBR1, TGFBR2, TOR1A, TRPC7, TRPM2, TTR, TUBB6, UBC, VEGFA, VHL, VLDLR, XPO1, XRCC6, ZWINT
CLUAP1	ASAP2, CINP, CLU, EFCAB4B, ICK, IFT57, MYOG, STX18, TRPM2, TTC30A, TTC30B, UBXN10, VCP
CLUH	ABCF2, APOPT1, CELSR3, CYFIP1, DCAF4L2, DYNC1LI1, DYNC1LI2, ERCC2, FAHD1, GKAP1, HDLBP, LACC1, MAG, MCM2, MCM4, MCM7, MOS, MTUS1, NCKAP1, NPHP4, PFKFB3, RPGRIP1L, RPP25L, SRA1, TEFM, TEKT3, TRIM16, UBA6, UBL7, WDR90, YARS
CLVS1	AHSP
CLVS2	APEX1, DDX41, FBXW2, GSTM3, HAP1, MYH7, NHP2L1, PAFAH1B2, PGAM2, S100A7
CLYBL	INPP5D, LAT
CMA1	AGT, CLGN, EDN1, EDN2, EDN3, FYN, IL1B, KITLG, MMP1, PFN1, RABAC1, SLK
CMAS	ATP6V1G1, CHCHD10, DBNL, DDB1, FAM98A, FIG4, LIMS1, NAA15, PPP2R2A, SIGLEC12, SIGLECL1, WDR7
CMBL	ECH1
CMC1	ADRA1B, ADRBK1, AGTR1, AIP, AKAP13, ARF6, ARRB1, BDKRB1, BDKRB2, CCR5, CD47, CDK19, CHRM3, CRHR1, CXCR5, CYTH1, CYTH2, CYTH3, F2R, FFAR1, FFAR2, FLOT2, GNAS, GNB1, GNB2, GNB3, GNB4, GRM2, GRM4, GRM7, HTR2A, HTR2B, HTR6, IQSEC1, KDR, MRGPRX1, PIK3CA, PIK3R1, PLCB1, PLCB2, PSD, PTGIR, RARA, RGS13, RGS16, RGS18, RGS2, RGS4, RGS5, RGS7, RIC8A, RIC8B, S1PR2, S1PR3, SLC16A14, SLC9A3R1, TBXA2R, TSHR, TTC1, TUB, VIPR1, WDR36, ZNF843
CMC2	COQ9, COX6B1, PLGRKT, SCO1, SFXN1
CMIP	MIB1, P2RY1, PIK3R1
CMKLR1	TPST1, TPST2
CMPK1	ACOT13, BACE1, ECE2, ETFA, MADD, NIT2, TATDN1, TTC19
CMPK2	TRIM59
CMSS1	ACSBG2, CBX8, MDM2, MME, MRGBP, NES, PCDH7
CMTM1	BUB3, HNRNPM, HNRNPUL1, RNPS1, SF3A2, WBP4, WDR77
CMTM2	ARL6IP6, CD52, FAM180B
CMTM3	BLNK, MAPK1, MOB1A, MOB3C, VEZT
CMTM4	APOA4, CD274, CMTM6, MIDN, TMEM171
CMTM5	CPLX1
CMTM6	BPIFA2, CD274, CMTM4, GLIPR1, PMEL, SI, TMEM237
CMTM7	AGER, B3GAT1, PSMD6
CMTM8	EGFR
CMTR1	DHX15, HRH2, IARS, LDLRAD4, RNF20, RNF40, SETD3, TMCC2, WASF3
CMTR2	PARVA, SNRNP70, SNRPE, SNRPF, SNRPG, SNRPN
CMYA5	DTNBP1, PPME1
CNBP	BRIX1, BZW2, C8orf33, CADM1, CCDC137, DDX24, DDX27, DFFA, DHX30, EBNA1BP2, EIF3A, EIF6, FERMT2, FKTN, FTSJ3, GLTSCR2, GNL2, GTPBP4, HK2, HSPA9, KCND3, KIAA0020, LLPH, MAK16, MAPK14, MARK3, MYH4, NGB, NIP7, NLE1, NMD3, NOL12, NOP2, NSA2, PABPC3, PABPC4, PAK1IP1, PAPD5, PCBP2, PFAS, PPAN-P2RY11, PRMT1, RBM28, RBM34, RPF1, RPF2, RPL10A, RPL12, RPL13, RPL13A, RPL14, RPL18, RPL18A, RPL24, RPL27, RPL3, RPL30, RPL32, RPL35A, RPL36, RPL37A, RPL4, RPL5, RPL7A, RPL8, RPLP0, RPLP1, RPLP2, RPS13, RPS6, RRP1, RRP8, RRS1, RSL24D1, STAU1, SURF6, TRIM56, TTF1, WEE1, WHSC1, ZC3HAV1, ZFP62, ZNF48, ZNF512, ZNF689, ZNF771, ZWINT
CNDP1	CNDP2, COX7A2, ESR1, GDA, MANEA, PIGM, RAB3B, SCD5, SLC16A10, SLC25A16, WDYHV1
CNDP2	ARPC1A, C8orf34, CAPN1, CASP7, CKB, CNDP1, CRK, CSE1L, DAPP1, DLD, FTO, GBP2, GDPGP1, GINS2, GNS, GSTO2, LCP1, LPL, LRRC36, MVD, NANS, NMRAL1, NPEPPS, NSUN2, RPL23, RPLP2, RPS6KA1, SLC9A3R1, STAT3
CNEP1R1	CTDNEP1, UBE2N
CNGA1	SLC24A1
CNGA3	ACBD5, CNGB3, MIS18A
CNGB1	ABCA4, PRPH, PRPH2
CNGB3	CNGA3
CNIH2	HIBADH
CNIH3	IK, KCNN4, PLD3
CNIH4	GLP1R, TOR1A, TSNARE1
CNKSR1	ARHGEF1, BRAP, BRCA2, CADM4, CYTH1, CYTH2, CYTH3, CYTH4, HAUS5, MAP2K2, MAP2K7, MAP3K10, MST1, PHLDB3, RAF1, RALGDS, RASSF1, RHOA, RHOC, RHOH, RHPN1, RNASE3, STK3, STK4, TRIM24
CNKSR3	ARHGAP39, DIP2B, DLL1, HAVCR2, NISCH, NMI, VCPIP1
CNN1	ACTA1, CALM1, CALM2, CALM3, CCHCR1, DNMBP, FYN, MTHFD1, MTHFD1L, MYBPC3, MYEOV, MYO1A, NCAPD2, PLRG1, PRKCE, RNF150, SLK, SYCE1, TCF3, TFPT, TNC, TNNC1, TPM1, TPM3, TUBB
CNN2	ACTA2, ACTB, ALAD, ALDH8A1, ATE1, CNN3, FAN1, FSCN1, MTAP, NAGK, SF1, TPM1, TRAPPC9, ZYX
CNN3	ATG5, CARM1, CLEC14A, CNN2, FYN, LCP1, LPL, MTHFD1L, SLK, YKT6
CNNM1	FDFT1, HLA-C, HLA-E, PTCH1, PTP4A1, PTP4A2
CNNM2	ARL15, BTNL8, PTP4A1, PTP4A2, RYK
CNNM3	KRTAP2-3, KRTAP2-4, PTP4A1, PTP4A2, PTP4A3, RYK, TMEM173
CNNM4	ARL15, IQCB1, LRRC39, MBLAC2, PTP4A1, PTP4A2
CNOT1	AGO2, BTG2, BTRC, CAPZA2, CCR4, CDC5L, CNOT11, CNOT2, CNOT3, CNOT4, CNOT6, CNOT6L, CNOT7, CNOT8, DDX6, EIF4ENIF1, FBXW11, FHL2, GADD45B, GPBP1L1, GRB2, GTF2A1, IZUMO1, MEX3C, MMP7, NANOS1, NANOS2, NANOS3, NOS1, NOS2, NOS3, PPARG, PSPH, RARA, RAVER1, RNF219, RQCD1, RXRA, STK40, THRB, TNKS1BP1, TNRC6A, TNRC6B, TNRC6C, TOB1, ZFP36
CNOT10	CAPZA2, CCR4, CNOT11, CNOT2, CNOT6, CNOT6L, CNOT7, GADD45B, GPBP1L1, MMP7, NANOS2, NOS2, RNF219, TNRC6A, TNRC6C, TOB1
CNOT11	ALS2CR11, BTG3, CAPZA2, CCR4, CNOT1, CNOT10, CNOT2, CNOT3, CNOT6, CNOT6L, CNOT7, CNOT8, FAM193B, FHL2, GADD45B, GGNBP2, GPBP1L1, IZUMO1, MAP4K4, MMP7, NANOS2, NFKB1, NLK, NOS2, RAVER1, RQCD1, TBC1D10A, TNKS1BP1, TOB1
CNOT2	AGO2, ARMC5, AURKA, CAPZA2, CAPZB, CCR4, CNOT1, CNOT10, CNOT11, CNOT3, CNOT6, CNOT6L, CNOT7, CNOT8, FHL2, GADD45B, GAL, GCSAM, GPBP1L1, GPS1, GPS2, HDAC3, KLK3, KLKB1, MMP7, MSI2, NANOS2, NCOR1, NCOR2, NFKB1, NLK, NOS2, RNF219, RQCD1, TNKS1BP1, TNRC6A, TNRC6B, TNRC6C, TOB1
CNOT3	CAND1, CAND2, CAPZA2, CCR4, CIRBP, CNOT1, CNOT11, CNOT2, CNOT6, CNOT6L, CNOT7, CNOT8, CREBBP, GADD45B, HNRNPLL, MEX3C, MMP7, NANOS1, NANOS2, NANOS3, NCS1, NLK, NOS1, NOS2, NOS3, RQCD1, TNRC6A, TNRC6B, TNRC6C, TOB1
CNOT4	CNOT1, CNOT8, IL36RN, RBM15, SPEN, UBE2B, UBE2D1, UBE2D2, UBE2E1, UBE2E3
CNOT6	AGO2, BRF1, CAPZA2, CHAF1A, CNOT1, CNOT10, CNOT11, CNOT2, CNOT3, CNOT6L, CNOT7, CNOT8, GADD45B, HSP90AA1, IZUMO1, MMP7, MSI2, NANOS2, NFKB1, NOS2, PABPC1, RQCD1, TNKS1BP1, TNRC6A, TNRC6B, TNRC6C, TOB1, ZFP36, ZFP36L1, ZMAT3
CNOT6L	AGO2, BTG2, CAPZA2, CCR4, CHAF1A, CHAF1B, CNOT1, CNOT10, CNOT11, CNOT2, CNOT3, CNOT6, CNOT7, CNOT8, GADD45B, GPBP1L1, MMP7, MPP7, MSI2, NANOS2, NFKB1, NOS2, RAB7L1, RQCD1, TNKS1BP1, TNRC6A, TNRC6B, TNRC6C, TOB1, ZFP36
CNOT7	AGO1, AGO2, ANAPC7, APEH, ASF1A, ASF1B, AURKA, BTG1, BTG2, BTG3, CAPZA2, CCR4, CDC7, CDK1, CDK2, CDK4, CDK6, CHAF1A, CHAF1B, CNOT1, CNOT10, CNOT11, CNOT2, CNOT3, CNOT6, CNOT6L, CPEB3, DDX6, GADD45B, GFI1, H3F3A, H3F3B, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, MBD1, MEX3C, MMP7, MPP7, NANOS2, NFKB1, NOS2, PABPC1, PCM1, PC PURB, RAD54L2, RAVER1, RQCD1, SCARA3, SETDB1, STAT1, TCP11L1, TNKS1BP1, TNRC6A, TNRC6B, TNRC6C, TOB1, TOB2, ZFP36, ZNF408, PURB, PC STAT1
CNOT8	AGO2, BTG1, BTG2, CCR4, CNOT1, CNOT11, CNOT2, CNOT3, CNOT4, CNOT6, CNOT6L, GADD45B, GPBP1L1, MMP7, NANOS2, NOS2, PRMT1, PUM1, TNRC6A, TNRC6B, TNRC6C, TOB1, TOB2, ZFP36
CNP	INTU, MED20, MED23, MME, NMI, NPR1, NPR2, NPR3, PRKCD, SIRT3, TARDBP, TUBA1A
CNPPD1	CDK5, DAB1, OMA1, PLS1, SLC27A2
CNPY2	ADRA2C, COL2A1, CTC1, GNB1L, MAP1S, MLXIP, MYLIP, OBFC1, PDIA5, WDR45B
CNPY3	CHAD, COL14A1, LIG1, LRIG1, LRRC1, LRRC40, LRRN2, LRRTM2, OGN, SCRIB, SELT, TLR1
CNPY4	AIFM2, CHAD, KERA, LRRN2, LRRTM2, PODN, PRG3, TLR4
CNR1	ADORA2A, ERG, GIP, GNA15, GNAI1, GNAI2, GNAI3, HCRTR1, HTR2A, LONP2, MET, PCDHA1, PCDHA10, PCDHA11, PCDHA12, PCDHA4, PCDHA7, PCDHA9, RAP1GAP, RELN, SGTA
CNR2	ADAM21, BRK1, GNA15, MUC15, PCDHA10, PCDHA3, RELN
CNRIP1	CIRH1A, GCH1, KCTD2, KCTD5, PGLYRP1, PRTFDC1, RBM18
CNST	GJA1, GJB2, GJB3, GJB6, GJC1, PPP1CA, PPP1CC, ROPN1
CNTD1	NOTCH3
CNTF	AK8, APOE, CNTFR, CORO7, DDX31, IL6R, IL6ST, LGSN, LIFR, RBM12, RDM1
CNTFR	APPBP2, CLC, CLCF1, CNTF, CRLF1, IL6ST, LIFR
CNTLN	C18orf54, C9orf41, GOPC, PRSS12, RFK, TPM1
CNTN1	CNTN2, CNTNAP2, FYN, GSS, MCAM, NOTCH1, NOTCH2, PCDHGC3, PRNP, PROP1, PTPRB, PTPRZ1, SCN1B, SCNN1B, SLK, TNC, TNR, USP14
CNTN2	CNTN1, CNTNAP2, F3, MAP3K7, NCAN, NFYB, NRCAM, TUBG1, VAC14
CNTN3	APLP1, APP
CNTN4	APLP1, APP
CNTN5	ACAD11, APLP1
CNTNAP1	CD93, FYN, KCNA1, KCNA2, NFASC, PTPRB, RHOA, RTN4, SLK, SRC
CNTNAP2	CANX, CNTN1, CNTN2, EPB41L3, F3, HSPA5, KCNA2, PDIA3, POLR2G
CNTNAP3	APBA1, APOM, CRISP2, ERLEC1, MMP26, SHBG, SIAE, SMPD1
CNTNAP4	APBA1, TIAM1
CNTRL	FAM167A, SYCE3, TRADD
CNTROB	CEP250, COASY, LATS1, LYST, NEURL4, NUBP1, PPAT, TTC23
COA1	COA6, COX17, ECSIT, NCDN, PHLPP1, RFWD3, RNF185, SLC23A1, SLC23A2
COA3	AFG3L2, ATAD3A, C15orf48, C17orf89, CHCHD10, CHCHD2, COQ9, COX4I1, COX4I2, COX5A, COX6B1, LRPPRC, NDUFA4, NDUFA9, NDUFAF4, NDUFV1, SLIRP, TUFM
COA6	ATP5J, CD81, COA1, COX14, COX4I1, PLGRKT, SCO1, SCO2, SFXN1, STYX, TTC19
COA7	COX14, COX4I1, CRHBP, CTGF, DDI2, EFHC1, FKBP10, FKBP6, FNBP1L, IGF2R, MINOS1, PAK7, PHYHIPL, PLGRKT, SCAF4, SCO1, SDHAF2, SELENBP1, SFXN1, SVIL, TXNDC17, WDHD1
COASY	ASNS, ATP5A1, CISD3, CLIC4, CNTROB, COQ10A, EDC4, EFHD2, ENO2, GLRX3, GMPS, HIST1H2AG, HIST1H2AK, HIST1H2AL, KIAA1958, RPS6KB1, RPS6KB2, S100A3, TSTA3
COBL	ACTC1, ACTR2, ALAS1, CDV3, FHL5, MYO18A, NMI, PACSIN1, PACSIN2, PACSIN3, SYNPO, TMOD3, WDR47
COBLL1	AMOTL1, CDADC1, FAM117A, HMBOX1, IFFO1, NRD1, PACSIN1, PACSIN2, PACSIN3, TMBIM6, UHRF1BP1L
COCH	COL1A1, COL2A1, COL4A1, NCOR2, SERPINA6, VIT
COG1	BIN3, CD274, CDC42, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COMMD8, EGFR, GOLGA2, PARP16, SCN2B
COG2	ATP6V1A, CD274, CEP68, COG1, COG3, COG4, COG5, COG6, COG7, COG8, COMMD8, CTH, TEKT4, VSIG2
COG3	ACTR3, ARSA, ASNA1, ATP6V1G1, BSG, CCDC18, CD274, CDC73, CEP250, CLIC1, COG1, COG2, COG4, COG5, COG6, COG7, COG8, COMMD8, CTH, CTR9, DCTN2, HAUS3, HTR6, KRT7, MYH14, MYL12A, OPRM1, RABL6, RTF1, SCFD1, SCN2B, SCYL1, SEC24C, SLC35A1, TBCC, VSIG2, WDR7
COG4	CD274, COG1, COG2, COG3, COG5, COG6, COG7, COG8, COMMD8, CTH, EGFR, FARSA, LMTK3, RPS20, SCFD1, STX5, TEKT4, VSIG2
COG5	BSG, CD274, COG1, COG2, COG3, COG4, COG6, COG7, COG8, COMMD8, CTH, EGFR, MEFV, NIN, PARP16, STK24, STK3, TRAF5, VSIG2
COG6	ARHGEF5, BCL10, BLOC1S2, CCDC53, CCDC92, CCHCR1, CD68, COG1, COG2, COG3, COG4, COG5, COG7, COG8, COMMD8, CTH, DTNBP1, EGFR, EXOC1, EXOC5, EXOC7, KIF5A, KIF5B, KIF5C, KLC1, LGALS14, NAV1, NDUFA5, PARP16, RAB6B, SPAG5, SYCP2L, TRAPPC13, VSIG2
COG7	BIN3, CD274, COG1, COG2, COG3, COG4, COG5, COG6, COG8, COMMD8, CTH, EGFR, EMILIN1, HNRNPD, ILVBL, KRT7, SCFD1, STAM2, TAX1BP1, TRAF5, VSIG2, ZNF471
COG8	ATP6V1A, BSG, CD274, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COMMD8, CTH, VPS51, VSIG2
COIL	ATXN1, CCNE1, CDK2, CSNK2A1, CSNK2A3, DAXX, DENND2D, DUSP5, GTF2F1, HABP4, HMBOX1, KIAA0947, KYNU, LACTB2, NOLC1, PDE4D, PIAS4, PIH1D1, POLR2L, PPM1G, SNRPB, SNRPN, TAF9, TERT, TRIM5, UBL5, USPL1, VRK1, VRK2, WDR34, WDYHV1, WRAP53, XRCC5, XRCC6
COL10A1	ANXA5, C1QL1, C1QL4, COL4A2, COLGALT2, NUMB, P4HB, TOMM34
COL11A1	DDR1, FBXL19
COL11A2	DDR2, TKT
COL12A1	ID1, MMP2, MMP9, PLGRKT
COL13A1	FN1, HSPG2, ITGA1, NID1, NID2, SPARC
COL14A1	CD44, CD81, CNPY3, COL20A1, DCN, GIP, HLA-DQB2, IL12A, OGN, PRDX2, PRELP, RNASE13
COL16A1	COL4A1, GFAP
COL17A1	ACTN1, ACTN4, CSTF2T, CTNND1, DSP, DST, GID8, ITGA6, ITGB4, KRT18, LAD1, PLEC, PPIL1, PPL
COL18A1	AHI1, APP, C1QTNF9, COL8A2, CTSL, FBLN2, GPC1, HNRNPD, ITGA5, ITGB1, KDR, MMP2, MMP9, NCL, PCOLCE, TGM2, THBS1, TPM1
COL1A1	ANXA1, ATP13A2, BMP1, C12orf57, CAMKMT, CD200R1, CD36, CD44, CD93, COCH, COL1A2, COL5A1, COL7A1, DCN, DDR2, ERAL1, FGF7, FN1, GIPC2, HCRTR2, HTRA1, IGFBP3, ITGA2, ITGA5, ITGB1, KEAP1, LOX, MAG, MATN2, MMP2, MMP9, NID1, NID2, P4HB, PAK1, PCP2, PDGFB, PKD1, PRELP, RASGEF1B, RNH1, RXRA, SP1, SPARC, TGFBI, THBS1, TIMM44, TKT, TMEM180, TMPRSS6, TMTC4, TXN, UBXN11, VDR, VWF, ZNF16
COL1A2	APP, CAMKMT, CD36, CD44, CD93, COL1A1, COL5A1, COL5A3, DCN, ERAL1, FN1, HDAC1, HDAC2, HTN3, ITGA2, ITGA2B, ITGB3, KCNIP4, LOX, LUM, MMP9, MYOC, P4HB, RFX1, RFX5, SBF1, SERPINB5, SGTB, SIN3B, SMARCB1, SMARCC1, SPARC, TGFBI, TIMM44, VWF, YAF2, ZNF16
COL20A1	ATP5G3, CDKN2C, COL14A1, GGACT, MEIS1, PBX2, TSC2
COL23A1	EXOSC8, FURIN, LSMD1, NAA38, OR52J3, TDP2
COL24A1	APPBP2
COL25A1	APP, DAP, IAPP, PLOD1, SNCA
COL2A1	ANXA5, BMP2, C1QA, C1QTNF9, CHAD, CLGN, CNPY2, COCH, COL6A1, COL8A2, COL9A1, COL9A2, COL9A3, COLGALT2, COMP, DDR1, FGF7, FKBP9, FN1, HTRA1, ITGA2B, KEAP1, LOXL4, MAG, MATN1, MMP1, MMP13, MMP2, MMP9, NABP1, PCOLCE, PDIA2, PKD1, PPP2CA, PPP2R1A, PRELP, SPARC, TGFB1, TGFBI, THBS1, TNFRSF10A, VWA9
COL3A1	AP2B1, DDR1, DDR2, ERAL1, FGF7, HTRA1, ITGA1, ITGA2, LOX, MAG, MYOC, PCOLCE, SPARC, THBS1, TKT, VWF
COL4A1	ACHE, APCS, APP, BMP3, CD93, COCH, COL16A1, COL4A2, COL7A1, COLGALT2, DCN, DISC1, FBLN2, FN1, HABP2, KLK6, MAG, MATN2, MMP2, MMP9, NID1, NID2, OSM, PLOD1, SAA1, SAA2, SAA4, SERPINE2, SMAD1, TGFBI, THBS1, TINAG, VHL
COL4A2	ANTXR2, APP, BMP3, CD93, COL10A1, COL4A1, COL8A2, COLGALT2, COLQ, FBLN2, FKBP9, FN1, HABP2, ITLN2, KLK6, MATN2, MMP9, MSR1, OSM, SAA1, SAA2, SERPINE2, TGFBI, TNPO3, VHL
COL4A3	ANTXR2, APP, CAMK2B, CD93, COL4A3BP, DCN, FBLN2, FN1, HABP2, KLK6, MATN2, MFAP2, MMP9, OSM, SAA1, SAA2, SERPINE2, TGFBI, USH2A, VHL
COL4A3BP	ACTL8, AQP2, COL4A3, CSNK1G2, EXOSC3, EYA1, FTL, GPBP1, ITGB3BP, MARK1, MARK2, MARK3, PACSIN2, PPP2R5C, RANBP2, RANGAP1, RTN3, RTN4, RUFY1
COL4A4	ANTXR2, CD93, DCN, FBLN2, FN1, HABP2, KLK6, MATN2, MMP9, OSM, SAA1, SAA2, SERPINE2, TGFBI
COL5A1	BMP1, C1QTNF2, COL1A1, COL1A2, COL5A3, COL6A1, COL6A2, COL6A3, COL8A2, CSNK2A1, CSNK2A2, CSNK2A3, DCN, EPO, FN1, GALNT7, LGALS3BP, MAG, MMP2, MMP9, PCOLCE, PCP2, PRSS23, PTPN2, SDC3, SPARC, TGFB1, THBS1, TNC
COL5A2	BMP1, DDR1, PCP2, TGM2
COL5A3	COL1A2, COL5A1
COL6A1	CLK1, COL2A1, COL5A1, COL9A1, COLEC11, DCN, FGF7, LAMB1, LGALS3BP, LYPD1, MAG, MMP9, RTBDN
COL6A2	ABCD3, C1QTNF9, COL5A1, COL9A1, DEFB121, DISC1, FN1, MDC1, OBP2A, WNT10B, XCL1
COL6A3	COL5A1, MMP2
COL7A1	ARNT, BMP1, COL1A1, COL4A1, FN1, LAMA1, LAMA5, LAMB3, LAMC2, LRRC57, MIA3, MMP2, NFKBIA, PCP2, THBS1
COL8A1	COL8A2, CREB5, ITGA1, ITGA2, KLHL12
COL8A2	COL18A1, COL2A1, COL4A2, COL5A1, COL8A1, COLGALT2, CRTAP, DARS2, P4HA2, SGTA
COL9A1	COL2A1, COL6A1, COL6A2, COL9A2, COL9A3, COMP, MAG, PPP1R12C, VHL
COL9A2	COL2A1, COL9A1, COL9A3, MAG, PHB
COL9A3	COL2A1, COL9A1, COL9A2, MAG
COLCA2	ZW10
COLEC10	ARL8A, DCP2, INHBE, LEPREL4, MCU, NUCB2, PTX3, SOD1, STC2, TIMP3
COLEC11	ASB7, CDC6, COL6A1, KLHDC2, MTFR1, NELL2, NRP2, TIMP3, TRIM68
COLEC12	ATG16L1, CSPG5, DRD2, LAMB1, LGALS2, LGALS3, SCARA3
COLGALT1	COLGALT2, HSPD1, OS9, PLOD1, PLOD2, PLOD3, PRPF40A, PTPRN, PYGL, STRIP1, TGM2, TP53, UBLCP1
COLGALT2	C1QTNF3, C1QTNF9, CACNB4, COL10A1, COL2A1, COL4A1, COL4A2, COL8A2, COLGALT1, DOK1, EMID1, HPCAL1, MRPS36, MSR1, SCARA5, VIPAS39
COLQ	ACHE, BCHE, COL4A2, CRTAP, LEPRE1, LEPREL1, LEPREL4, MUSK, P4HA1, PLOD1, PLOD2, TEX15
