,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
14,0.00217138,0.0212068,48.0676,0.0162879,0.0,0.0390766,0.0,0.0111246,3.96085,0.0776142,0.146839,0.0,0.892519962,0.0,0.0,0.0,0.0500646,0.0688661,0.0887139,0.0,0.0,0.250911236,3.74527259993631e-16,4.78858017,6759.48039,0.74,6.045115349999999,23.0,24.947092199999982,2
15,2.69355,3.067,4.53185,11.0837,9.62627,9.02837,2.81207,7.94318,8.33796,8.68441,7.73224,4.48327,0.0,0.0,0.0,0.0,8.05844,5.95558,2.85996,10.2895,10.3781,0.378442705,0.637356652288557,2.95961178,14.35294,-0.32,9.25696,2.0,24.8314,2
16,13.1007,20.0938,23.855,44.897,45.4901,44.5924,14.7561,31.1824,37.5384,49.6908,82.6447,47.2167,0.0,0.0,0.0,0.0,99.9986,32.389,15.1981,20.9375,22.6047,0.747095764,0.988882578133094,0.0,331.75038,-0.34,6.96743,8.0,33.3747,2
17,6.88484,9.52512,16.8487,17.9943,24.6806,27.5283,6.85794,14.4494,11.2419,17.3006,98.4586,8.07819,0.0,0.0,0.0,0.0,42.7651,33.386,50.0031,11.4577,10.7637,0.72829324,0.642340812644093,0.0,863.32946,-0.2,7.2415,5.0,6.87758,2
18,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
19,43.90503300000001,69.96629600000001,267.39268400000003,132.985742,132.54368000000002,137.98156499999993,43.6444206,184.1262705000001,92.28392800000002,92.789837,98.14130799999997,90.78468470000004,0.10318117268,0.0,0.0,0.0,95.998077,102.8310474,49.50277199999999,140.04087183,188.222044,0.5922289959599998,0.5756905766364312,6.447265384799996,2.26454,-0.1187999999999999,8.458184749999997,8.31,35.0355221,3
21,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
22,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2541842718299998,0.4059237624192507,0.5447484761,846.7401033999998,0.1902999999999998,7.425905150000001,6.3,18.12690209999999,3
24,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
