,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
12,0.518683,0.192588,0.0802191,0.247813,0.2223,0.258092,0.0415904,0.382868,0.314297,0.162708,15.2312,0.010956,0.0,0.0,0.0,0.0,0.507668,0.255868,3.6996,0.0342274,0.147037,0.670620084,0.0004554173584011,0.0,196.06202,-0.07,7.52756,8.0,10.1205,2
13,0.0191304,0.0849319,59.5805,0.0838212,0.0860326,0.158824,0.0236828,0.0641312,1.41953,0.182742,0.339619,0.00911092,0.884939848,0.0,0.0,0.0,0.206429,0.138209,0.0896492,0.00851141,0.0109504,0.260505974,1.8979708386130403e-15,4.78858017,1949.89203,1.16,3.07577,15.0,21.906357099999987,1
15,2.69355,3.067,4.53185,11.0837,9.62627,9.02837,2.81207,7.94318,8.33796,8.68441,7.73224,4.48327,0.0,0.0,0.0,0.0,8.05844,5.95558,2.85996,10.2895,10.3781,0.378442705,0.637356652288557,2.95961178,14.35294,-0.32,9.25696,2.0,24.8314,2
16,13.1007,20.0938,23.855,44.897,45.4901,44.5924,14.7561,31.1824,37.5384,49.6908,82.6447,47.2167,0.0,0.0,0.0,0.0,99.9986,32.389,15.1981,20.9375,22.6047,0.747095764,0.988882578133094,0.0,331.75038,-0.34,6.96743,8.0,33.3747,2
17,6.88484,9.52512,16.8487,17.9943,24.6806,27.5283,6.85794,14.4494,11.2419,17.3006,98.4586,8.07819,0.0,0.0,0.0,0.0,42.7651,33.386,50.0031,11.4577,10.7637,0.72829324,0.642340812644093,0.0,863.32946,-0.2,7.2415,5.0,6.87758,2
18,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3412018263099998,0.6128243851008771,0.8204270315000001,738.0836897999997,0.2583,7.663485050000002,5.43,18.037404299999995,3
21,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
25,33.313222,48.098849,37.09146240000002,102.93410800000004,102.12165199999995,97.91752799999996,29.448227000000003,77.17210499999999,69.88606000000003,69.29816199999999,76.181252,48.1478721,0.03011348492,0.0,0.0,0.0,70.72143000000001,98.33788899999996,33.69895640000001,63.70310796999998,97.673581,0.6721783632299996,0.7191813567117538,5.3638487288,12.51592,-0.2138,8.304319800000002,3.97,21.917000449999996,3
26,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
27,37.1277245,41.334593000000005,41.01329989999999,95.44877600000004,95.590434,91.414676,25.4505833,75.336379,64.886701,63.785956,66.60114000000003,29.492904000000006,0.02319208772,0.0,0.0,0.0,64.194544,93.248285,29.195530600000016,52.64970207000002,80.51086600000001,0.7047040820599995,0.7207521082486912,5.099928790499999,19.54317,-0.2567000000000001,8.92587,6.41,15.13575,3
28,39.33082200000002,64.30579600000002,75.13346639000005,134.42799600000006,126.937828,151.91155999999995,59.19444369999997,116.25142799999996,86.00886499999999,83.55902779999998,90.00254699999999,88.09623008000003,0.1620086348,0.0,0.0,0.0,104.69234000000006,117.97193240000004,35.99404059999999,66.16243974999999,113.2799115,0.6131860215200001,0.3944358830167032,6.770920125700001,3024.54248,-0.7955999999999996,9.83397,28.03,6.494215,3
29,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
30,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
31,59.873486000000014,84.189621,1622.5733466,141.69655757100003,135.22095799999997,183.0536389999999,327.41283389999984,132.2754270000001,122.65950558799996,107.19227399999995,117.78179999999996,84.90296634999999,0.12791462829,0.0,0.0,0.0,114.63150300000002,176.99551940000003,44.42374999999999,88.32688479999997,113.72174000000008,0.123297259,0.0296791583668939,4.2526395585,3370.65082,0.4667000000000001,8.513885249999996,6.0,30.33352150000001,3
32,23.5387,11.5438,36.0467,12.6723,46.6491,25.3765,9.95407,11.6351,19.2869,13.4823,16.5158,1.16262,0.0,0.0,0.0,0.0,21.7922,24.7557,7.02883,0.68476,1.66842,0.526022315,5.124327258177759e-22,4.73409565,3979.35991,-1.97,6.73398,24.0,8.51791,2
34,60.0882,44.1715,155.224,28.9704,32.4605,18.9675,21.9984,20.0288,75.7295,55.4904,48.3977,10.4746,0.72547625,0.0,0.0,0.0,17.6949,73.815,14.1181,29.8031,13.8263,0.400788903,0.0001629102859089,3.30614607,1714.58162,-0.2,7.88825,10.0,12.6364,2
35,528.612,358.6,615.998,431.576,349.775,419.609,331.948,348.978,405.838,433.204,274.721,113.905,0.64744784,0.0,0.0,0.0,698.604,901.898,106.589,209.128,202.848,0.195770636,1.31058372898069e-07,7.00483334,459.50732,0.03,4.59275,13.0,9.37217,2
36,0.039166,0.254347,0.011255,0.469166,0.67498,0.280719,0.0447508,0.164866,0.118774,0.194844,1.38152,0.00748358,0.0,0.0,0.0,0.0,0.0783803,0.132638,0.21767,0.0133815,0.076344,0.480894595,0.999993944546979,3.92875548,15528.89086,1.28,8.56363,0.0,14.105194199999994,2
37,0.0285755,0.058495,0.221599,0.171626,0.234094,0.611142,0.0317927,127.57,0.312775,0.632049,2.88332,0.195576,0.0,0.0,0.0,0.0,0.254815,0.104366,0.0430769,0.0421825,0.098973,0.351971358,0.335356707410971,2.87518539,1151.46765,-0.03,7.520364049999999,2.0,10.515105799999995,2
38,1.23541,1.41497,0.84633,1.91087,3.43358,1.82194,2.70906,4.35325,1.82837,1.38032,3.18788,0.109048,0.0,0.0,0.0,0.0,2.27979,1.96566,0.858797,3.97496,0.98013,0.266798615,0.146646886780043,2.29475553,281.52605,0.17,10.2978,26.0,14.8955,2
39,2.01119,3.44893,1.56442,16.2021,19.1316,4.79191,1.99782,4.89046,7.75347,9.502,8.46451,5.64084,0.0,0.0,0.0,0.0,3.80408,4.26154,6.05922,3.90966,9.32634,0.767620981,0.831594948873275,2.30415191,4.10513,0.06,9.46981,11.0,8.77514,2
40,0.0,48.66,68.4379,0.0813756,0.0833936,0.178193,0.230628,0.0365041,0.0790877,0.0441558,0.312212,0.0246835,0.0,0.0,0.0,0.0,0.169416,0.288429,0.0,0.0672155,0.0265708,0.435617685,1.98871537094846e-07,0.0,73.5044,-0.4,8.145875850000003,1.0,15.770158149999991,2
42,10.9092,11.6288,37.2952,19.2219,19.9963,15.0918,14.5849,29.8323,19.3871,14.1378,15.4911,20.19,0.0,0.0,0.0,0.0,20.1664,20.612,9.58868,10.7652,15.024,0.75617367,0.0944353057008641,9.41746522,194.54546,0.13,7.01009,9.0,6.60654,2
43,3.9232,5.59167,41.6148,42.4618,11.835,16.6875,2.15413,4.27637,93.582,32.3426,18.7426,9.87725,0.0,0.0,0.0,0.0,3.28596,4.0526,3.82949,43.3552,2.30364,0.499158382,0.0167637112007589,6.79317767,551.73015,0.27,10.29885,7.0,17.000393599999995,2
45,25.2182,21.0971,2.82465,22.6398,33.8722,27.9503,18.8005,15.1203,31.9029,28.3286,44.9267,5.42346,0.0,0.0,0.0,0.0,10.49,6.36477,18.7743,18.1771,10.5501,0.603037536,0.0013966961363891,0.0,1132.78741,-0.95,4.46478,5.0,11.8038,2
46,452.0,1065.64,760.447,4809.08,3385.87,2810.59,404.792,1995.41,3377.93,3837.74,1018.33,4803.94,0.0,0.0,0.0,0.0,1203.58,1439.14,1011.42,11629.4,6698.97,0.77079457,0.935803217105583,19.77150213,1.93092,-0.67,7.60725,17.0,12.7399,2
47,5.58191,3.12774,2.26165,3.01842,5.04287,3.73877,1.14293,1.92804,2.91297,2.7289,9.79737,0.366189,0.0,0.0,0.0,0.0,5.31567,3.95011,2.78157,6.913,6.4109,0.250911236,8.52495696643507e-09,0.0,135.20538,0.26,6.49276,2.0,24.4829,2
48,46.1217,49.0575,50.8213,153.236,102.999,92.8489,46.2887,166.813,62.6746,112.628,88.4011,467.272,0.0,0.0,0.0,0.0,87.9661,73.6113,41.1478,93.5582,107.009,0.824708164,0.592753905673148,3.74819578,4.82569,-0.3,8.93613,5.0,19.1454,2
49,17.7493,63.8293,14.211,322.568,280.378,513.742,13.9769,106.742,127.911,97.2308,96.972,2.09208,0.608580619,0.0,0.0,0.0,79.1385,68.9253,14.0436,1.98484,128.54,0.481797874,0.0002187985563168,5.8862599,3547.82162,0.12,6.93602,3.0,13.2867,2
50,1.17959,1.62082,1.76376,5.23393,8.11113,6.8206,1.44895,3.89735,3.86478,4.1129,5.56804,1.06778,0.0,0.0,0.0,0.0,10.8811,3.14241,1.74226,4.00903,4.09582,0.824708164,0.999998843614557,9.824088,11.52402,-0.8932999999999994,6.57617,2.0,30.687,2
51,45.0572,57.0291,273.184,115.446,68.5087,36.897,79.7265,73.2771,113.821,68.1385,56.7874,71.0206,0.558617998,0.0,0.0,0.0,71.5266,49.9767,10.2518,27.1542,70.5308,0.345919698,0.0001503550523723,4.89792922,430.44157,0.2,6.21446,3.0,16.4433,2
52,0.887825,2.16551,0.408619,9.72956,12.4297,12.9677,1.19244,2.79714,3.43858,6.93901,6.13556,3.10601,0.0,0.0,0.0,0.0,19.8119,2.24689,8.6841,1.67868,7.06996,0.78311038,0.674499951839515,3.96667768,13.17386,-0.51,7.64702,5.82,9.10764,2
54,0.12574,0.529191,0.271457,2.09991,2.22702,3.14567,0.332245,4.35997,2.33278,8.76136,17.4343,0.153866,0.0,0.0,0.0,0.0,1.97972,0.503411,0.822918,41.3019,21.841,0.444235265,6.76187936246612e-05,1.97950538,1613.48158,1.0,9.66235,60.0,12.213,2
55,29.2348,24.8429,32.9977,80.299,66.1945,53.7251,27.5029,38.1108,46.369,60.9014,32.7052,26.8348,0.534112944,0.0,0.0,0.0,36.3889,73.6114,20.9951,56.2021,80.8355,0.765388608,0.980206587064648,12.7412592,12.57291,-1.0,9.15107,4.0,17.0001,2
56,36.584233,43.62847100000001,43.065216100000015,100.07348,98.576157,96.07964199999998,32.03344500000001,75.959371,66.75403100000003,68.5976,70.72345599999998,39.5489154,0.04026212381,0.0,0.0,0.0,75.71713500000001,89.39909399999996,32.841151700000005,63.87105809999994,95.45981100000004,0.6090505514000005,0.6374715236855476,5.0089998071,93.96157,-0.1238,7.77077,3.71,36.0488,3
58,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
59,34.25771750000001,45.38614099999999,40.67757609999999,94.91054000000004,94.614998,89.91467680000001,30.48788100000001,75.28413900000004,66.223923,65.43692099999998,71.50630600000004,40.00056799999999,0.06182387338,0.0,0.0,0.0,79.32773300000002,91.228643,28.715255700000004,60.29868696999998,81.13290100000002,0.6179971435800004,0.590869556446568,5.584783678600001,722.18127,-0.2713999999999999,9.755545,4.25,23.6696779,3
61,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
62,48.9804057,92.08045469999998,92.86193898000003,171.6823609999999,178.5142379999999,245.87575000000004,65.38559199999999,159.8139644500001,129.38049800000002,122.0545738,108.24205199999996,250.47326469999996,0.19352816013,0.0,0.0,0.0,122.47327400000002,170.78863040000005,59.17133080000004,122.25939047999988,156.820914,0.5908046757599998,0.2666593922372677,7.504864335799997,3568.46662,-0.7307999999999999,15.58825,16.59,3.60642,3
63,29.192398,41.955692000000006,35.17466619999999,92.679772,93.01871699999998,92.82641999999998,28.28310670000001,73.581314,64.25731799999998,62.18818799999995,71.16727399999999,37.688861799999984,0.01379044937,0.0,0.0,0.0,84.08965900000003,82.86768000000001,32.5444914,55.52976819999998,82.05938600000002,0.6086514094200004,0.5726585508787183,4.7629488242,157.69682440000005,-0.2324,8.6539055,5.76,22.116036949999994,3
64,37.6207,39.5858,183.302,91.4926,42.8162,54.3042,9.13108,66.2419,49.6168,20.653,19.1063,17.4749,0.0,0.0,0.0,0.0,29.6171,85.9966,69.9971,5.42451,13.043,0.211613655,1.73245219738394e-06,1.9987867,516.20171,-0.84,7.57405,123.0,9.25561,2
65,4.01901,6.21068,10.0195,12.3813,20.0034,18.6659,6.08743,10.4675,10.1886,11.7598,40.9381,3.49969,0.427016488,0.0,0.0,0.0,14.0895,19.4713,7.35476,26.0403,28.9,0.429269791,1.00988304374679e-05,1.99205705,735.17295,0.49,9.98719,5.0,36.298,2
67,2.48032,3.82487,2.81922,122.496,18.2709,3.68759,11.7393,7.91902,39.2393,134.889,4.34783,284.285,0.0,0.0,0.0,0.0,3.61988,9.25928,2.47015,70.5178,0.0487178,0.679628551,0.0016443933258169,9.40182742,89.21156,-0.95,5.22174,3.0,5.09531,2
68,2.51999,4.23834,2.26565,118.457,21.0176,8.6604,3.63227,4.08023,20.6441,94.8225,2.71779,673.54,0.0,0.0,0.0,0.0,2.89518,16.7537,3.74376,21.991,0.424703,0.652875006,0.846184681895041,5.73605192,12.92759,-0.23,15.666,4.0,6.80392,2
72,0.0132218,5.1298,133.778,0.105909,0.189999,0.414748,0.148622,0.166041,0.0635618,0.0593393,0.276104,0.0141561,0.586605732,0.0,0.0,0.0,0.452469,0.0609483,0.0181759,0.050474,0.0407805,0.338818938,2.12015609401708e-07,5.93837843,115.97808,-0.11,7.170849950000003,2.0,17.47619569999999,1
73,4.83427,13.3967,74.1637,39.763,43.0904,6.24985,28.6163,29.6137,16.5487,12.2449,10.3405,0.37187,0.0,0.0,0.0,0.0,14.9471,17.5509,18.4097,0.587753,33.256,0.170125708,9.464972141926541e-09,2.32512716,1333.38747,0.11,9.16421,12.0,7.97087,2
74,0.0507971,0.262844,18.5296,1.01985,0.465269,0.587255,0.582505,0.383504,3.6509,5.85898,4.01012,0.749771,0.0,0.0,0.0,0.0,0.814494,0.483041,0.476766,66.634,0.603887,0.207913831,2.76981473339532e-08,1.99096127,89.90353,0.0393999999999999,6.57418,1.0,2.58493,2
75,3.21238,4.49394,5.50107,14.5254,20.4449,12.8128,5.14058,15.0599,15.1001,13.7969,18.2017,2.99435,0.0,0.0,0.0,0.0,9.64228,6.59728,5.13599,19.7505,11.3962,0.414402038,0.999985243734791,1.97950538,2134.60639,-0.11,5.25902,11.0,13.099,2
76,8.95674,9.31738,11.6004,52.8489,26.9069,49.3935,8.10915,14.9726,19.3786,9.50619,11.3179,4.16033,0.0,0.0,0.0,0.0,9.53371,19.9487,4.07681,27.5578,46.3747,0.250911236,4.52445486156544e-20,8.87176074,619.32231,-0.08,7.64181,8.0,7.74336,2
77,40.304,62.8432,39.9267,200.948,259.175,284.005,88.8826,196.339,172.072,170.583,119.17,77.6331,0.0,0.0,0.0,0.0,107.082,94.253,79.7485,500.252,419.225,0.462691694,0.957395492721211,3.90015237,31.817,-0.16,7.38891,3.0,11.7103,2
78,62.2579,47.6067,12.1989,84.441,69.1235,59.0285,24.0902,43.7061,68.2412,52.3466,18.4901,92.0807,0.0,0.0,0.0,0.0,21.0549,16.2904,15.7792,71.8725,76.5178,0.569592476,3.45820449578136e-06,11.68698487,6250.3857,0.49,10.9099,11.29,11.7263,2
79,0.0275356,34.4731,0.384314,19.5592,0.0737693,0.145181,24.6708,46.769,29.4727,0.445648,15.1454,0.549453,0.0,0.0,0.0,0.0,52.4131,0.0551289,0.31359,0.0641213,0.123866,0.64561969,0.0013459524796737,7.46854836,52.57422,-0.87,6.62341,1.0,8.5168,2
80,10.9036,30.3438,20.4647,51.0206,56.3247,42.6338,16.51,32.2965,35.5712,98.8687,46.7254,13.0263,0.0,0.0,0.0,0.0,48.7998,26.861,21.9352,19.92,41.1213,0.824708164,0.999932214597942,9.12031427,31.30469,-1.77,8.46734,6.0,7.54677,2
81,2.20381,2.0088,1.89882,6.01263,9.32949,6.35239,1.48972,8.77539,5.34137,5.94676,6.40427,1.22809,0.0,0.0,0.0,0.0,5.05289,4.26876,1.6542,10.5129,13.5575,0.579295993,0.979862099052625,2.94114631,3652.51436,-0.66,7.66947,3.0,42.1676,2
82,2.73914,2.51156,2.5885,7.71383,9.07154,5.96271,2.5045,6.15583,9.80838,7.52095,5.90447,1.81865,0.0,0.0,0.0,0.0,6.96671,5.59257,34.1085,8.74471,12.5899,0.731391132,0.999999927739402,17.73122404,395.17068,-2.52,8.12909,3.0,30.4657,2
83,19.0491,41.2562,199.682,107.441,79.2238,83.0375,29.8681,67.6701,55.8646,110.907,122.463,252.478,0.0,0.0,0.0,0.0,148.091,64.2658,46.3156,55.4406,170.303,0.349588096,2.35566376172495e-07,3.96595924,582.05286,0.58,6.71752,6.0,22.1884,2
84,12.1531,0.574734,5952.22,1.96798,10.4423,17.1926,0.474531,0.309264,39.3508,1.87384,453.446,0.462341,0.487950036,0.0,0.0,0.0,3.00863,0.629966,0.526429,0.249821,0.317504,0.460647643,0.0487383759438174,22.45542977,41.96842,-0.47,8.66095,12.0,9.9447,2
85,0.0578305,0.308011,5517.31,0.820986,0.183753,0.287641,0.186473,0.0986377,0.184712,0.503322,1.01636,1.22058,0.476731295,0.0,0.0,0.0,0.549199,0.288341,0.12159,0.0737977,0.0566329,0.275872409,0.0094370553998937,9.68377659,1.71247,-0.03,9.55638,2.0,17.2104,2
87,0.0,0.0,309.171,0.0704903,0.0,0.0,0.383409,0.0,0.118635,0.0151841,1.60535,0.0,0.58752432,0.0,0.0,0.0,0.0286301,0.0,0.0,0.0,0.0477418,0.237914741,1.37735073361006e-06,6.30408587,831.91915,0.42,3.02653,5.0,25.7966,1
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1457,0.0,0.159836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212742656,0.0001448615791027,2.75424746,82.9695,1.13,7.8592137000000015,11.0,23.3286564,2
90,0.814282,3.3525,2897.34,123.645,8.95814,24.1898,1.73521,14.6674,17.0763,116.033,9.3696,0.987835,0.0,0.0,0.0,0.0,8.88295,698.341,52.6764,1.66702,4.12713,0.146139458,0.0507382728810443,4.66709709,30.95619,-0.05,9.72367,25.0,11.9811,2
91,0.109421,3.17344,1789.45,10.815,1.33975,0.525102,0.383516,1.24158,4.56714,1.77721,0.486896,0.238465,0.581831887,0.0,0.0,0.0,1.2546,3.05288,13.6222,0.196795,0.0686239,0.146139458,0.0227961322934307,7.17950472,1212.3495630000004,0.77,7.21193,2.0,29.9352,2
92,0.0607781,1.40246,7599.74,0.40389,0.071623,0.350126,0.344829,0.0921465,105.637,0.564886,1.02247,0.590123,0.685634875,0.0,0.0,0.0,0.372526,0.252079,0.0289459,0.0872591,0.370914,0.146139458,0.0006780264041058,8.54717688,21.59679,0.37,8.66095,11.0,9.9447,2
93,0.0,0.0234821,313.545,0.390748,0.117987,0.328887,0.0,0.0391303,0.121465,0.399808,0.241751,0.0,0.0,0.0,0.0,0.0,0.102492,1.34174,0.193798,0.183829,0.0,0.146139458,0.0001506923476264,2.75254568,1530.66665,0.82,7.21193,4.0,29.9352,2
94,315.013,25.1434,2.07534,175.836,14033.0,147.597,84.1579,743.285,71.1138,5.9286,105.183,1.97426,0.0,0.0,0.0,0.0,175.478,46.1306,325.777,2.26723,209.941,0.381317914,0.0008539042928182,8.88484132,93.19434,0.77,8.23899565,30.9,18.7526315,2
96,0.0104076,0.0268968,164.744,0.0287332,0.0327842,0.0278873,0.0265512,0.0,0.0506246,0.0932424,1.02134,0.0297986,0.0,0.0,0.0,0.0,0.157544,0.0302152,0.0286965,0.174872,0.0,0.123297259,0.0193380084394216,2.35810037,780.95405,0.73,8.858525,2.0,23.24,2
97,9.06587,74.8106,61.399,66.7037,16.6429,10.987,18.4465,662.885,36.6617,85.3848,3.87501,5.89083,0.0,0.0,0.0,0.0,2.81689,1.51447,0.661934,1.91236,0.624033,0.608066559,0.504827505452393,5.91835824,10.88584,-0.3,10.5545,4.0,15.6316,2
98,37.9972,12.0017,10.0248,1.2839,7.32836,2.28427,1.10192,5.21461,9.51983,1.27618,23.9283,0.0532751,0.0,0.0,0.0,0.0,0.203345,0.766263,0.164921,0.0396229,0.0711768,0.146139458,1.86009112555737e-09,3.93243986,500.92929,0.11,11.2509,15.0,14.5162,2
100,11.2852,7.60952,1.14439,32.5587,46.3744,23.9269,1.42886,61.6581,8.57943,35.6954,28.0305,0.24561,0.0,0.0,0.0,0.0,5.68305,11.7362,28.4026,1.03221,37.0826,0.5823430163300001,0.2814740255569478,1.99992492,576.78624,-0.4988999999999998,9.53796,8.75,8.76754,2
101,54.6808,126.83,71.6915,315.011,302.262,225.466,77.595,185.414,221.78,234.584,124.014,202.406,0.415747574,0.0,0.0,0.0,190.494,151.9,86.5999,380.985,430.751,0.782960892,0.727995864276251,3.98810484,53.81777,-0.25,7.31672,1.0,15.3715,2
102,0.00548135,0.849935,0.0484449,1.55598,0.0238814,0.0284907,2.36889,0.250944,1.19284,0.018429,0.168259,0.0,0.0,0.0,0.0,0.0,1.83536,0.0109455,0.00935462,0.0460384,0.0216129,0.170952082,0.005631717454329,0.0,2057.23092,1.0191999999999992,12.3815,11.37,62.6303,2
