iter	MultiClass
0	1.025919854
1	0.940881912
2	0.8925577773
3	0.8561583235
4	0.8063245654
5	0.780722292
6	0.7449015546
7	0.7255089444
8	0.7070196034
9	0.6894532567
10	0.6754976481
11	0.6626231199
12	0.6427222285
13	0.6300834138
14	0.6161085262
15	0.6047499155
16	0.5956791947
17	0.5908799479
18	0.5830570315
19	0.5802097728
20	0.5719254232
21	0.5637602465
22	0.5559590693
23	0.5508200094
24	0.5418150606
25	0.5345995679
26	0.5303438384
27	0.5236971078
28	0.5177911691
29	0.5092410581
30	0.5037812337
31	0.4944894432
32	0.4886967926
33	0.4838751934
34	0.4790780732
35	0.4726725943
36	0.4676058933
37	0.4657674592
38	0.4627090304
39	0.4589102571
40	0.4539975432
41	0.4522993651
42	0.4502992616
43	0.446776373
44	0.4418184229
45	0.4366762428
46	0.4312106163
47	0.4270577026
48	0.4209549211
49	0.4170220362
