iter	MultiClass
0	1.026967849
1	0.9614671113
2	0.91216627
3	0.8603640583
4	0.8062064408
5	0.7640241286
6	0.7322697606
7	0.7152350664
8	0.6922211468
9	0.6728602181
10	0.6563113382
11	0.6462539219
12	0.6326031801
13	0.6219238494
14	0.6084036441
15	0.5968130116
16	0.5847169971
17	0.5787254373
18	0.5686809733
19	0.5625386538
20	0.5544290581
21	0.545044551
22	0.5363587126
23	0.5344196029
24	0.5270947824
25	0.5184909465
26	0.5100968307
27	0.5022193434
28	0.498434976
29	0.4910067074
30	0.4862846491
31	0.4827100559
32	0.478600117
33	0.4765701858
34	0.4715305101
35	0.467890616
36	0.4641522246
37	0.4593531167
38	0.4532746188
39	0.4470365607
40	0.4427085718
41	0.4402594328
42	0.4352809513
43	0.4318406527
44	0.4261421261
45	0.4193086742
46	0.4161198284
47	0.4122486231
48	0.4083788754
49	0.4046205383
