iter	Passed	Remaining
0	1	71
1	3	83
2	4	76
3	5	68
4	7	65
5	8	63
6	10	63
7	12	65
8	13	62
9	15	60
10	16	57
11	17	55
12	19	54
13	20	53
14	21	50
15	23	49
16	25	48
17	26	47
18	28	45
19	29	44
20	31	43
21	32	41
22	34	40
23	36	39
24	37	37
25	39	36
26	41	35
27	42	33
28	44	32
29	45	30
30	47	29
31	49	27
32	50	25
33	51	24
34	53	22
35	55	21
36	57	20
37	58	18
38	59	16
39	61	15
40	62	13
41	63	12
42	65	10
43	66	9
44	68	7
45	69	6
46	70	4
47	72	3
48	74	1
49	75	0
