Gene
AGRN
AURKAIP1
SKI
CLCNKB
FAM131C
FBXO42
ASAP3
KDM1A
LDLRAP1
SLC30A2
NUDC
TRNP1
XKR8
HPCAL4
MACF1
MFSD2A
NT5C1A
EIF2B3
CDKN2C
OSBPL9
TTC39A
ZFYVE9
GLIS1
HSPB11
MRPL37
SSBP3
LEPR
PTGER3
NEGR1
TMED5
CELSR2
SORT1
AMPD2
CSF1
GSTM1
GSTM2
GSTM4
GSTM5
ANKRD35
ITGA10
RNF115
ADAMTSL4
ARNT
GABPB2
SCNM1
SEMA6C
TARS2
HAX1
TPM3
UBAP2L
KRTCAP2
CCT3
PAQR6
PRCC
PIGC
ANGPTL1
RALGPS2
RASAL2
RNF2
PTPRC
CNTN2
SLC41A1
CNIH3
GALNT2
IRF2BP2
SCCPDH
SH3YL1
KLHL29
FAM228A
FAM228B
ADCY3
DPYSL5
HADHA
HADHB
KCNK3
KHK
CAMKMT
USP34
XPO1
PCBP1-AS1
SNRPG
ELMOD3
TCF7L1
VAMP5
CHMP3
RNF103
PAX8
DDX18
MARCO
ARHGAP15
ACVR1C
RBMS1
DPP4
GRB14
ERICH2
SP5
CASP8
BMPR2
FAM117B
ICA1L
WDR12
CPS1
FN1
GPBAR1
CNPPD1
GLB1L
NHEJ1
PLCD4
SLC23A3
STK36
VIL1
DGKD
USP40
PPARG
RAF1
ANKRD28
BTD
THRB
CMTM6
CMTM7
TRANK1
MYL3
PTH1R
SETD2
MAP4
SLC25A20
HYAL1
RASSF1
NISCH
TNNC1
KLF15
MGLL
PLXND1
ACAD11
CPNE4
UBA5
SRPRB
MSL2
PCCB
PAQR9
PLS1
TRPC1
KPNA4
SMC4
DGKG
IGF2BP2
CPLX1
ADD1
NOP14
DOK7
HGFAC
RGS12
SORCS2
RBPJ
KIT
UGT2B15
UGT2B7
SLC4A4
ADAMTS3
BTC
PARM1
ART3
CCDC158
FAM47E
NUP54
MAPK10
PTPN13
FAM13A
NAP1L5
METAP1
CISD2
NFKB1
EGF
LINC01091
DCLK2
LRAT
PDGFC
ITGA1
FST
ARHGEF28
DMGDH
HSD17B4
FNIP1
P4HA2
SLC22A5
AFF4
SHROOM1
UQCRQ
CAMLG
TMCO6
NSD1
RAB24
BTN1A1
BTN3A1
BTN3A3
SLC17A3
PRSS16
ZNF391
NKAPL
ZKSCAN3
ZNF311
ATAT1
GNL1
MRPS18B
RPP21
HLA-B
ABHD16A
CLIC1
EHMT2
GPANK1
LSM2
NELFE
PRRC2A
SLC44A4
HMGA1
NUDT3
PACSIN1
UHRF1BP1
STK38
FRS3
PPP2R5D
PTK7
XPO5
FOXO3
MICAL1
NT5DC1
RGS17
SUN1
KIAA0895
ELN
SEMA3C
PON1
MUC3A
SLC12A9
TRIP6
MKLN1
AGPAT5
TNKS
XKR6
LPL
ATP6V1B2
DMTN
DUSP4
FGFR1
NCOA2
SNTB1
GPIHBP1
PARP10
DMRT2
GLDC
TTC39B
CDKN2A
ACO1
NDUFB6
FAM219A
UBE2R2
PTPN3
ORM1
DNM1
GOLGA2
PHYHD1
ADAMTS13
SEC16A
VIM
SLC16A9
RTKN2
HKDC1
MYOF
HELLS
ERLIN1
PSD
ACADSB
SYCE1
CDKN1C
TRIM5
COPB1
INSC
PDE3B
PSMA1
NUCB2
LDHAL6A
TMEM86A
ANO3
PRRG4
RCN1
LPXN
FADS1
INTS5
VEGFB
CFL1
EFEMP2
EHBP1L1
LTBP3
MUS81
POLA2
SART1
TSGA10IP
ANKRD13D
GSTP1
NUDT8
CPT1A
ALG8
KCTD14
CEP57
PDGFD
UBASH3B
CDON
ST3GAL4
CCND2
LPAR5
MGST1
PDE3A
OVCH1-AS1
LRRK2
SLC2A13
CACNB3
DNAJC22
TUBA1C
GPD1
KCNH3
ATF1
CSRNP2
GALNT6
ANKRD52
MYL6B
SMARCC2
B4GALNT1
RAB21
IGF1
WSCD2
COX6A1
PXN
HPD
ABCB9
SCARB1
EBPL
DLEU7
CBLN3
L2HGDH
GNG2
NID2
WDR89
FOXN3
AKT1
GTF2A2
DIS3L
ZWILCH
NEO1
LMAN1L
PCSK6
LMF1
CDIP1
HMOX2
MPV17L
PKD1P6
ASPHD1
PAGR1
SEZ6L2
CES1
CETP
TK2
CDH1
TAT
OSGIN1
SERPINF2
TM4SF5
TP53
RAI1
FLII
RAB34
GIT1
MYO18A
TP53I13
BLMH
PNMT
NT5C3B
STAT3
ATXN7L3
FAM171A2
FZD2
HOXB6
HLF
APOH
ABCA5
ABCA9
KCNJ16
FASN
ALPK2
BCL2
PARD6G
KISS1R
ADAMTS10
ANGPTL6
S1PR2
HOOK2
TRMT1
PLVAP
IFI30
CEBPG
SLC7A10
ARHGEF1
ZNF223
DMPK
GIPR
PPM1N
HIF3A
DACT3
STRN4
KPTN
NAPA
CA11
PRR12
PRRG2
FPR3
EPN1
U2AF2
ZNF582
ZNF772
ZNF135
ZNF154
ZNF274
ZNF544
ZNF671
ZNF776
ZNF814
NINL
E2F1
PXMP4
SNTA1
ASIP
GGT7
EDEM2
MMP24
PROCR
SPAG4
PLCG1
NCOA3
SULF2
ZMYND8
ZNF217
PCK1
NRIP1
BACE2
PCBP3
MICAL3
COMT
PPIL2
YDJC
SPECC1L
TTC28
ZNRF3
MTFP1
UQCR10
CYP2D6
XRCC6
PNPLA3
CRELD2
MAPK11
