wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Pituitary_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
56.0,1.0,1.0,117.11773000000001,0.4561,18.294,7.48648,2.3750299999999998,0.0393093,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717
1.0,0.0,0.0,1512.78445,0.08670600000000002,347.82730889399994,1203.9375459,165.33119400000015,77.90317531000002,0.29440444264000004,0.00395367293,0.0,0.5449353662500005,0.3518648826012001,6.822910102699996
357.0,0.0,0.0,12.38694,-0.43799999999999994,71.05865099999997,66.44110459999997,54.71660199999997,70.86391689200002,0.05522742567999999,0.012444445859999998,0.0,0.66811868408,0.6532957514040005,14.328769850399999
24.0,0.0,0.0,1095.2409699999998,0.6259,73.45323900000005,73.53374719999997,57.64183149999998,56.49559365999998,0.07659416864,0.039972889690000006,0.0,0.60915916889,0.37550244706079977,6.1200328116999945
966.0,0.0,0.0,332.05359,0.4141,70.393748,71.71675919999997,49.55282949999999,60.65224457200003,0.10494137290999997,0.00790734586,0.0,0.6450001621599999,0.6246228677916001,6.6142338317999965
162.0,0.0,0.0,371.98567,-0.2965,60.52311699999999,66.13999499999996,47.58932849999999,66.5676543,0.0,0.00477882401,0.0,0.61147000497,0.43535288624760016,5.448896642699998
290.0,0.0,0.0,0.61257,-0.2878,70.02880499999998,77.36294699999998,57.46047899999998,80.59949285000005,0.00957427108,0.0,0.0,0.6659863115299999,0.6298791156576005,14.664224556300008
104.0,0.0,0.0,1535.52979,-0.3792,70.13947999999999,65.36667399999996,54.81877649999999,58.33053598999996,0.028722813239999995,0.01257134325,0.0,0.6412181739200001,0.4663045553432004,6.927992543899999
6.0,0.0,0.0,2.95899,-0.3115,69.84064209999997,65.66821599999997,52.836611999999974,67.61551072000002,0.00957427108,0.0,0.0,0.5837805707700002,0.4502964807168005,8.7151746082
1399.0,0.0,0.0,12.51592,0.4977,72.16527100000002,80.30584299999998,62.61230299999998,79.50981568200002,0.22915410813000006,0.014336472030000002,0.0,0.6290338971099998,0.6103388075452006,14.7827197872
210.0,0.0,0.0,171.18661,-0.3834,62.547358,62.84968329999998,48.3800365,64.85192515,0.0,0.03896201502,0.0,0.64219800507,0.5502858779400007,6.6552119420999984
261.0,0.0,0.0,4573.515329999999,-0.4349,75.28433000000003,69.47271399999995,57.80728649999998,58.01235041000002,0.09295526774999996,0.04877158062,0.0,0.62652274979,0.6205228384960005,13.550054673699998
21.0,0.0,0.0,31.188159999999996,-0.22899999999999998,226.593004,73.31978790000002,108.39834659999997,68.65356134700001,0.0,0.0,0.0,0.146139458,0.050466464,3.8728217139999987
846.0,0.0,0.0,3024.54248,0.4032,82.48806600000003,79.48195719999998,61.90052149999997,65.23922056999996,0.12379343473999994,0.01182123614,0.0,0.6301213436499997,0.5872224860948004,8.786770999699996
30.0,0.0,0.0,2440.91385,0.2594,78.725093,73.61246119999998,55.1990855,58.27093216999996,0.08953981428999999,0.021062842430000003,0.0,0.6643000113099998,0.4648524548550002,8.862771053400001
66.0,0.0,0.0,1631.4976900000001,0.1789,75.26211400000003,68.43918219999996,54.2284645,55.20219904999996,0.0,0.00873249694,0.0,0.6537816380599998,0.4666849327656002,7.6970781684999965
105.0,0.0,0.0,86.29137,0.3539,68.96674799999997,67.62941319999996,48.1299935,71.84632288999998,0.0,0.00477882401,0.0,0.6766953953199999,0.5649309807586005,6.5802326968
176.0,0.0,0.0,10.46141,-0.4437,71.41187899999998,63.82913299999996,53.22954699999998,75.07278491000005,0.02675740126,0.02604436387,0.0,0.6804779688599999,0.6365416673740006,10.370656439799998
135.0,0.0,0.0,0.31035999999999997,1.0733,79.96541400000002,78.96982120000001,59.917422,89.72867420000004,0.017183130180000002,0.023429106860000003,0.0,0.6656640087099999,0.5855242143576004,9.828969503599998
115.0,0.0,0.0,7.54913,-0.4311,69.85822299999997,64.65606199999996,53.578441999999974,77.13285921000002,0.00957427108,0.0251813869,0.0,0.6756293028399999,0.6252330775000007,10.107323085199996
80.0,0.0,0.0,139.59497,0.5089,34.6796,7.296530000000001,23.8061,12.062000000000001,0.0,0.0,0.0,0.123297259,1.82643e-05,2.791132398300001
17.0,1.0,0.0,1006.9095,-0.433,3.49419,2.9232299999999998,12.4842,0.157691,0.8162841409999999,0.9306270059999999,0.0,0.158249199,4.632830000000001e-18,7.94256213
269.0,1.0,0.0,62.69651999999999,-0.5859,5.08615,1.82702,0.807384,0.20925300000000002,0.0,0.514240382,0.0,0.238498077,0.00024436900000000003,2.80622297
266.0,1.0,0.0,95.03749,0.2683,0.22541599999999998,14.5952,0.31352199999999997,0.6053,0.0,0.5706635320000001,0.0,0.4244651433400001,0.13732001353522022,2.91936788
52.0,1.0,0.0,2513.68991,-0.3705,3.74804,3.47341,0.46190200000000003,0.6728350000000001,0.0,0.8387322209999999,0.0,0.668925405,0.476493104,10.75900262
198.0,1.0,0.0,587.2068,-0.284,10.9731,138.197,27.320999999999998,0.15193800000000002,0.957427108,0.905486233,0.0,0.172807097,1.57429e-09,4.7137448
38.0,0.0,0.0,17.52078,-0.4952,63.1979,19.7588,53.6259,46.2769,0.0,0.0,0.0,0.831385493,0.9978162070000001,8.7600131
