wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
56.0,1.0,1.0,117.11773,0.4561,18.294,7.48648,1.05469,8.69046,2.37503,0.506314,2.63463,1.91818,0.0393093,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717
1.0,0.0,0.0,1512.78445,0.15869499999999995,895.2264784880006,3906.0768024000026,204.24824899999993,179.4414454899999,398.76920499999994,161.79080399999998,245.53231719999977,133.89493159999986,693.9127332799998,0.33792876859,0.020949426150000002,0.0,0.6234319083300002,0.3574158188782857,9.86478110850001
357.0,0.0,0.0,12.38694,-0.438,145.98326400000008,85.42125359999999,86.02691700000008,81.52185710999997,105.77342640000002,87.77936200000005,99.54109000000004,53.01391260000003,109.00477885999997,0.05997262556,0.05061590870000001,0.0,0.6246018529499999,0.522979049858343,11.473379408200001
24.0,0.0,0.0,1095.2409699999996,0.6259,222.40859600000005,86.15421699999992,90.35583000000008,101.77126999999997,165.63365500000015,94.054213,111.76877170000002,37.86965100000001,267.75302441,0.09517346854999997,0.10719157507,0.0,0.64496138891,0.4497805260893002,8.220047773200001
966.0,0.0,0.0,332.05359,0.4141,221.97685899999996,87.29693899999997,95.71010600000005,87.56611000000002,186.6066098000001,103.65172900000002,149.599636,53.36263270000001,432.9510556999997,0.13608833817999996,0.01710062852,0.0,0.6197472200999996,0.5827357642049237,9.998083084800001
162.0,0.0,0.0,371.98567,-0.2965,170.92041400000008,84.135775,85.63769500000011,82.86742170999997,116.60400560000004,86.83531820000002,98.21928100000007,49.94441719000003,131.07113510999997,0.037727842069999996,0.049612822540000004,0.0,0.6654036896200002,0.5482279517457435,9.481731496399998
290.0,0.0,0.0,0.61257,-0.2878,153.4294920000001,93.12293699999998,90.9507860000001,89.08920410999997,110.02540740000002,112.05184319999994,97.31149200000007,62.02967469000003,120.86271033999994,0.025090994699999997,0.0302365914,0.0,0.6242301434999998,0.49298384317548594,13.053991638600005
104.0,0.0,0.0,1535.52979,-0.3792,149.33104300000005,81.80904199999995,80.8550020000001,83.58169659999996,110.48146799999999,85.49206600000001,80.46363700000006,51.6050734,102.72705813999997,0.04730211315,0.038202492930000005,0.0,0.6423859885300002,0.4338482457228001,8.9903969986
6.0,0.0,0.0,2.95899,-0.3115,239.47004700000014,98.66968699999995,94.1643200000001,92.666217,167.27320380000015,152.43696699999998,140.28933319999996,63.907183000000025,430.3819911999997,0.025090994699999997,0.01377002546,0.0,0.6267961139200001,0.44794214855254305,10.369686296100001
1399.0,0.0,0.0,12.51592,0.4977,199.94012099999998,94.89375499999997,99.40158100000014,97.2423143,182.80526780000008,105.72630599999998,145.8559162,60.15233720000002,376.53419134999973,0.16171491008999997,0.01314695559,0.0,0.5951469383699997,0.5176243029328663,11.126336409700004
210.0,0.0,0.0,171.18661,-0.3834,69.657996,68.50560799999998,58.87625500000001,60.476356220000014,52.58069199999999,55.53369699999997,60.28075900000003,37.010150400000015,77.97857320000001,0.00957427108,0.11651511703000005,0.0,0.6570602059799999,0.5379316871300001,7.196585306699996
261.0,0.0,0.0,4573.515329999998,-0.4349,155.40709400000003,83.53125799999994,86.8551760000001,76.46316899999997,112.24900060000002,104.6167952,159.83817299999998,57.20149190000001,99.47326921999996,0.05381380794,0.08378672168,0.0,0.6188344564599999,0.5185048902964481,10.249537946199998
21.0,0.0,0.0,31.18816,-0.229,246.01723000000004,91.73099300000001,78.39832300000006,68.02179433000003,135.83978460000006,115.77261229999996,91.90264820000002,45.53602179000001,199.12170490899985,0.0250909947,0.0,0.0,0.146139458,0.050466464,7.1153579027000005
846.0,0.0,0.0,3024.54248,0.4032,199.743124,96.65989999999998,102.10871200000012,93.07089110999999,201.65516680000007,107.73494199999998,205.88949099999994,63.31302840000003,359.7090397599999,0.19778556609000003,0.02553471439,0.0,0.6118209300099995,0.5190061108844864,9.594307004
30.0,0.0,0.0,2440.91385,0.2594,218.40874600000004,90.50516199999997,96.15853500000009,105.59852099999995,151.4886000000001,94.43028199999999,155.73298399999985,45.2781206,211.0189354799999,0.04730211315,0.08841371074,0.0,0.6754818297,0.4715704109476003,10.7675607164
66.0,0.0,0.0,1631.49769,0.1789,197.84764600000005,95.91479899999999,96.5724970000001,101.42529799999997,129.58911800000007,112.48229999999994,100.28597900000001,54.26918600000001,217.1115587999998,0.04730211315,0.03098513016,0.0,0.6550697218900001,0.46704082893280047,8.9059168894
105.0,0.0,0.0,86.29137,0.3539,200.62208700000002,86.35075499999995,86.44602400000007,91.91353000000001,130.54732500000006,93.18013100000002,93.19094000000003,43.49010110000001,208.66558279999978,0.01857929991,0.05730843612,0.0,0.66829812815,0.5263650025413805,7.781080141400001
176.0,0.0,0.0,10.46141,-0.4437,154.6125020000001,83.69455199999997,81.47798700000008,82.23760811,110.25616240000001,86.16821500000006,92.16843700000008,52.061916500000045,116.10372265999999,0.03160268949,0.08006341783000001,0.0,0.6502376902899999,0.5688401722757431,13.879318854000001
135.0,0.0,0.0,0.31036,1.0733,198.28625099999996,97.06555199999997,97.65964200000009,103.98711541,156.70451080000012,105.28625899999999,122.3326545,55.84440460000002,266.78964858999973,0.025090994699999997,0.03501309097000001,0.0,0.62670978466,0.4946476209604661,11.873510664200003
115.0,0.0,0.0,7.54913,-0.4311,153.00270200000006,80.617582,77.15825700000008,81.624664,107.08296840000001,85.18805160000004,90.49998500000007,50.83162350000004,117.29757399999998,0.025090994699999997,0.09177528596000002,0.0,0.6640867095699998,0.5369829624557433,13.429514645
80.0,0.0,0.0,139.59497,0.5089,34.6796,7.2965300000000015,16.2436,41.5886,23.8061,7.19681,17.6493,9.65303,12.062,0.0,0.0,0.0,0.123297259,1.82643e-05,2.7312910777000026
17.0,1.0,0.0,1006.9095,-0.433,3.49419,2.92323,3.8524,0.520167,12.4842,112.341,3.1546,1.00705,0.157691,0.8162841409999999,0.930627006,0.0,0.158249199,4.6328300000000005e-18,7.94256213
269.0,1.0,0.0,62.69651999999999,-0.5859,5.08615,1.82702,3.54464,4.6432,0.807384,3.12083,2.6396,0.778696,0.209253,0.0,0.514240382,0.0,0.238498077,0.00024436900000000003,2.80622297
266.0,1.0,0.0,95.03749,0.2683,0.225416,14.5952,0.914839,0.182195,0.313522,1.23019,0.13308699999999998,3.85523,0.6053,0.0,0.5706635320000001,0.0,0.46203386366000027,0.11601350600602067,2.91936788
52.0,1.0,0.0,2513.68991,-0.3705,3.74804,3.47341,0.419869,3.4057800000000005,0.461902,0.649181,0.550471,1.16925,0.6728350000000001,0.0,0.8387322209999999,0.0,0.668925405,0.476493104,10.75900262
198.0,1.0,0.0,587.2068,-0.284,10.9731,138.197,28.7566,1007.43,27.321,10.2313,19.1442,207.478,0.15193800000000002,0.957427108,0.905486233,0.0,0.172807097,1.57429e-09,4.7137448
38.0,0.0,0.0,17.52078,-0.4952,63.1979,19.7588,23.8201,28.1895,53.6259,43.5993,32.7289,12.5824,46.2769,0.0,0.0,0.0,0.831385493,0.997816207,8.7600131
104.0,0.0,0.0,264.70005,0.3519,218.14530400000004,81.98852699999999,70.47148700000008,61.52156433000005,126.61897700000009,102.37466129999997,84.95569200000004,42.347505899999994,181.13724505899987,0.01551672362,0.00477882401,0.0,0.146139458,0.15946756,5.0619526178
98.0,0.0,0.0,722.18127,0.2755,203.75938699999998,86.06961099999995,83.80558300000006,90.456696,127.27986100000004,90.70837100000003,93.66296200000002,41.6474006,207.53333847999983,0.037727842069999996,0.08388204089999998,0.0,0.6612554837699999,0.4692996300896003,8.2795286072
