iter	MultiClass
0	1.025687242
1	0.9617577803
2	0.9130193812
3	0.863707899
4	0.8137081802
5	0.7802969537
6	0.7580466458
7	0.7421927416
8	0.721954938
9	0.7002361415
10	0.6831731825
11	0.6673621587
12	0.6570925582
13	0.6479546364
14	0.6367031559
15	0.6248285149
16	0.6123111616
17	0.6081435494
18	0.6015958239
19	0.5948241245
20	0.5887886452
21	0.5796471158
22	0.5697925017
23	0.5658367181
24	0.5591116306
25	0.5485512227
26	0.5443174205
27	0.5379870752
28	0.5342482854
29	0.5286318117
30	0.523345679
31	0.5192088142
32	0.5119127963
33	0.5077093014
34	0.5059156349
35	0.5024345492
36	0.4977519963
37	0.4930145948
38	0.4890745468
39	0.4830695178
40	0.4745999977
41	0.4699050353
42	0.4654462747
43	0.4618100531
44	0.4587440998
45	0.4547577344
46	0.4504132484
47	0.4468768447
48	0.4446770434
49	0.4381574118
