IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Lung_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Fallopian Tube_GTExTPM,Heart - Left Ventricle_GTExTPM,Heart - Atrial Appendage_GTExTPM,Nerve - Tibial_GTExTPM,Esophagus - Muscularis_GTExTPM,Kidney - Cortex_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Mucosa_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Testis_GTExTPM,Colon - Sigmoid_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Adipose - Subcutaneous_GTExTPM,Brain - Cortex_GTExTPM,Brain - Hippocampus_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Colon - Transverse_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC
1.0,1.0,56.0,117.11773,0.4561,16.1667,4.15827,6.55882,8.69046,4.51777,18.294,8.40668,7.48648,7.77437,13.0768,1.05469,7.75639,2.38603,2.37503,5.13089,1.44118,1.92401,1.78365,2.04671,8.48129,21.8175,5.20997,0.0161073,1.27613,0.506314,8.26246,12.8344,2.63463,5.99089,7.70878,12.8141,5.66832,1.91818,2.25337,2.26524,0.382471,16.971,1.90986,1.69217,1.18345,1.54357,1.0159,1.40359,10.0998,16.5493,0.0393093,11.3598,3.21715,0.884429274,0.0,0.0,0.0007005429023646,0.670620084,4.77784717,-0.242594
0.0,0.0,1.0,1512.78445,0.16574399999999995,130.45404070000004,49.77775800000002,95.6779,40.912727549,46.762061999999986,141.56333200000006,125.66745199999988,1886.6806339299999,144.990622,111.46591299999994,37.05774600000003,152.527271,90.93502899999997,100.99297139999999,99.58564399999997,67.938504,55.424132000000014,87.60065899999996,52.327471999999986,97.97626900000003,169.47347800000006,106.52968000000006,48.87730878,24.8265378,93.74449879999999,104.61270099999996,98.18303799999994,74.41381630000005,196.327723,133.45913600000006,160.98623399999997,100.06397999999992,18.209622999999986,20.066552000000012,22.068205,41.770126299999966,95.19578600000004,24.423258999999995,19.086983800000013,24.183822999999993,20.200447,40.33138100000001,25.595841000000004,87.604795,92.55527739499999,91.05988385999996,152.10988100000003,56.809286999999976,0.008741312270000001,0.0,0.08440394028,0.5961424639592594,0.5748803625900003,6.440876317099999,-0.045635019999999964
0.0,0.0,357.0,12.38694,-0.438,59.67653980000002,39.91190800000001,53.96258800000001,22.340010480000004,40.415497999999985,55.47831500000002,57.43301100000001,46.38156600000002,54.34710600000001,44.26549200000005,33.43732200000001,46.93796899999997,48.06068799999997,46.524851500000025,49.797281999999996,49.934159,43.58632500000006,58.893334799999955,36.46172799999999,54.259539000000004,61.483844,56.398614000000016,26.243862299999996,17.052782299999993,50.96016429999998,50.770019999999974,43.67934099999999,47.95973,45.70348300000003,46.870274999999985,51.75910800000001,53.60839299999998,18.616259999999986,20.48666300000001,21.80098780000001,46.409585000000014,44.12060199999999,23.491805999999983,18.89972300000002,23.759414000000007,20.585090999999988,35.52640400000002,23.356000000000005,44.55976600000002,59.331157595000015,69.31072996,62.37584100000004,46.264097999999976,0.13937793610000002,0.0,0.02872281324,0.4662250535788277,0.6616780855600001,6.405861980699997,0.02253526000000001
0.0,0.0,24.0,1095.24097,0.6259,68.55014230000005,45.67219100000002,62.755536999999975,25.017428949000024,42.591232,78.25288500000006,48.49682700000001,58.519509999999975,76.73030599999998,50.27016500000003,32.378145000000025,74.11872399999997,64.61384799999993,46.93084999999999,62.910610000000005,60.243934999999986,45.902262000000036,50.711568999999955,38.649931999999986,55.60082499999998,80.46652699999999,79.17366499999996,24.50646849899999,19.949004299999988,64.6114971,61.61185399999999,53.17298099999998,61.73666830000003,67.125249,69.40417499999997,63.80487900000003,71.89734299999996,18.593739599999992,21.268842000000017,21.607294000000003,39.802239699999994,49.251069599999994,25.404801000000006,19.178699000000016,24.564151999999993,20.084192999999996,35.07539100000003,26.396213,51.33215300000002,72.62402539499998,62.86219766799999,88.759481,50.843779,0.00955764802,0.0,0.017737112489999998,0.10190429522913387,0.21483940014000016,4.929141813099998,0.04239409
0.0,0.0,966.0,332.05359,0.4141,68.04659120000002,40.96689600000001,54.526537000000026,27.4733272,42.880151,55.14683500000003,59.83151500000004,49.315746999999995,53.843193,45.17466800000005,36.28143000000002,45.42077099999997,48.31884099999998,40.537006000000005,49.242383,51.21193900000001,43.88162200000005,56.45859999999994,37.946353999999985,53.02303899999997,64.179591,55.66943200000001,24.32798906999999,16.791349099999994,48.62842800000001,51.24583599999997,46.720534,51.79967030000002,49.075005000000026,47.398129,51.07902900000001,59.294062,18.437087599999987,20.264556000000017,21.371328000000002,39.3852549,45.572598,22.800514,19.095658000000018,23.858827000000005,19.931318999999988,34.15213000000003,23.658948999999996,44.70740600000002,69.46391569500003,64.03230926799999,67.92668200000003,48.19517299999997,0.00477882401,0.0,0.10456576393999997,0.1551993521079022,0.28225160316000036,5.6125592599999985,0.1181376499999999
0.0,0.0,162.0,371.98567,-0.2965,60.11716420000003,41.38469400000002,56.590311,23.06879841000001,38.636239999999994,57.53097200000002,59.508978000000006,48.50619500000002,54.508092000000005,45.55088100000003,30.937653,45.48450899999996,48.02497499999997,41.98076600000001,49.71617200000001,51.308129000000015,43.212998000000056,59.920289399999966,36.46513199999998,54.45171999999999,66.085087,57.91404400000001,24.514035369999988,19.037594999999982,55.5338375,51.09536299999997,52.706665,48.79004600000001,49.74792300000003,51.083465,52.307801,58.78299299999999,18.081365599999987,19.747393000000017,21.1641048,38.3267077,44.26560399999998,22.714001,19.128971000000018,23.227316000000005,18.860700999999995,35.034797000000026,24.380489999999998,45.18759400000001,64.860317695,63.98578306799999,67.68660800000002,48.18918199999997,0.0,0.0,0.0,0.05901497303861702,0.2292293119400002,4.3847618167999975,0.1317062699999999
0.0,0.0,290.0,0.61257,-0.2878,63.35744370000003,39.163940000000004,54.92881500000002,20.261507879999996,38.160937999999994,54.42719400000003,57.980029000000016,46.34591200000002,54.442985000000014,44.44435900000005,32.14898400000001,46.87312899999997,47.81984099999999,43.679182000000026,49.81832599999998,49.862620000000014,43.09197300000005,59.55379979999994,35.63929899999998,53.734320999999994,60.29168899999999,56.367300000000014,26.2084683,16.869838599999994,54.42719209999998,50.80515199999997,44.035818,45.32035561,46.126111000000016,46.479020999999975,52.07944600000002,54.27729499999999,18.362319999999983,19.619653000000014,21.713133800000005,44.957696100000014,44.40241399999999,23.863984999999985,19.04878400000002,23.33341400000001,21.207191999999992,35.55230300000003,23.206288,44.01194700000003,66.77342759500004,69.45574096000001,62.262317000000046,46.17651099999998,0.10090681299000001,0.0,0.0,0.45587319882828725,0.66105593465,6.813363933099998,0.06920162000000006
0.0,0.0,104.0,1535.52979,-0.3792,49.29843950000002,41.820182,61.57136599999998,22.727114480000008,39.153907,71.65942900000006,53.821728,53.00736,69.174597,47.20309600000002,31.136823000000017,68.71394699999996,63.77411699999993,47.893044999999994,64.14353799999999,57.66110899999998,45.07140600000003,54.21409779999997,35.00442599999998,56.603083999999974,79.35529099999998,81.02806199999999,24.951122728999994,16.1470828,54.1248909,58.940045999999995,55.96547599999999,50.52549900000001,66.45782200000001,69.81173099999997,60.31177900000001,72.52420799999997,18.07337359999999,19.660416000000016,21.2896588,39.9746679,49.86321859999999,22.566186,19.04636800000002,23.219967000000008,18.777040999999997,34.18148300000003,24.983719999999998,50.62339499999999,63.636819395,59.473025468,91.452475,48.66878100000002,0.0,0.0,0.00957427108,0.20005456882912317,0.5003890774300003,5.045053414899997,0.11198618999999993
0.0,0.0,6.0,2.95899,-0.3115,51.37270260000004,44.246099000000015,59.48054199999998,26.578326100000005,42.06128899999999,82.74466400000007,45.20804100000001,51.04062,69.96362,49.17180000000003,32.82975100000003,80.12919099999999,59.94725899999993,57.483557499999996,64.54467899999997,50.97980000000003,47.24836100000003,60.67819779999998,38.53605699999998,57.71555899999995,78.20825599999998,72.85604599999996,28.719441728999996,18.4563582,67.39030679999996,56.53005799999997,59.24951599999998,69.99569861000003,55.53046800000001,53.31466599999998,60.82313800000001,73.50325799999997,18.240775999999983,19.505974000000016,21.7396198,47.12908150000001,47.760668399999965,24.534833999999986,19.02476400000002,23.679942,20.896148999999994,37.152929000000015,26.984284999999996,50.42665800000002,77.80783079499999,68.90711726800001,90.21513500000005,48.732356,0.00994663896,0.0,0.0,0.2764301671117678,0.4712884841700004,4.546484667,0.038104720000000016
0.0,0.0,1399.0,12.51592,0.4977,67.10452130000003,41.026699000000015,52.36796700000003,23.596425310000004,40.593506999999995,54.97165800000003,61.728793000000024,49.87569600000002,55.664356,44.51446600000005,33.74051900000002,47.269524999999966,49.24989299999996,41.46922000000002,51.75391099999998,50.54438900000001,44.79142000000005,55.24546599999996,36.64477999999998,52.58931699999998,64.20171099999999,54.997071000000005,25.31651269999999,17.123552999999994,55.944702199999995,49.575556999999975,43.953392999999984,49.19577000000001,45.62382400000002,46.11788899999997,51.96733800000001,52.04583799999998,18.687908999999987,20.529568000000012,22.397338000000005,45.4039951,45.10137899999999,23.97676699999999,19.025154000000022,24.084450000000007,21.40152999999999,36.26744000000003,22.65640299999999,45.62595700000001,82.60904059500002,70.12530596000002,65.59620500000001,46.63317899999997,0.04696308902,0.0,0.17774447911999997,0.39566881448765634,0.6234973973500001,5.491008030999999,0.031181120000000027
