iter	Passed	Remaining
0	58	2881
1	59	1425
2	60	940
3	60	697
4	61	550
5	61	452
6	62	382
7	62	329
8	63	288
9	63	255
10	64	228
11	65	206
12	65	186
13	66	170
14	66	155
15	67	143
16	67	131
17	68	121
18	68	112
19	69	104
20	70	97
21	71	90
22	71	84
23	72	78
24	73	73
25	73	68
26	74	63
27	74	58
28	75	54
29	76	51
30	77	47
31	78	44
32	79	40
33	79	37
34	80	34
35	81	31
36	82	28
37	82	26
38	83	23
39	83	20
40	84	18
41	85	16
42	85	13
43	86	11
44	87	9
45	88	7
46	89	5
47	90	3
48	90	1
49	91	0
