iter	MultiClass
0	0.9808374527
1	0.9022584785
2	0.858251036
3	0.8138651813
4	0.7725426497
5	0.7462825666
6	0.7272853241
7	0.7055770912
8	0.6880267619
9	0.6758640911
10	0.6661551703
11	0.6518519035
12	0.6398059254
13	0.62671866
14	0.6098368803
15	0.5921418534
16	0.5785467884
17	0.565215094
18	0.560260379
19	0.5562359888
20	0.5488955568
21	0.5378763072
22	0.5337884608
23	0.527343549
24	0.5204556057
25	0.5144801759
26	0.5095489461
27	0.5029178529
28	0.4962206024
29	0.4888684823
30	0.4866711218
31	0.4834381965
32	0.4784408376
33	0.4752489971
34	0.4700250226
35	0.463769607
36	0.4605518223
37	0.4574759558
38	0.4535004651
39	0.4499242379
40	0.445200421
41	0.4418813967
42	0.4385009689
43	0.4353321377
44	0.4277920316
45	0.4217951452
46	0.4187671971
47	0.4158660407
48	0.4109320372
49	0.4016601056
