IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,mousescore_Exomiser,humanscore_Exomiser,fishscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Colon_Transverse_GTExFC,Nerve_Tibial_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC
0.0,1.0,280.0,407.27264,-0.4145,0.0,0.0,0.0,3.938723405991528e-15,0.7714540959999999,3.63608214,0.534513,6.9814300000000005,-1.837408,0.548255,-2.09,1.293365,0.326554,0.274796,0.575179,0.582739,0.470007,1.7351740000000002,0.498882,0.7379760000000001,0.437944,1.731966,0.302197,0.801624,1.145373,0.405074,0.298729,0.715841,0.7582760000000001,0.924459,0.574311,0.5599310000000001,-1.058049,3.160413
1.0,1.0,56.0,117.11773,0.4561,0.884429274,0.0,0.0,0.000700542902364641,0.670620084,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.972996,-0.317595,0.250539,-0.478721,-0.469268,0.50041,0.364388,-0.619337,0.163588,0.314485,0.556739,-1.363194,-0.481913,0.937921,-1.6628919999999998,-0.707662,-3.589953,0.667657,0.334298,0.360312,-0.370917,-0.216938,0.429516
0.0,0.0,1.0,1512.78445,0.22609500000000007,0.008876880629999999,0.0,0.0,0.3401202170448262,0.48426659444000014,4.129060517700001,-0.002213209999999995,8.28066245,-0.11745992999999999,0.03598066999999999,-0.025900000000000006,0.044379379999999996,0.07628782,0.05564437999999999,0.00905651000000002,0.05150713000000006,-0.002741230000000001,-0.040606420000000025,-0.026232170000000013,-0.0022943000000000017,-0.17519576999999992,-0.02144931999999998,0.05177872000000001,0.06979031999999999,-0.014889240000000003,0.11588237000000001,0.048427540000000005,0.013274829999999998,-0.01134212000000001,0.05244807999999998,-0.03746523999999999,-0.021349200000000006,-0.04212217999999999,-0.29672998999999983
0.0,0.0,357.0,12.38694,-0.438,0.0,0.014850838980000001,0.0,0.3595843526721261,0.56057589336,4.7341923887,0.03209437000000001,8.772176999999992,-0.0030995699999999894,0.029155409999999993,-0.2201999999999998,0.03311011000000002,0.04881288,-0.014799589999999996,0.013113999999999999,-0.010987059999999995,-0.040676000000000025,-0.07976457999999999,-0.06901059000000002,0.009313549999999995,-0.12906141999999995,-0.06293348999999998,0.028116340000000004,-0.00867083999999999,0.023837539999999997,0.07464355,0.01012596000000001,-0.018065130000000002,-0.03246744000000001,0.07225248,-0.12678673,0.023498330000000022,-0.04022223999999999,0.05800718999999999
0.0,0.0,24.0,1095.2409699999996,0.6259,0.0,0.00615881762,0.0,0.32103722875584295,0.5820900390600001,5.4217582975,0.021421409999999988,8.023323599999998,-0.07191346,0.05362896999999999,-0.25349999999999995,0.0037774099999999824,0.08088083000000001,0.046514990000000006,0.05635429000000002,0.07780043000000003,0.007905359999999991,-0.07807227000000001,-0.05407808000000003,-0.028985269999999997,-0.09944058000000004,-0.05464120999999999,0.07205353000000003,0.040660360000000006,-0.0018378399999999964,0.08592312999999999,0.037707070000000016,-0.033966279999999995,-0.0078744,-0.10268648000000004,-0.05759077000000001,-0.01563376,-0.01804737999999999,0.010807420000000017
0.0,0.0,966.0,332.05359,0.4141,0.009824845870000001,0.015733088699999998,0.0,0.4045489737293988,0.5829130674400002,5.269790759999999,0.048104979999999985,8.39704475,-0.06303481999999999,0.02334306999999998,-0.37610000000000005,0.07768324,0.05045952999999999,0.01085523999999999,-0.10810907000000002,0.03966974999999999,0.03127176,-0.05904228999999998,-0.039603289999999985,0.01468782,-0.11010551999999998,-0.017849639999999986,0.05473712000000001,0.015205840000000003,0.019108559999999993,0.08849347999999996,0.04491314,-0.13078234000000005,0.004639669999999995,0.10456455000000003,-0.05564037999999999,0.06930334000000003,-0.07990649999999999,0.025850839999999993
0.0,0.0,162.0,371.98567,-0.2965,0.0,0.0,0.0,0.2512816662765113,0.55630187939,4.1031088022999995,0.015950910000000002,8.646374199999995,-0.07775584999999997,0.035360689999999986,-0.2917999999999997,0.05389267000000003,0.06853163999999999,-0.015894419999999992,0.050401040000000015,0.03693258999999999,-0.040168870000000016,-0.08456216000000001,-0.052509869999999986,0.010155799999999998,-0.1550448399999999,-0.04531748999999999,0.05215543,0.06062264999999999,0.014150200000000002,0.050923829999999996,0.05921506999999995,-0.020923769999999998,-0.0010662800000000015,0.08350206,-0.08118152000000002,0.007663979999999999,-0.03088511999999999,0.05265439000000001
0.0,0.0,290.0,0.61257,-0.2878,0.03788659464,0.07116963855,0.0,0.36753892476381617,0.5623183695999999,5.068662968800002,-0.05820021000000002,12.7035,-0.20506814000000007,-0.5533498800000001,-0.23749999999999982,-0.11382793999999997,-0.6168683900000002,-0.17095474999999993,-1.1043835000000006,-0.4452357799999999,-0.12581633999999994,-0.12102443999999997,-0.06878527,0.07647516000000003,-1.0897618900000001,-0.060278069999999975,-0.40039219999999986,-2.2606574299999997,-0.06559823,-0.4575946500000002,-0.61140714,0.17537210999999997,-0.06297431,-0.18642061,-0.57226585,-0.10133548000000003,0.0010787999999999915,-0.16349582999999995
0.0,0.0,104.0,1535.52979,-0.3792,0.0,0.0,0.0,0.3147168285371968,0.5159870294700002,3.8348693459999987,-0.011792720000000001,12.0118,-0.07002875999999998,0.02922258999999999,-0.08659923900000002,0.03973704000000001,-0.16424140000000004,-0.08593021000000003,-0.010814829999999971,-0.16041726999999997,-0.08663807999999996,-0.06965669000000003,-0.07040870999999997,-0.014108920000000004,-0.4292824900000001,-0.01693421,-0.038310250000000004,-0.6877091800000004,0.033181520000000006,-0.13792644,-0.16464644000000003,-0.0038679699999999905,-0.010995260000000001,-0.029339269999999994,-0.09145237000000002,0.007277400000000001,-0.02390315999999999,-0.06847233
0.0,0.0,6.0,2.95899,-0.3115,0.0147095599,0.03633167234,0.0,0.4454793367733918,0.5781006857800001,5.990632636999997,-0.04101573,7.97421,-0.1727596700000001,0.013645059999999985,-0.2854999999999998,0.07368433000000002,-0.2386133400000001,-0.022678080000000003,-0.11321572000000003,-0.15053434999999998,-0.04933829999999999,-0.046607290000000016,-0.08950736999999999,0.021725100000000004,-0.7586850599999997,-0.02393535999999999,-0.12146010000000004,-0.16710132000000008,-0.06369907999999995,-0.0027467700000000117,-0.20424568000000012,0.039433109999999987,-0.046098500000000014,-0.006072789999999998,-0.51909909,-0.04597586999999999,-0.005665270000000004,-0.044170100000000066
0.0,0.0,1399.0,12.51592,0.4977,0.00863611498,0.02716847422,0.0,0.46922508386765416,0.6245820856400003,5.750982894700003,0.03320542000000001,7.810690549999999,-0.2834372,0.04517644999999999,-0.29679999999999984,0.003511839999999994,0.09465534000000002,0.010458409999999998,-0.11603118,-0.0022473400000000017,-0.03579006,-0.07885142999999999,-0.06119045,-0.02173676,-0.10119641999999997,-0.05860632999999996,0.03125090000000001,-0.04176984000000001,-0.030793329999999997,0.04904050999999999,0.016757950000000008,-0.13891655000000008,-0.04179638999999999,-0.012631610000000017,-0.09364362999999998,0.009343540000000001,-0.09529147,0.02431032000000001
0.0,0.0,210.0,171.18661,-0.3834,0.0,0.0,0.0,0.2795794849498377,0.4994961595400001,4.000388750500001,0.03691188000000001,7.766,-0.021720339999999994,0.025260919999999985,-0.20539999999999986,0.06258201000000004,0.07758561,-0.017071829999999996,0.053280839999999996,0.025202099999999995,-0.030997469999999982,-0.09259234000000005,-0.04775025000000002,0.009639209999999999,-0.11749902999999995,-0.050595459999999974,0.06485161000000002,0.029830279999999997,0.03974870999999999,0.07484698,0.018806870000000017,0.018806760000000002,0.013370149999999994,0.07457949999999999,-0.06233202999999999,-0.004444230000000003,-0.03021373999999999,0.06549764000000001
0.0,0.0,261.0,4573.515329999998,-0.4349,0.0,0.0,0.0,0.08018658129775146,0.23614962844000018,2.5297881246000005,0.022207970000000007,7.39595,-0.28645166000000005,0.156049,0.8965999999999993,-0.11526943999999997,-0.016218329999999993,-0.019625380000000015,0.0733924,0.04073968,-0.058135240000000005,-0.07797776000000005,-0.09654594999999999,0.011365700000000003,-0.11452791999999996,-0.0432802,0.012759830000000003,0.06857151,0.01399743,0.09151237,0.08301266,-0.09797699000000003,-0.00028660999999999634,0.10452469999999998,-0.11110433000000004,-0.03542470999999999,0.011920730000000017,0.09171138000000005
0.0,0.0,21.0,31.18816,-0.229,0.00826392613,0.00957427108,0.0,0.0504664637507207,0.146139458,0.8775478682,0.09857032999999994,7.1253600000000015,-0.4483078,0.12866503999999998,0.3942000000000002,-0.18123766,-0.06101115000000001,0.06112284999999998,0.11379187000000002,0.02830251,-0.008068369999999997,-0.06826889000000001,0.006435909999999989,-0.03980579000000002,-0.11453205999999996,-0.07535555,0.07828985000000005,0.09570169999999999,-0.020904450000000005,-0.009957920000000002,0.12430357000000003,0.016241800000000004,-0.07952232999999997,0.015194570000000001,-0.0842829,-0.10249290999999999,-0.01427009,0.07420689
0.0,0.0,846.0,3024.54248,0.4032,0.005783840879999999,0.01914854216,0.0,0.2893374658747874,0.5344419634900002,4.600262217300001,-0.0019500800000000005,9.83397,-0.15456658999999998,0.09997549000000004,0.13139999999999996,0.06142394000000001,0.03941785999999999,-0.022667650000000004,-0.03514094999999999,0.037873590000000006,0.023661519999999995,-0.06294565000000002,-0.035512760000000004,-0.0019115000000000015,-0.14719744999999992,-0.03448691999999999,0.02687802000000001,0.02638472,-0.012076109999999998,0.09325240999999998,0.06334698999999996,-0.18331100000000014,0.01441488999999999,0.07588595000000004,-0.08139228,0.035807020000000016,-0.009183619999999995,0.05644576999999999
0.0,0.0,30.0,2440.91385,0.2594,0.05103426782000001,0.0,0.0,0.1612258731062515,0.35348273826000015,3.629686394300001,-0.010720799999999996,3.22414,-0.048704959999999985,0.15336273000000006,0.8375999999999997,0.005781589999999998,-0.03147665,-0.09128573,0.07412442999999999,-0.23370803999999992,-0.012934919999999999,-0.09248362999999998,-0.028254160000000025,-0.08407609999999995,-0.1825254900000001,-0.016724899999999984,-0.010885279999999987,0.20575295999999996,-0.12056695999999995,-0.09459094999999997,-0.46370158999999994,-0.12709528999999997,-0.031245429999999984,0.039576200000000006,-0.04629351000000001,-0.03842280999999999,-0.02420661,-0.18306869999999983
0.0,0.0,66.0,1631.49769,0.1789,0.0,0.0,0.0,0.17519849524773132,0.4648795798000001,5.116820361900002,0.00364008,8.62711555,-0.07009447999999999,0.09695765000000003,-0.02100000000000003,0.043034420000000004,0.05974134,0.012488939999999999,0.04248166000000001,0.05533774000000001,-0.005916940000000002,-0.057623640000000025,-0.018957999999999992,0.004027449999999995,-0.16417225999999996,-0.02077494999999999,0.053747170000000004,0.10312671999999999,0.007280169999999999,0.12069079000000003,0.04046691000000003,-0.06978034,0.002187929999999999,0.08264953000000003,-0.05871077999999999,0.0023421,-0.022055100000000005,0.038185990000000024
0.0,0.0,105.0,86.29137,0.3539,0.005783840879999999,0.0,0.0,0.3714330052006604,0.6318527072300001,5.0277719625,0.03538538,8.99874,-0.22004001000000004,0.04526845000000002,-0.2704999999999997,0.04798185000000001,0.06474572999999997,0.0207273,-0.00591171,0.010418799999999983,-0.001352929999999996,-0.07591730000000001,-0.029137880000000012,-0.010891380000000006,-0.17619640000000003,-0.03073307999999999,0.016016560000000003,0.05398451,-0.028586989999999996,0.037985069999999996,0.046037599999999984,-0.07512511999999999,0.013869969999999988,0.05511299000000003,-0.10344206,0.01820761,-0.04067556,0.08394404
0.0,0.0,176.0,10.46141,-0.4437,0.004794532670000001,0.014850838980000001,0.0,0.3886936969490851,0.5970285686799999,6.372881732799998,0.01596837,8.798815399999993,-0.21296827000000015,0.04325226,-0.21379999999999982,0.01576634000000001,0.02321612000000001,-0.006848809999999995,0.01035166,0.00026460999999999954,-0.05520310000000001,-0.08467960999999997,-0.06799248999999999,0.0020777799999999918,-0.1567115,-0.05105434999999997,-0.01655037999999999,-0.003098949999999997,-0.03020679999999999,0.06745337999999998,0.0014504999999999967,-0.05076768,-0.010552570000000006,0.034486809999999986,-0.12430693999999999,0.007400420000000001,-0.04024986999999999,0.06862071
0.0,0.0,135.0,0.31036,1.0733,0.01922107129,0.03399938114,0.0,0.5112959578344156,0.64085826922,7.1623235825999965,0.008382020000000006,8.75805,-0.28906587,-0.11077814999999998,-0.3302999999999999,-0.5510884900000002,-0.3459929100000001,-0.08854913000000002,-0.12279400000000004,-0.21650396000000005,-0.09297498000000003,-0.05866786000000002,-0.19708105,0.11480174000000001,-1.0026164999999994,-0.016691729999999995,-0.09363375,-1.02682754,-0.10224378999999997,-0.03704240999999998,-0.17993279999999998,-0.019537389999999984,-0.015373980000000004,-0.5048506500000003,-0.42082128,-0.09901817000000003,-0.037022349999999996,-0.08827313
0.0,0.0,115.0,7.54913,-0.4311,0.008748205600000001,0.014850838980000001,0.0,0.38264869743850555,0.5953645713599998,6.515593655599998,0.04459883000000001,8.862404349999993,-0.5033900400000004,0.10065139000000002,-0.2220999999999998,-0.004250280000000008,-0.009185499999999996,0.01009414,-0.0211765,-0.04803379999999999,-0.055366950000000026,-0.06320934000000003,-0.06763053999999999,-0.0003534100000000101,-0.16937407000000002,-0.038159410000000005,-0.009249720000000001,-0.013429449999999999,-0.06486280999999995,0.032815060000000014,0.00911995,-0.06439663999999999,0.0013342999999999988,-0.11047698,-0.14077278999999998,-0.007692500000000007,-0.04473052,0.058016399999999975
0.0,0.0,80.0,139.59497,0.5089,0.0,0.0,0.0,1.82643064951694e-05,0.123297259,2.864889662599999,0.195067,7.52807,0.155903,0.13759100000000002,0.46,-0.187296,-0.343331,0.169534,0.215964,0.13534200000000002,0.111951,0.153864,0.16434200000000002,0.164554,0.142542,0.140473,0.264815,0.29971,0.189852,0.196448,0.254966,-0.35559,0.08809199999999999,-0.245238,0.143683,-0.199881,0.158275,0.329856
