iter	MultiClass
0	1.024093081
1	0.9549822384
2	0.8950173797
3	0.8438813351
4	0.7996259396
5	0.7616437035
6	0.7316856912
7	0.7202964153
8	0.7002856043
9	0.6816890114
10	0.6654398626
11	0.6516602983
12	0.638550803
13	0.6297076543
14	0.6180547651
15	0.606176504
16	0.5957752453
17	0.5910903715
18	0.5817762468
19	0.5715011905
20	0.5620048894
21	0.5534935693
22	0.5450154729
23	0.54220222
24	0.5393564821
25	0.5313564469
26	0.5221441494
27	0.5164837086
28	0.5125276098
29	0.5098707427
30	0.5047331964
31	0.4997340969
32	0.4931890825
33	0.487482109
34	0.483618903
35	0.4826749863
36	0.4784992304
37	0.4753142197
38	0.4700019845
39	0.4632319471
40	0.4603108706
41	0.4534938035
42	0.4477097637
43	0.4451801517
44	0.4411238227
45	0.4400205322
46	0.4365657398
47	0.4339872846
48	0.4322809042
49	0.4264967315
