wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
256,7.94254,0.0435507,0.0123188,0.104658,0.007600954,0,0.006158818,0.111908376,1.9837961,0.06877435,9.26248,0.05037844,0.32,-0.38412385,-0.14147773,-0.15520105,-0.32786788,-1.065688,-1.02985019,0.17566192,0.01784708,-0.01095715,-0.31681556,-1.14993251,0.48863253
34,463.55581,3.52701,0.454302,2.21285,0.358930757,0,0,0.79961127,12.5785497,0.395413,8.03366,-0.47858,-0.19,-0.417547,-0.286526,-0.477416,0.479139,-0.119617,-0.190091,0.101861,0.243885,0.165076,-0.275693,-1.513681,0.624264
14,2261.17843,0.16486,0.0434151,0.793846,0,0,0,0.7969836,9.78859286,0.740153,8.18608,-0.331336,0.44,1.324891,-1.693179,-1.414418,-2.467515,0.224878,1.368685,-0.464901,0.249271,-0.25669,0.701987,2.302165,1.946759
109,95.45994,1.16585,0.247663,3.50066,0,0,0,0.852899194,5.90929868,-0.202963,7.48742,0.506719,-0.76,0.192904,0.120866,0.177796,-6.643856,0.459038,-0.520185,0.287248,0.109265,-0.101565,-1.139811,0.864037,-6.643856
309,105.00582,13.7827,4.50011,4.75043,0.494209116,0,0,0.451622128,1.99950007,0.678423,7.97042,0.38313,0.08,0.30929,0.370038,0.625174,0.62613,0.327342,0.497171,0.595103,0.391519,0.713915,0.652726,0.780775,0.412224
49,752.6989207,26.242911,14.35484732,46.482438,0,0,0.015733089,0.17792584,3.803257645,0.00319498,9.46396,-0.06660896,0.41,-0.05303658,0.02850091,0.04913039,0.00177009,-0.0781387,0.15164031,-0.13330265,0.06856204,0.03868122,0.02464615,-0.00105379,0.08087076
202,889.2159917,25.7141747,15.0061187,28.5463501,0.003953673,0,0,0.23998889,3.83938846,0.00736203,7.8499117,-0.06878076,0.4151,-0.06623647,0.02606296,0.06525122,-0.06469125,-0.07472104,0.11874469,-0.1241627,0.05697699,0.02152702,0.03431185,-0.05033725,0.0806513
241,835.0915745,19.3935544,10.9459879,24.0868725,0,0,0.009574271,0.276206321,3.870055686,0.00143081,9.03825,-0.07455684,0.3983,-0.03304903,0.0234403,0.06977104,-0.03708106,-0.07471954,0.11333614,-0.14382108,0.07572565,0.02932277,0.03643599,0.03948374,0.11949354
528,5.07717,0.0508212,0,1.35608,0,0,0,0.836621523,0,0.418881,9.43683,2.115381,-0.05,0.415186,0.192509,0.39092,-0.678064,0.29845671,-1.626539,1.327652,-0.341544,-0.926989,-0.36044063,1.407597,-0.496151
22,257.23512,1.20866,0.202653,4.61596,0.499434067,0,0,0.693781972,6.87689431,0.271914,8.68547,0.30704,-2.09,-0.077854,-0.055056,0.352641,-0.246612,0.387246,0.501587,-1.860728,-0.522759,-0.125676,0.175855,-1.001574,0.354826
662,728.73949,0.736759,0.917359,3.00258,0.49080455,0,0.900502883,0.693386316,3.74177141,-0.277248,4.48029,0.726884,-3.51,0.059744,-0.216786,0.138808,0.51022,-0.633431,-0.600486,0.159761,0.139793,0.258776,-0.276997,0.929769,-3.391161
