Brain_Anterior_cortex_GTExFC,Breast_Tissue_GTExFC,HIPred,mousescore_Exomiser,SDI,RVIS_Score,Colon_Transverse_GTExFC,Brain_Cortex_GTExFC
-0.16172205,0.66634038,0.519814193,0.468244205,3.97098282,-1.32,-0.92425798,-0.12746562
0.377492,0.449822,0.778094649,0,10.68395422,-1.99,-0.53641,-0.17247
-1.227865,0.220822,0.667762339,0.540926836,6.69970933,-0.27,0.275704,0.675051
0.394247,-0.380701,0.55241257,0,1.96798985,-0.2776,0.138314,0.102967
-0.32892,0.690733,0.123297259,0,1.97755717,0.13,1.304366,-0.633348
0.373332,0.300631,0.770912826,0,2.97639148,0.22,0.306909,0.327357
2.021782,3.74593,0.704433322,0,2.8304118,-0.26,-3.244911,1.281653
-0.474556,-0.072453,0.809006751,0,2.8304118,-0.42,0.392951,0.191069
0.204244,-0.171158,0.72829324,0,0,-0.99,0.128495,0.295614
-1.394423,0.547868,0.638582647,0.804354974,5.83357103,-1.31,-0.509919,-0.124126
0.10239836,-2.585297,0.177065939,0.395367293,3.79511105,0.28,0.06832,-0.268023
-6.643856,0.226202,0.788574338,0,7.92021891,-0.07,-0.566456,-6.643856
-0.499124,0.03460278,0.319299012,0,3.64963493,-1.02,-1.54550744,0.299681
1.357182,-1.839644,0.637993336,0.906644289,17.64906737,-0.18,0.469424,0.611489
-2.561732,0.298086,0.764511526,0,2.90120367,0.17,0.14242,1.057222
6.02017,2.857078,0.684255004,0,2.93433955,0.33,0.600307,2.006981
0.731398,0.163412,0.70702368,0,2.81500504,-1.22,-0.241688,0.23631
0.730691,-0.180967,0.767620981,0.570663532,11.8139906,-1.15,-0.205037,0.390678
-0.43954,0.383822,0.824708164,0.477894065,10.52385559,-0.34,0.089448,0.515697
0.657647,0.735615,0.604412496,0,3.83438442,-0.53,-0.401803,-0.748666
0.998997,-0.147847,0.693781972,0,7.9682249,-0.2789,-0.095,0.377891
0.700845,-0.20921,0.724559009,0,1.61745951,-1.11,0.603774,0.290006
-0.832684,-0.106686,0.207913831,0,2.99256063,0.1794,0.213694,-0.176743
-0.314691,-0.158484,0.839585781,0,3.66240179,-0.89,0.097742,-0.132747
-0.176666,-0.489951,0.786468923,0.930627006,7.79276302,-0.34,-0.319392,0.078075
-6.643856,-1.133551,0.444217145,0,0,-0.03,-0.726186,0.45738
-1.046551,-1.277434,0.123297259,0,1.98266541,0.17,1.984369,-0.955853
-0.48394853,-1.31898033,0.123297259,0,1.98266541,1.2,-0.55491899,-0.6469539
0.997176,0.904576,0.146139458,0,2.96764242,1.42,0.920788,0.935199
-0.16117195,0.28229592,0.111908376,0,1.98266541,0.19,-0.52634024,-0.08446235
-0.78233027,0.65762473,0.186891869,0,0,0.0683,-0.85913984,0.0349655
0.179113,-0.328814,0.824708164,0,6.56033859,-0.22,0.251395,0.242384
-1.34403396,0.04450005,0.693340123,0,14.05338892,-0.2809,-1.437728,1.473936
0.105292,-0.106234,0.123297259,0,0,1.97,0.058503,0.386008
-0.924388,-1.96064,0.560328544,0,0,-0.192999239,-3.799154,0.778439
0.2392,0.283794,0.831385493,0.731960198,13.82529558,-0.12,0.298794,0.21115
-0.24808,0.179008,0.679628551,0.395367293,7.91602311,0.18,0.323346,0.275841
0.215469,0.330125,0.603037536,0.477735479,2.97531153,-0.47,-1.851342,0.552408
0.535193,-0.090252,0.801729143,0,7.96584047,-3.42,-0.028144,-0.349584
-0.629722,0.218293,0.288511723,0,1.9977004,-0.05,0.222433,0.163731
1.314363,0.201898,0.413446665,0,0,-0.359199239,-0.237342,0.399109
-0.188466,0.082208,0.30187729,0,4.93672721,-0.21,-0.133542,0.217401
-1.338926,-0.507192,0.831385493,0.570663532,13.71759198,-0.25,0.394553,0.216064
0.19268,0.205911,0.444217145,0,3.52306165,-0.36,0.238527,0.214443
0.108496,0.110577,0.705665529,0,2.97859857,-0.83,0.192494,0.303465
-0.233578,-0.229482,0.288511723,0,5.80132248,-0.2,-0.559962,-0.134247
0.769983,0.638151,0.824708164,0,1.86907763,-0.07,0.466218,0.274054
1.076039,-0.602359,0.215832233,0.390198871,7.38523278,1.71,-0.765019,0.959874
-0.20162153,1.15393,0.208481908,0,8.9127305,-0.55,-0.49824659,-0.13609016
0.228692,0.090794,0.598057508,0,27.2328624,-0.05,-0.095893,-0.156217
0.331941,-0.117442,0.639467537,0.477262341,17.84158698,-1.79,-0.106662,0.157507
-6.643856,-0.224942,0.786468923,0.959358571,4.75766587,-0.62,-0.157049,-0.487937
2.236093,0.344346,0.66378357,0.528331768,7.87963926,-0.6255,-1.469416,1.749947
-0.283241,-0.410778,0.146139458,0,1.98266541,0.24,0.303238,-0.213432
-0.21333106,-0.90035126,0.111908376,0,1.98266541,0.62,-0.72708002,-0.47260946
0.784135,0.081869,0.745582581,0,7.92940676,-0.2,-0.15088,0.155665
-0.15495455,0.04901064,0.284408854,0.005142404,3.786303587,0.3126,-0.07819194,0.00902068
-0.825796,-0.444329,0.792615056,0,6.84360167,-1.16,0.62076,-0.646464
-0.13590205,0.04690994,0.226663001,0.040424068,3.822875244,0.2843,-0.04822903,0.01234262
0.570652,0.142802,0.554481149,0,0,-0.3186,-0.104441,0.609755
-0.285389,0.68523,0.602099478,0,1.79395999,-2.17,-0.092708,-0.169642
-0.17152116,-0.01457554,0.451113993,0.034147787,6.873106148,0.4627,-0.06409165,0.05717574
