Brain_Anterior_cortex_GTExFC,Breast_Tissue_GTExFC,HIPred,mousescore_Exomiser,SDI,RVIS_Score,Colon_Transverse_GTExFC,Brain_Cortex_GTExFC
-0.107466,-0.092177,0.519577324,0,3.55585587,0.96,-0.172432,0.136588
0.622263,0.346528,0.170952082,0,1.86907763,0.24,0.258877,0.683173
0.189685,2.690621,0.736296356,0.431381082,9.88779187,-0.62,0.347742,0.147283
-0.291509,0.102271,0.661956608,0,11.6844728,-1.04,0.091608,0.078268
0.386135,0.421366,0.669261694,0.396248826,5.52376604,0.82,0.373378,0.153392
0.262695,0.301174,0.429466158,0,2.93496915,0.71,0.301778,0.328344
-0.764119,-0.435721,0.769165754,0.788155246,23.41984427,-0.32,-0.246638,-0.752038
-0.231954,-0.346884,0.186891869,0,5.188619495,1.84,-0.350403,-0.275445
1.054111,0.869961,0.421012312,0.528331768,1.98266541,-0.27,-0.731149,-0.302339
-0.481138,-0.452264,0.830946863,0,8.79295894,-0.32,0.374767,0.610646
-0.25881,-0.230223,0.684597015,0,6.62521728,-0.36,-0.245257,0.130718
-0.45770481,-6.643856,0.111908376,0,1.98266541,0.13,0.715396,-2.176795
-1.320466,0.937646,0.553528666,0.363622861,14.88905883,0.31,0.419937,-0.163561
-0.166527,0.275503,0.488307536,0,4.70997211,-0.58,0.140331,-0.218051
-0.997811,0.2474,0.581228554,0,8.44786072,0.46,0.923207,1.46018
0.17023,0.076075,0.396241546,0,8.67033304,0.09,0.142358,0.135482
0.644855,0.961434,0.332020491,0,4.7073544,1.64,-0.747575,1.324236
-0.431777,0.545232,0.72829324,0,0,-0.43,0.129746,-0.139424
-1.214994,-0.005878,0.564055979,0.528331768,11.91440126,0.19,-4.427492,0.853902
0.111331,-0.901291,0.875350475,0,6.95230661,-0.41,0.251278,0.219899
0.107227,0.1786,0.575333595,0,2.93429059,-1.57,0.155842,0.095092
-1.350952,1.229697,0.139342904,0.853179975,2.89489364,1.54,1.975835,-1.257155
0.175602,0.117682,0.757599056,0.504094097,6.46145605,-0.53,0.134763,-0.094362
1.148323,1.473649,0.28995356,0,1.96195718,-0.08,-0.318889,0.589845
0.334788,0.750392,0.262694746,0,3.94830677,0.42,0.48756,0.361334
0.395553,0.18352,0.233205885,0,0,0.41,-0.114095,0.318325
-0.842868,-0.521846,0.418466419,0,4.89372234,-1.46,0.541637,-6.643856
-0.428985,0.474404,0.698162794,0,5.64448814,-0.63,0.327414,0.331335
0.214107,-1.372894,0.746013939,0,1.99049944,-0.67,0.31789,-0.18414
0.16492123,0.54678661,0.218970262,0.009092635,2.165414625,1.057,-0.61565772,-0.09697226
-0.14302766,0.01163305,0.534811284,0.050217082,4.684175214,-0.3393,-0.02691952,0.06338387
-0.13698239,0.04183069,0.202282771,0.005142404,3.63031662,0.3671,-0.04224057,0.02339992
0.528463,-0.471305,0.396258533,0,1.70705006,0.0695,-1.77715,0.233962
0.114459,-0.318022,0.782960892,0.389625962,37.57141285,-0.58,0.080909,0.065452
-6.643856,4.054573,0.132359073,0.930627006,1.6697435,-1.19,-2.517421,-6.643856
-0.37420732,0.19150279,0.111908376,0.826392613,1.6697435,0.56,-0.72718949,-0.25709645
1.497806,0.954902,0.309100866,0,3.92083295,-0.69,1.463754,-0.539329
-0.04595205,0.76100215,0.111908376,0,2.89366853,-0.6,-0.08753717,-0.13580574
1.852474,1.058942,0.506795704,0,1.96359409,-0.7726,0.991508,1.493583
0.274249,0.325818,0.146139458,0.451842443,2.32162457,-0.31,0.311363,-0.379826
-0.73683597,-3.13808995,0.111908376,0,3.866916,0.71,1.453106,-1.89461354
0.168244,0.136839,0.17792584,0,4.15127092,-0.29,0.093473,0.143353
0.920978,-0.876634,0.390099078,0,12.63081829,-0.01,0.657492,0.814529
0.115473,-0.385079,0.591572225,0.887688063,1.99992492,-0.1,-0.134251,0.125859
-0.56218883,0.48139629,0.123297259,0.003901989,1.567314873,0.59,-0.49187298,-0.59782859
-0.14943177,0.04760987,0.60083731,0.015238341,4.637001192,-0.2898,-0.05087951,-0.00581654
-0.15527709,0.01530405,0.62565782,0.075525863,5.741302401,-0.1834,-0.04970155,-0.00020256
-2.0353,0.547539,0.636229453,0,4.307099062,-0.527699239,0.493944,-0.512271
0.404068,0.230603,0.824708164,0,4.62746682,-3.18,0.334907,-0.571829
3.226119,0.689471,0.146139458,0,8.91291128,-0.77,1.060052,0.943332
-0.559994,-0.313727,0.747131348,0.528793336,12.88289324,-2.23,-0.75659,0.478139
-6.643856,0.875719,0.848568261,0.913254607,1.86907763,-0.392899239,0.858855,-3.749093
0.83232,0.364163,0.449802697,0.887688063,6.87802251,-0.21,1.677239,-6.643856
-0.748222,0.238272,0.800036311,0,1.74820254,-0.38,0.250259,-0.391565
0.180802,0.185824,0.708682775,0,1.98608503,-0.72,0.206156,0.160309
1.033123,-0.231002,0.743839204,0,10.79296239,-0.6,0.307767,-0.226652
-0.474731,-0.442863,0.167412758,0,9.82593735,1.08,-0.491042,-0.543527
-0.93179347,0.39953959,0.207264473,0,0,0.5901,-0.0131994,0.3024522
4.652547,-0.398971,0.762403488,0.514240382,11.79347495,0.24,-0.734207,-0.624248
-0.19661,-2.965094,0.824708164,0.513919247,0,-0.56,0.824736,0.407776
-5.042806,0.523809,0.634786546,0.494209116,7.86340488,-0.71,-0.69071,1.709162
0.179344,-0.24725,0.836875796,0.475599242,6.45844108,-2.81,0.312818,0.370824
-0.76579,-0.177697,0.705665529,0.465192662,6.70564693,-0.92,-0.255355,-0.220753
1.336073,-0.11762993,0.69255507,0,2.89203741,-0.03,-0.787168,-0.553199
0.878831,-1.009969,0.394304127,0,1.95677062,0.55,-0.941394,-0.545916
-0.684797,-0.17389,0.715512335,0,1.12427871,-0.58,0.256367,0.086588
-0.91034922,-0.02929004,0.692917344,0.071340826,9.749833534,-0.2707,-0.04809297,-0.09205076
-0.633839,-0.523963,0.27013588,0,1.99960351,2.67,0.589452,-0.996681
-0.854991,-0.075549,0.591455102,0,0,-0.63,-0.284807,-0.24816
0.703315,0.313994,0.824708164,0,1.61745951,-0.69,-0.709115,-0.528125
0.545531,0.24728,0.518273224,0.416240159,3.74225736,0.0098,-0.707694,-0.639352
-0.344762,-0.486422,0.38356629,0,2.19615612,-0.29,0.19832,-0.320553
0.356684,0.424624,0.630912066,0,8.84810219,-0.43,-0.356677,0.30669
1.28885,0.237022,0.836875796,0.564666898,2.75424746,-0.42,0.371095,-1.802988
-0.744941,-0.387166,0.824708164,0.431381082,7.74847463,-0.1,0.221814,-0.852766
0.582548,0.622362,0.748405397,0,2.80882657,-0.36,0.41905,0.479047
0.544096,-0.249565,0.728550792,0,3.95455952,-0.05,-0.11359,0.50318
-0.68452737,-2.80789491,0.295108467,0,3.85244898,-0.38,-1.05031227,-1.59123162
-0.39589249,0.33697042,0.123297259,0,4.95013216,0.53,-0.65974967,-0.02742113
-0.900297,-1.409731,0.238498077,0,1.98266541,0.69,-0.428249,-0.488083
1.042705,-0.172619,0.833060265,0.570663532,24.59899632,-0.27,-0.172461,-0.166936
-0.077393,0.257702,0.703993857,0,5.98324176,-0.02,0.306047,0.265699
