iter	Passed	Remaining
0	0	43
1	1	37
2	2	35
3	3	35
4	3	34
5	4	33
6	5	32
7	5	31
8	6	30
9	7	29
10	8	28
11	8	28
12	9	27
13	10	26
14	11	26
15	12	25
16	12	24
17	13	24
18	14	23
19	15	22
20	15	21
21	16	21
22	17	20
23	18	19
24	18	18
25	19	17
26	20	17
27	21	16
28	21	15
29	22	15
30	23	14
31	24	13
32	24	12
33	25	12
34	26	11
35	27	10
36	27	9
37	28	9
38	29	8
39	30	7
40	31	6
41	31	6
42	32	5
43	33	4
44	34	3
45	34	3
46	35	2
47	36	1
48	36	0
49	37	0
