wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC
280.0,407.27264,-0.4145,1.15933,0.0720083,0.0836391,1.04186,0.0,0.0,0.0,0.771454096,3.938723405991531e-15,3.63608214,0.534513,6.98143,-1.837408,0.548255,-2.09,1.293365,0.326554,0.274796,0.575179,0.582739,0.498882,1.735174,0.470007,0.801624,0.437944,1.731966,0.302197,0.737976,1.145373,0.405074,0.298729,0.715841,0.758276,0.924459,0.559931,-1.058049,3.160413,0.574311
56.0,117.11773,0.4561,16.1667,4.15827,8.69046,0.506314,0.884429274,0.0,0.0,0.670620084,0.0007005429023646,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.972996,-0.317595,0.250539,-0.478721,-0.469268,-0.619337,0.364388,0.50041,-0.481913,0.314485,0.556739,-1.363194,0.163588,0.937921,-1.662892,-0.707662,-3.589953,0.667657,0.334298,-0.370917,-0.216938,0.429516,0.360312
1.0,1512.78445,0.172045,14.427856399999996,20.899721399999997,11.22031460000001,24.801223000000004,0.07670363356,0.0,0.015733088699999998,0.6096134610099998,0.29980065357581903,4.994913279500001,-0.04203211,8.389739300000004,-0.05427355999999998,-0.024763860000000002,-0.11340000000000003,0.05817278,0.027211350000000026,0.07149644999999998,0.05021789000000004,0.042314880000000006,-0.015333869999999996,-0.048927550000000014,0.062300789999999974,0.14587340999999998,-0.15478674999999997,-0.0038960799999999984,0.06279106000000001,0.010779340000000004,-0.0035829300000000046,0.11579291,0.025425860000000005,0.058995479999999975,-0.022257199999999994,-0.0002521499999999793,0.017505400000000008,-0.015636619999999987,-0.3028506899999999,-0.07068357999999995
357.0,12.38694,-0.438,31.598746400000003,27.111671999999995,16.8479232,43.719565799999984,0.03287716225000001,0.0,0.0,0.6277275994699998,0.5486129563315142,7.016965189399998,0.0008865400000000005,8.602901800000001,-0.004026640000000001,0.031104619999999986,-0.21919999999999995,0.04770664999999999,0.01253018,0.020048379999999998,0.05404507000000001,0.006518960000000011,-0.06399772000000001,-0.08112013999999997,-0.018024030000000017,0.020459890000000022,-0.16647538,-0.02833079000000001,-0.02293473,0.025254160000000008,0.0010800400000000009,0.08885973999999998,-0.008465119999999998,0.02521927,-0.014775340000000003,-0.017167469999999997,0.030730190000000008,-0.014446009999999992,0.05800320999999999,-0.11363519
24.0,1095.24097,0.6259,31.41904670000001,31.587920399999966,19.25562507,34.654169399999994,0.009589065340000001,0.0,0.0,0.24094780589000028,0.08494663614886173,5.830684607999997,0.019991340000000003,7.2274544000000045,-0.09296362999999998,0.10327263000000002,1.0538999999999998,-0.18263912999999984,-0.04833387000000003,0.03423376000000002,0.06630432000000003,0.052895249999999984,-0.05412431000000001,-0.059844500000000016,0.06743526999999999,0.15395573999999992,-0.12970364999999995,-0.014390699999999989,0.03909363999999999,-0.012401709999999995,0.005402789999999999,0.05760055,0.02087364000000001,0.005026220000000001,-0.03541902000000001,-0.13357145000000004,-0.03661284,-0.026798209999999996,0.04060398000000001,-0.031105129999999995
966.0,332.05359,0.4141,13.067752999999998,21.443215699999985,11.874001900000007,27.11797440000001,0.05935357529,0.0,0.01851508076,0.64108739453,0.5336154802761682,4.6292707021,0.018325020000000008,8.616458650000004,-0.17963483000000008,0.023282169999999987,-0.2373999999999998,0.05914182000000001,0.10106529999999997,0.02551095,-0.03531596000000001,0.010974380000000014,-0.046578349999999984,-0.08565862999999999,0.0256516,0.024663100000000004,-0.12398897,-0.022656849999999992,0.02636230000000001,-0.01703984999999999,0.005095469999999995,0.06693324999999994,-0.0070650999999999934,-0.012308440000000014,-0.031194890000000006,-0.03527391,0.05121780000000001,-0.01887606999999999,0.06585417,-0.03437287000000001
162.0,371.98567,-0.2965,8.690458499999998,19.163766799999987,11.062721,23.196075599999993,0.0,0.0,0.028089351840000002,0.22590719383000019,0.010850756771616036,3.6713185330999996,-0.011714170000000003,8.703512649999992,-0.08077983999999999,0.03822059999999999,0.43809999999999993,-0.08240189999999999,-0.028651169999999976,0.03823842,0.03727742000000003,0.08178188,-0.024620850000000014,-0.07494372,0.006014550000000003,0.10904314000000002,-0.13722399999999996,-0.044059350000000004,0.08232807999999998,0.03092355999999999,0.02789343,0.09287988999999998,0.04570954000000002,0.08023971999999999,-0.028970100000000016,0.045455109999999986,0.041102150000000004,0.01146493,0.11551143,-0.04508309999999996
290.0,0.61257,-0.2878,49.084775500000006,67.75790220000005,32.7576468,104.21972659999996,0.04824999719999999,0.0,0.09157603940000002,0.7024038244399997,0.5327232969288034,9.510742454799995,-0.07724835999999997,12.7035,0.036142660000000014,-0.2980118800000002,-0.2893999999999999,-0.17584917999999988,-0.5479987100000001,-0.06953453999999999,-1.19015205,-0.2999549200000002,-0.06352540999999999,-0.07044592000000002,-0.03482941,-1.9005461800000005,-1.0164547099999997,-0.04112970999999999,-0.16781620000000008,0.12374112999999999,-0.07904010999999998,-0.08067616000000005,-0.3718057900000001,0.04623856999999999,-0.10393606999999998,-0.09178778000000001,-0.07446754999999997,-0.011233200000000006,-0.04172873,-0.3683294399999999
104.0,1535.52979,-0.3792,30.732392000000008,31.842822599999987,18.136775799999995,39.845813399999976,0.0,0.0,0.00957427108,0.2727188124100002,0.06899286119968706,3.9809283465,-0.01634683000000001,12.0118,-0.07557577999999998,0.015590790000000004,0.7263999999999996,0.0011410099999999907,-0.27677917,-0.00028568000000000706,0.25885085000000013,-0.08598151000000001,-0.04570547999999996,-0.08161031999999999,0.019793270000000005,-0.2255909900000001,-0.3160397200000001,-0.04936024999999999,0.014768579999999998,-0.003564259999999998,0.022675579999999997,-0.19970021,-0.22084246000000007,-0.08064444999999998,-0.046453559999999984,0.009258469999999994,0.013894680000000003,0.020380329999999995,-0.029893210000000066,-0.10413308999999997
6.0,2.95899,-0.3115,33.93326999999999,38.6555617,20.041436799999996,44.37931959999998,0.0714371013,0.0,0.02872281324,0.6650550020599998,0.5580562694662266,8.367351010999998,-0.13112748,7.97421,-0.026894139999999997,0.02522274,-0.33329999999999976,-0.002323190000000005,-0.3443536100000001,-0.015660419999999994,-0.06213435,-0.12742661999999993,-0.05338946000000001,-0.04909556000000001,0.029297079999999993,-0.05234913000000002,-0.8032276799999998,-0.02294286999999999,-0.061370759999999996,0.03752661000000001,-0.041929049999999995,0.013069120000000016,-0.13091817,-0.039063150000000005,-0.04409030999999999,-0.04648592000000001,-0.06674482,-0.004619040000000004,0.004383320000000002,-0.4522903100000001
1399.0,12.51592,0.4977,29.540290799999998,33.94663129999999,20.059311519999998,43.899920299999984,0.062200760019999995,0.0,0.02125844492,0.6568711020199999,0.6360126100744167,5.636118726600001,0.00795264,8.652135349999998,-0.18070861000000005,0.012410669999999999,-0.28569923899999977,0.04061704,0.07577535,0.011773209999999996,-0.04048690000000002,-0.02848834999999999,-0.052929399999999974,-0.08672775999999999,0.014672250000000005,-0.10932786000000004,-0.10949972999999998,-0.01639134999999998,-0.012692250000000007,-0.032705300000000014,-0.008958779999999998,0.08923364999999997,0.011752640000000007,-0.09536868,-0.03785316999999999,-0.10934794000000003,0.013632180000000008,-0.024910399999999996,0.022567089999999995,-0.07147062999999998
210.0,171.18661,-0.3834,12.502394599999995,19.72973729999999,13.692475400000003,22.948697499999998,0.0,0.0,0.00894080968,0.2679071175400002,0.061899924435213506,3.3870718126999986,0.015386129999999993,7.766,-0.06919896999999998,0.06514389999999998,0.4357000000000001,-0.027982589999999984,-0.08208386000000006,0.023231319999999996,0.03834306,0.06350386000000001,-0.03748406,-0.07996779000000001,-0.024925630000000018,0.06134233,-0.16452276000000005,-0.04471945,0.07451676000000002,0.025229430000000008,0.04629605000000001,0.09204340999999996,0.005548080000000008,0.04354119,-0.021027610000000016,0.05818456999999997,0.022981379999999992,0.018613120000000004,0.09281946999999997,-0.03411308
261.0,4573.51533,-0.4349,18.55742829999999,21.833741499999995,11.946343600000004,29.267798599999992,0.01354273827,0.0,0.024298289409999996,0.4847416521300002,0.345196657070673,4.523505294199999,-0.02845599,7.39595,-0.04788998999999998,0.09473888999999999,0.3410000000000001,0.06037888999999999,0.009922780000000018,0.007131530000000001,0.06260362000000004,0.06388430000000002,-0.07071958999999998,-0.07006183000000002,-0.033212020000000016,0.08471032,-0.1663106100000001,-0.02953815999999999,0.04104253000000001,0.0062010599999999996,0.03535434,0.09310348000000002,-0.002386429999999995,0.020141080000000006,-0.011204359999999991,0.05357113999999997,0.03259342,0.03308879,0.09082801999999997,-0.11255139000000006
21.0,31.18816,-0.229,41.5941776,49.340025900000036,23.892141600000006,79.13447059999997,0.0,0.0,0.0,0.146139458,0.0504664637507207,4.018311058399999,0.00303319999999999,7.12536,-0.06024018999999997,0.12052196000000004,0.20129999999999998,-0.037804459999999984,-0.005950620000000006,0.05539085000000002,0.05854365000000002,0.06221997,0.011126629999999995,-0.07046497,0.01701459,0.10472127000000003,-0.12743800999999996,-0.03059387999999999,0.07169219,0.007935699999999997,0.0031512300000000005,0.04154458,0.10486025999999997,0.00204328,-0.08158734999999996,-0.009361660000000004,-0.006121950000000003,-0.031414050000000006,0.01731691,-0.07002484999999999
846.0,3024.54248,0.4032,20.264654899999996,24.70419740000001,12.90252620000001,33.25535099999999,0.028753858680000004,0.0,0.03109056843,0.5182698009599999,0.35176139288618347,4.966955788700002,0.005564579999999998,9.83397,-0.02796663999999998,0.04344321000000001,0.07059999999999998,0.03756751999999999,0.053852279999999995,0.003164049999999998,-0.023583050000000005,0.01668332000000002,-0.04014629999999999,-0.07626347000000003,0.01529571,0.09433304999999997,-0.11038155999999998,-0.006801359999999998,0.03625588,0.012284490000000007,0.018464519999999995,0.09448929000000002,0.015328910000000006,-0.06056231999999997,0.009357119999999995,-0.032392429999999986,0.03806666,0.020881539999999994,0.05755741999999999,-0.06689125
30.0,2440.91385,0.2594,36.218994200000026,36.10323699999998,18.05184628,43.34900499999997,0.07532918631000002,0.0,0.031907148510000004,0.24377648994000015,0.06985941256578754,11.2880966434,0.008254149999999997,3.22414,0.10739092,0.06686596999999998,1.0396999999999996,-0.018521930000000016,-0.11869101999999998,-0.08266997000000002,0.028034440000000004,-0.35014688,-0.05808469999999998,-0.07339836000000001,0.00613976000000001,0.12581246000000001,-0.30982338,-0.06217561000000002,-0.0075656799999999965,-0.15972508999999996,-0.16230546,-0.06243961999999999,-0.4634034300000001,-0.060143550000000004,-0.060768199999999994,0.029121859999999992,-0.06767031,-0.055364729999999994,-0.2884958099999999,-0.10668911999999992
66.0,1631.49769,0.1789,20.297270899999997,26.054178799999995,13.480961699999996,31.789943299999994,0.00395367293,0.0,0.0,0.22596397323000023,0.020419782638832772,3.9703771938,-0.016634980000000008,8.483970249999997,-0.06480364999999998,0.023991320000000017,0.954699999999999,-0.020453109999999993,-0.033473680000000006,0.04466090000000003,0.08856135000000002,0.07719610999999997,-0.05634524999999999,-0.08146647000000001,0.03351735,0.14653272999999994,-0.14924220999999996,-0.039092499999999995,0.06918220000000005,0.027712829999999987,0.03242608,0.11409175000000005,0.03785368000000002,0.0022331499999999997,-0.02324657,0.047571449999999994,0.01379591,0.015775869999999997,0.10677451999999996,-0.04633517999999997
105.0,86.29137,0.3539,19.460085199999995,25.051189500000007,15.436497499999998,30.6270338,0.0,0.0,0.0,0.21448766794000015,0.018107900652909976,3.701725355599999,-0.006426040000000025,8.99874,-0.06989911999999997,0.04781753999999999,0.2583000000000001,-0.04600981000000002,-0.022137969999999996,0.035971389999999985,0.04331354000000002,0.06251424000000001,-0.022795610000000008,-0.08282494,-0.030210329999999994,0.13832280999999996,-0.14690738999999992,-0.029739989999999997,0.05059142000000003,0.02639758999999999,0.0037733000000000055,0.06983581999999997,0.04193037000000002,-0.019419350000000005,-0.020742590000000005,0.022067930000000003,0.022669520000000002,-0.010254960000000002,0.09972667000000002,-0.06732689999999998
176.0,10.46141,-0.4437,24.732435400000004,23.92743649999999,18.434779200000012,38.734257299999975,0.04761315178,0.0,0.0,0.6459810026299998,0.5316412815108412,5.4264713807000025,-0.010430390000000001,8.497286099999998,-0.005984829999999999,0.005140739999999996,-0.2413999999999999,0.04581857000000001,0.005187210000000005,0.021848409999999995,0.07377808000000002,0.010205340000000007,-0.06216465000000002,-0.07627459,-0.006168390000000001,0.017546220000000008,-0.16099680999999993,-0.03961752000000001,0.00013349000000001553,0.02413004,-0.0013992100000000008,0.09631316999999999,0.016560830000000016,0.04858035999999998,0.004734240000000002,-0.025228520000000004,0.039405319999999994,-0.013678309999999996,0.06342555999999999,-0.09384109999999998
135.0,0.31036,1.0733,70.15198590000001,88.2771294,72.64887786,80.71673010000002,0.055420999529999994,0.0,0.02872281324,0.7107849445899999,0.5659816903216004,8.379662617299998,-0.13756810999999997,9.1719844,0.01615197,-0.049047149999999984,-0.2534992389999999,-0.55670205,-0.4825197700000001,-0.10077835999999998,-0.09961230000000011,-0.12590593999999997,-0.06482847999999997,-0.06687957000000004,0.07745306999999997,-1.1392248700000003,-0.7976677899999999,-0.0740579,-0.15073935000000005,0.17365017000000002,-0.020258179999999994,0.026758730000000015,-0.06591637,-0.06838002,-0.048769819999999985,-0.38383239,-0.08982906000000003,0.003500150000000002,-0.06753789000000004,-0.5089522800000001
115.0,7.54913,-0.4311,32.45488010000001,30.902308899999994,20.377574200000005,42.544416899999966,0.04365947885000001,0.0,0.0,0.6479265834399998,0.5204900662719915,7.476019150199999,0.0023255399999999996,8.4599124,0.004017130000000001,0.019608979999999995,-0.21239999999999987,0.04091597000000002,-0.005401469999999997,0.02208624,0.05875199000000002,0.004964250000000007,-0.05617025,-0.07371599,-0.018305680000000005,0.00979957,-0.1690284699999999,-0.03165959000000001,-0.0025891100000000012,0.01979142,-0.0033666000000000013,0.08636209999999998,0.022068430000000017,0.023934450000000006,-0.017096859999999995,-0.025904129999999997,0.01318247,-0.018810529999999985,0.04199621999999999,-0.12121412
80.0,139.59497,0.5089,3.35894,16.0221,41.5886,7.19681,0.0,0.0,0.0,0.123297259,1.82643064951694e-05,3.467461710599998,0.195067,7.52807,0.155903,0.137591,0.46,-0.187296,-0.343331,0.169534,0.215964,0.135342,0.164342,0.153864,0.111951,0.29971,0.142542,0.140473,0.264815,0.164554,0.189852,0.196448,0.254966,-0.35559,0.088092,-0.245238,-0.199881,0.158275,0.329856,0.143683
17.0,1006.9095,-0.433,1.42466,8.69263,0.520167,112.341,0.930627006,0.0,0.816284141,0.158249199,4.63282874453648e-18,7.94256213,0.354105,6.08771,0.926743,-0.38331,-0.57,-2.775792,-0.346445,-0.202015,1.038854,0.050503,0.874487,-0.327757,-0.597566,0.926871,2.700781,-0.385567,-0.509752,-0.316966,0.944708,1.161607,-0.532507,1.568196,-0.515339,0.285139,0.385561,0.722897,-2.652866,-0.879318
39.0,73.5044,-0.3064,0.021302,0.0733223,68.4379,0.312212,0.0,0.0,0.0,0.435617685,1.98871537094846e-07,0.0,-0.358025,8.001262100000002,0.671513,-6.643856,-0.4,-1.8834477699999996,-0.4819305,0.08234427999999999,-0.6239023200000001,-0.69386443,-1.2422815399999998,-0.3570070100000002,-0.9236264000000002,-0.875467,-0.4460915300000001,-0.9496119000000002,0.574404,-0.3953756100000001,0.942147,-0.6717715600000003,-0.657327,-1.95601716,-2.119910969999999,-6.643856,-0.3547880100000001,-6.643856,-0.9261614799999998,-0.04562714
112.0,194.54546,0.4655,16.9018,16.8404,37.2952,15.4911,0.0,0.0,0.0,0.75617367,0.0944353057008641,9.41746522,-0.192889,7.01009,0.131111,0.700151,0.13,0.366615,0.249961,-0.302262,0.571401,0.056083,-0.077848,-0.331836,0.263502,-0.48562,-0.219034,0.08164,0.097961,0.160341,0.453982,-0.191597,-0.36657,0.473762,0.066698,0.845702,0.09636,0.067978,0.194477,0.302392
251.0,3.60496,-0.2944,42.2185,207.196,27.3746,236.486,0.8266041,0.0,0.957427108,0.698045254,0.734223241103143,9.88631356,-0.125782,5.00635,0.492867,-0.662572,-0.27,0.260422,1.469023,-0.609726,0.790604,-0.530516,0.500749,-0.8075,1.132045,-6.643856,-6.643856,0.223313,-1.677822,-0.420131,-1.030139,-4.666579,-3.573813,1.41396,0.77782,-0.256048,-0.201286,0.749061,0.740259,-6.643856
