,IPA_Activity,IPA_BP_annotation,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Minor Salivary Gland_GTExTPM,Pituitary_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,pLI_ExAC,HIPred,SDI,Testis_GTExFC
0,1.0,1.0,56.0,117.11773000000001,0.4561,4.15827,2.3750299999999998,0.0393093,0.884429274,0.0,0.0,0.0007005429023646,0.670620084,4.77784717,-0.242594
1,0.0,0.0,1.0,1512.78445,0.2556850000000001,50.29959090000001,71.88808099999997,48.655736529999984,0.0,0.0,0.01914854216,0.2222755017382106,0.5592366807900004,5.721914564599997,0.012945569999999991
2,0.0,0.0,357.0,12.38694,-0.43799999999999994,43.77483369999999,56.647684,43.64263132999999,0.08941646336000002,0.0,0.04749574643,0.8072335378926568,0.7552324373599998,9.049733541199997,-0.04345449999999999
3,0.0,0.0,24.0,1095.2409699999998,0.6259,56.62419789999999,88.96842699999998,45.73810179,0.06078955921,0.0,0.06701989756,0.4617266742232072,0.6666911515399998,4.953435735999999,-0.09061250000000008
4,0.0,0.0,966.0,332.05359,0.4141,42.3672347,60.14962699999999,44.678005498999966,0.00396248826,0.0,0.05643655611000001,0.4087278962248815,0.6768109515599999,6.0675380036999975,0.03178986000000003
5,0.0,0.0,162.0,371.98567,-0.2965,26.582449399999994,29.17389129999999,25.726428530000003,0.013511320949999999,0.0,0.00957427108,0.4569091147376827,0.58930939749,3.592061574499998,0.08085172
6,0.0,0.0,290.0,0.61257,-0.2878,48.394385,56.035473999999994,44.56535952999999,0.01345900415,0.0,0.028722813239999995,0.7978428962632041,0.7518495600899997,10.1607748056,-0.04932121999999999
7,0.0,0.0,104.0,1535.52979,-0.3792,35.627555,50.49812459999999,28.05561574000001,0.06534326927999999,0.0,0.028722813239999995,0.5137748428456237,0.6873573215000002,6.717671714999999,-0.008853360000000013
8,0.0,0.0,6.0,2.95899,-0.3115,50.23969090000002,68.33243699999998,47.94828076000001,0.017837389019999997,0.0,0.0,0.36674590613530816,0.6161772726300003,6.1274628418,-0.10129867000000004
9,0.0,0.0,1399.0,12.51592,0.4977,54.627300700000006,79.95454999999997,54.44331478000001,0.12096645060000005,0.0,0.16238699938999993,0.5191752787951852,0.6169291797900002,5.8451039777999965,-0.15728088000000004
10,0.0,0.0,210.0,171.18661,-0.3834,29.13015440000001,30.081220099999985,33.62439526000001,0.03187527108,0.0,0.0076088591,0.4320152544940327,0.6187605331899999,3.3340061436000012,0.06936511999999997
11,0.0,0.0,261.0,4573.515329999999,-0.4349,56.98016130000003,74.55017399999996,49.14339188,0.03721124592,0.0,0.047302113150000005,0.4757593706705321,0.6025478286399999,8.1979811875,0.032304010000000015
12,0.0,0.0,21.0,31.188159999999996,-0.22899999999999998,78.06198560000004,104.70795499999996,49.606896320000025,0.00994663896,0.0,0.00609459847,0.0504664637507207,0.146139458,3.3427166782999995,0.06957278999999998
13,0.0,0.0,846.0,3024.54248,0.4032,58.63259540000002,79.26620099999998,46.43249347,0.02054491775,0.0,0.12950224400000002,0.4728588684367312,0.5978241632400001,8.1251232423,0.03763981000000002
