wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Pituitary_GTExTPM,Testis_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
56.0,1.0,1.0,117.11773,0.4561,18.294,7.48648,1.05469,8.69046,2.37503,0.506314,2.63463,1.91818,0.0393093,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717
1.0,0.0,0.0,1512.78445,0.08670600000000002,347.82730889399994,1203.9375459,85.08325902200005,82.50855656999997,165.33119400000015,79.11195339999999,69.89089740000001,37.9226802,77.90317531000001,0.29440444264000004,0.00395367293,0.0,0.5449353662500005,0.3518648826012001,6.822910102699996
357.0,0.0,0.0,12.38694,-0.438,71.05865099999997,66.44110459999997,63.74606102200002,69.67324321999996,54.716601999999966,55.958586459999985,60.33710800000007,46.09402000000001,70.86391689200002,0.05522742567999999,0.01244444586,0.0,0.66811868408,0.6532957514040005,14.328769850399999
24.0,0.0,0.0,1095.24097,0.6259,73.45323900000004,73.53374719999997,62.96733602200005,85.69216700000003,57.64183149999998,63.61844140000001,51.43331119999999,30.56413930000002,56.495593659999976,0.07659416864,0.039972889690000006,0.0,0.60915916889,0.37550244706079977,6.1200328116999945
966.0,0.0,0.0,332.05359,0.4141,70.393748,71.71675919999997,60.94263204400005,73.86540963999997,49.55282949999999,63.035546090000004,54.835091500000026,35.49553780000001,60.652244572000015,0.10494137290999998,0.00790734586,0.0,0.6450001621599999,0.6246228677916001,6.6142338317999965
162.0,0.0,0.0,371.98567,-0.2965,60.523116999999985,66.13999499999996,53.080387044000034,70.39392021999997,47.58932849999999,56.8595394,52.81726200000002,40.35565000000001,66.5676543,0.0,0.00477882401,0.0,0.61147000497,0.43535288624760016,5.448896642699997
290.0,0.0,0.0,0.61257,-0.2878,70.02880499999998,77.36294699999999,66.55627402200007,69.52344421999996,57.46047899999998,70.78675869999998,65.15693600000003,49.36911360000005,80.59949285000005,0.00957427108,0.0,0.0,0.6659863115299999,0.6298791156576005,14.664224556300008
104.0,0.0,0.0,1535.52979,-0.3792,70.13947999999999,65.36667399999996,57.683404044000035,69.25039441999996,54.81877649999999,57.2178641,53.11110400000001,39.62870509999999,58.33053598999996,0.02872281324,0.01257134325,0.0,0.6412181739200001,0.4663045553432004,6.9279925438999985
6.0,0.0,0.0,2.95899,-0.3115,69.84064209999997,65.66821599999997,55.18704600000005,55.808515329999985,52.836611999999974,72.93508,60.49946200000004,44.04838570000002,67.61551072000002,0.00957427108,0.0,0.0,0.5837805707700002,0.45029648071680045,8.7151746082
1399.0,0.0,0.0,12.51592,0.4977,72.16527100000002,80.30584299999998,65.97598502200005,80.99287921999999,62.612302999999976,74.81711498999998,63.452786500000066,45.44480480000003,79.50981568200002,0.22915410813000003,0.01433647203,0.0,0.6290338971099998,0.6103388075452006,14.7827197872
210.0,0.0,0.0,171.18661,-0.3834,62.547357999999996,62.84968329999998,56.73240904400002,75.48366710999997,48.380036499999996,52.9571971,53.97222000000002,39.461246599999996,64.85192515,0.0,0.038962015020000004,0.0,0.64219800507,0.5502858779400007,6.6552119420999984
261.0,0.0,0.0,4573.51533,-0.4349,75.28433000000001,69.47271399999995,56.66847804400005,56.767620929999985,57.80728649999998,61.4392708,120.71375500000002,48.5468666,58.01235041000002,0.09295526774999997,0.04877158062,0.0,0.62652274979,0.6205228384960005,13.550054673699998
21.0,0.0,0.0,31.18816,-0.229,226.593004,73.31978790000001,57.183914000000044,53.94356389899999,108.39834659999995,75.73653440000004,63.610246,41.03592360000002,68.65356134700001,0.0,0.0,0.0,0.146139458,0.050466464,3.872821713999999
846.0,0.0,0.0,3024.54248,0.4032,82.48806600000003,79.48195719999998,57.97572704400006,56.07597403999999,61.90052149999997,65.29580919000001,118.88445449999998,42.704287300000004,65.23922056999996,0.12379343473999996,0.01182123614,0.0,0.6301213436499997,0.5872224860948004,8.786770999699998
30.0,0.0,0.0,2440.91385,0.2594,78.725093,73.61246119999998,58.30929402200006,73.11093430999998,55.199085499999995,67.94943920000001,115.77995719999998,35.8529957,58.27093216999996,0.08953981429,0.021062842430000003,0.0,0.6643000113099998,0.46485245485500015,8.862771053400001
66.0,0.0,0.0,1631.49769,0.1789,75.26211400000003,68.43918219999996,56.48187002200003,66.38660181999998,54.2284645,63.06879690000002,51.903914000000015,40.2735277,55.202199049999955,0.0,0.00873249694,0.0,0.6537816380599998,0.4666849327656002,7.697078168499997
105.0,0.0,0.0,86.29137,0.3539,68.96674799999997,67.62941319999996,56.685766022000024,77.57188861999997,48.1299935,66.79295150000002,54.151056500000024,36.41875260000001,71.84632288999998,0.0,0.00477882401,0.0,0.6766953953199999,0.5649309807586005,6.580232696799999
176.0,0.0,0.0,10.46141,-0.4437,71.41187899999998,63.82913299999996,59.03065202200002,70.77436521999995,53.229546999999975,56.59595629999998,60.085602000000044,43.442694,75.07278491000004,0.02675740126,0.026044363869999997,0.0,0.6804779688599999,0.6365416673740006,10.370656439799998
135.0,0.0,0.0,0.31036,1.0733,79.96541400000001,78.9698212,64.44785204400004,77.74370010999999,59.917421999999995,73.97708859999997,60.65883650000005,42.798236400000036,89.72867420000003,0.01718313018,0.023429106860000003,0.0,0.6656640087099999,0.5855242143576004,9.828969503599998
115.0,0.0,0.0,7.54913,-0.4311,69.85822299999997,64.65606199999996,60.29027202200002,69.70117721999995,53.578441999999974,60.81929989999997,60.62667000000005,43.98509960000001,77.13285921000002,0.00957427108,0.025181386899999998,0.0,0.6756293028399999,0.6252330775000007,10.107323085199997
80.0,0.0,0.0,139.59497,0.5089,34.6796,7.29653,16.2436,41.5886,23.8061,7.19681,17.6493,9.65303,12.062,0.0,0.0,0.0,0.123297259,1.82643e-05,2.791132398300001
17.0,1.0,0.0,1006.9095,-0.433,3.49419,2.92323,3.8524,0.520167,12.4842,112.341,3.1546,1.00705,0.157691,0.816284141,0.930627006,0.0,0.158249199,4.632830000000001e-18,7.94256213
269.0,1.0,0.0,62.69652,-0.5859,5.08615,1.82702,3.54464,4.6432,0.807384,3.12083,2.6396,0.778696,0.209253,0.0,0.514240382,0.0,0.238498077,0.000244369,2.80622297
266.0,1.0,0.0,95.03749,0.2683,0.225416,14.5952,0.914839,0.182195,0.313522,1.23019,0.133087,3.85523,0.6053,0.0,0.570663532,0.0,0.4244651433400001,0.13732001353522022,2.91936788
52.0,1.0,0.0,2513.68991,-0.3705,3.74804,3.47341,0.419869,3.40578,0.461902,0.649181,0.550471,1.16925,0.672835,0.0,0.838732221,0.0,0.668925405,0.476493104,10.75900262
198.0,1.0,0.0,587.2068,-0.284,10.9731,138.197,28.7566,1007.43,27.321,10.2313,19.1442,207.478,0.151938,0.957427108,0.905486233,0.0,0.172807097,1.57429e-09,4.7137448
