iter	MultiClass
0	1.031653254
1	0.9549700828
2	0.8943437869
3	0.8336630229
4	0.7888866622
5	0.7608583655
6	0.7362451652
7	0.7232678435
8	0.6981945461
9	0.6839518658
10	0.6721207497
11	0.6610703309
12	0.642110213
13	0.6333272092
14	0.6251477641
15	0.6112767065
16	0.5978307582
17	0.5907782352
18	0.5831116197
19	0.5757434426
20	0.5658485569
21	0.553575566
22	0.5434494252
23	0.5383740899
24	0.5286360234
25	0.5214308347
26	0.5131340384
27	0.5028358749
28	0.4981657026
29	0.493572636
30	0.4844439545
31	0.4780594587
32	0.475715559
33	0.4703343028
34	0.467071545
35	0.4606900813
36	0.458047929
37	0.4492240502
38	0.4463255338
39	0.4405063349
40	0.4359918935
41	0.4334290211
42	0.4307425849
43	0.4269531322
44	0.4248406075
45	0.419167327
46	0.416162768
47	0.4130687348
48	0.4099343949
49	0.4066844631
