,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,BPlabel_encoded
69,460.0,105.54791999999999,-0.2536,1.7366700000000002,5.73781,4.98674,6.77435,0.0,0.0,0.0,0.170952082,0.0102090578324751,1.86907763,0.176259,9.078610000000001,-0.543246,-0.131497,0.24,-0.329464,-1.3471629999999999,0.6831729999999999,-1.1636819999999999,-0.191229,0.258877,0.487428,0.741258,-0.7400979999999999,0.622263,0.485709,0.9118629999999999,-0.16604000000000002,0.346528,-0.835933,1.047026,-0.301029,0.48690100000000003,0.27721599999999996,-0.230174,0.519059,0.13633299999999998,0.525451,3
70,21.0,1301.92267,0.3745,37.6709,0.32771500000000003,2.36737,2.557,0.431381082,0.0,0.0,0.736296356,0.468620194092365,9.88779187,0.7700140000000001,7.60617,0.40715100000000004,-0.509245,-0.62,-6.6438559999999995,0.18349000000000001,0.147283,0.22413400000000003,0.16295,0.347742,-0.402096,0.150116,-0.790441,0.189685,-0.58255,0.087438,-0.088524,2.6906209999999997,0.084455,0.12323699999999999,0.386336,-0.214231,0.7164149999999999,0.745999,1.458821,-1.937011,0.244587,1
71,25.0,65.69716,-0.4737,4.42593,15.2294,6.3771,23.9533,0.0,0.0,0.0,0.661956608,0.999927001146307,11.6844728,0.061225999999999996,5.93494,0.126647,0.089517,-1.04,0.133427,0.27516799999999997,0.07826799999999999,-0.075449,0.223566,0.09160800000000001,0.14790699999999998,-0.081333,-0.395807,-0.291509,0.10414000000000001,0.05206,0.133366,0.102271,0.149766,-0.177636,0.20264300000000002,0.11519000000000001,0.109029,0.086221,0.113726,0.095466,-0.100896,3
72,149.0,1917.4811399999999,-0.3541,4.3688400000000005,6.46368,4.27798,27.4466,0.396248826,0.0,0.0,0.669261694,0.0031939556719064,5.52376604,-0.127439,9.29424,0.222165,0.46796099999999996,0.82,0.48898800000000003,-0.380205,0.153392,0.17178,0.129589,0.37337800000000004,-0.840511,0.49095900000000003,0.26598499999999997,0.386135,-0.145565,0.173524,0.327354,0.42136599999999996,0.137382,0.16785899999999998,0.222874,0.41021899999999994,0.597375,0.45470299999999997,0.35905,0.272856,0.110679,2
73,109.0,804.1747799999999,0.4873,85.3963,66.4994,21.3231,59.966,0.0,0.0,0.0,0.429466158,1.55575755785131e-06,2.93496915,0.151473,7.65635,0.13012200000000002,0.233418,0.71,0.22501,0.265138,0.328344,0.30031399999999997,0.318309,0.30177800000000005,-0.192908,0.31606100000000004,0.43950200000000006,0.26269499999999996,-0.169337,0.24128400000000003,0.40409,0.301174,0.414017,-0.22570500000000002,0.337455,0.36332600000000004,0.425274,0.260669,0.335622,0.328002,0.39955,1
74,155.0,11.5877,0.1871,34.4387,56.4558,4.908869999999999,21.4049,0.788155246,0.0,0.869202136,0.7691657540000001,0.0187079719750825,23.41984427,-1.0359479999999999,7.96358,-1.7330150000000002,-0.55095,-0.32,-0.992186,-0.4399,-0.752038,1.6695939999999998,-0.614919,-0.24663800000000002,0.083727,1.398368,-0.42989799999999995,-0.764119,-0.127221,-0.6341939999999999,-0.141298,-0.435721,0.505429,-0.45298900000000003,1.036476,0.18107,1.3296620000000001,0.493461,0.40431100000000003,0.90484,-0.5275350000000001,2
75,41.0,1294.94009,-0.4295,0.21503899999999998,2.71505,0.413393,96.3852,0.0,0.0,0.0,0.186891869,1.16806309975737e-05,4.618520973399999,-0.22807199999999997,8.160062699999996,-0.45426700000000003,1.0602719999999999,1.84,-2.266105,-0.306911,-0.275445,-0.9216770000000001,-1.823533,-0.350403,-1.5247190000000002,-0.236853,-0.576076,-0.231954,-1.0760020000000001,-0.335386,-0.26826500000000003,-0.346884,-0.24032199999999998,0.291402,-0.44366700000000003,-0.297588,0.834181,-0.302786,-0.25801799999999997,-0.356427,-0.348661,3
76,211.0,435.38052000000005,-0.4933,0.0,0.0473853,0.0103568,1.01452,0.5283317679999999,0.0,0.0,0.42101231200000006,9.67009048154741e-05,1.98266541,0.687974,7.678633149999999,0.6960350000000001,-3.1196479000000017,-0.27,-6.6438559999999995,0.190975,-0.30233899999999997,-1.287642,-1.6101450000000002,-0.7311489999999999,-1.2252129999999999,-1.182166,-0.733626,1.054111,-1.477255,-0.27574099999999996,2.361098,0.8699610000000001,0.43828599999999995,-0.345427,-1.021415,-6.6438559999999995,1.031933,-0.225421,-0.652983,-1.4048530000000001,2.222629,2
77,1166.0,11.550999999999998,0.467,1.39123,44.5032,25.7132,5.175590000000001,0.0,0.0,0.957427108,0.830946863,0.23818636176752198,8.79295894,0.155825,7.95173,0.7165560000000001,0.313139,-0.32,-1.1210790000000002,0.514159,0.610646,-0.510897,0.6889350000000001,0.374767,0.233483,-0.404567,1.74151,-0.481138,0.151279,-0.502458,-0.227202,-0.45226400000000005,1.0365520000000001,-0.249033,0.664619,0.976133,1.74955,0.839783,-0.808286,-1.268833,0.626871,1
78,310.0,38.51875,-0.3526,1.3113299999999999,2.20333,0.38538,28.5434,0.0,0.0,0.0,0.684597015,0.268926805475888,6.62521728,-0.070162,3.6389699999999996,-3.058003,0.908164,-0.36,-0.33007800000000004,0.16294,0.130718,-0.199028,-0.5770569999999999,-0.245257,0.768883,0.258444,-1.443589,-0.25881,0.775848,-0.198161,-1.483858,-0.230223,-0.898243,0.598741,0.342568,-0.24680500000000002,-0.52272,-0.31635,-0.300618,-0.524667,-0.209152,3
79,15.0,19.37612,-0.2075,0.0400276,0.311958,0.122681,0.454875,0.0,0.0,0.0,0.11190837599999999,0.0006391178022634,1.98266541,-3.8233309999999996,8.097522649999998,0.423567,0.9279999999999999,0.13,0.527618,-2.570536,-2.1767950000000003,1.192532,-0.6299935099999999,0.715396,0.5814630000000001,-2.6233013900000004,-6.6438559999999995,-0.5361147499999999,0.5041,-1.00198201,1.2345540000000002,-6.6438559999999995,0.830174,-0.6651410099999998,2.891828,-6.6438559999999995,-6.6438559999999995,-0.559764,-0.280808,-0.5196029999999999,-0.2872436900000001,4
80,99.0,147.30048,-0.2618,6.785589999999999,3.0737900000000002,0.125581,1.77645,0.363622861,0.0,0.0,0.5535286660000001,0.217594377239137,14.88905883,0.316181,9.30916,1.020385,1.177951,0.31,-0.5755560000000001,0.225813,-0.16356099999999998,1.2041389999999998,-1.051291,0.419937,-0.246241,-0.281042,0.49062700000000004,-1.320466,0.196475,0.404302,0.19249000000000002,0.9376459999999999,-0.263463,0.7146399999999999,-6.6438559999999995,-0.375096,-1.799284,-0.6131770000000001,-0.21454499999999999,1.275936,-0.281765,3
81,81.0,656.55651,0.373,4.65965,5.80662,1.9184,7.48491,0.0,0.0,0.0,0.48830753600000004,0.577650480843115,4.70997211,-0.13864400000000002,8.29593,-0.102351,-0.178921,-0.58,-0.11551700000000001,0.254913,-0.21805100000000002,-0.093559,-0.153044,0.14033099999999998,-0.135071,0.131855,-0.18574300000000002,-0.166527,-0.127412,-0.15667899999999998,-0.10563099999999999,0.275503,-0.5242020000000001,-0.12762,-0.168318,0.27559,0.581276,-0.618631,-0.09299099999999999,0.233398,0.198248,2
