wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
251,3.60496,-0.2944,42.2185,207.196,27.3746,236.486,0.8266041,0.0,0.957427108,0.698045254,0.734223241103143,9.88631356,-0.125782,5.00635,0.492867,-0.662572,-0.27,0.260422,1.469023,-0.609726,0.790604,-0.530516,0.500749,-0.8075,1.132045,-6.643856,-6.643856,0.223313,-1.677822,-0.420131,-1.030139,-4.666579,-3.573813,1.41396,0.77782,-0.256048,-0.201286,0.749061,0.740259,-6.643856,ACTA2,possible
33,30.51321,0.3791,0.708883,3.56339,0.158664,35.5194,0.0,0.0,0.0,0.572527647,0.0212580375414267,11.75996628,-0.217793,7.63748,-6.643856,1.309861,-0.2,0.953011,0.251886,1.436575,0.746436,-0.379024,0.289183,-0.792889,-0.239279,0.418033,-0.198661,0.383115,-0.232386,0.544052,-0.518201,0.251613,-0.218052,0.189573,2.1368,-0.388974,-6.643856,-0.542471,0.656434,0.105921,ADORA1,possible
269,62.69652,-0.5859,5.03811,2.67546,4.6432,3.12083,0.514240382,0.0,0.0,0.238498077,0.0002443685433979,2.80622297,2.682174,3.2277,1.684791,0.403192,-0.25,-6.643856,-6.643856,-0.937578,0.768296,1.762535,0.560162,1.404356,-0.633723,0.626748,0.869709,0.375199,-1.804823,0.680528,0.621135,-4.162617,-2.080092,-3.132977,0.432906,0.471321,0.642837,-0.583585,-5.868582,-0.392839,ADRA2B,most likely
266,95.03749,0.2683,0.121381,0.358247,0.182195,1.23019,0.570663532,0.0,0.0,,,2.91936788,0.693304,4.69039,-3.161312,0.778546,,-5.16079,0.235568,-0.20941,-0.344381,-0.647004,-0.437346,1.506588,1.260947,-6.643856,-0.783462,-1.816217,-1.184796,-2.701629,-1.201365,2.422936,0.359533,-0.366002,-0.647977,-6.643856,1.107148,0.892756,-0.605254,1.908354,ADRB1,most likely
52,2513.68991,-0.3705,3.72013,4.83225,3.40578,0.649181,0.838732221,0.0,0.0,0.668925405,0.476493104047244,10.75900262,-0.326643,9.69708,1.313345,0.321598,0.42,1.034605,-6.643856,-1.460321,-1.383824,0.690348,0.254384,0.272742,-0.281683,1.372258,0.906778,0.208875,0.748377,0.280182,0.956111,-0.362008,0.380619,-3.585623,0.25507,-0.665428,-0.597503,-0.236499,-2.177262,-0.458609,ADRB2,most likely
198,587.2068,-0.284,28.3251,5.54074,1007.43,10.2313,0.905486233,0.0,0.957427108,0.172807097,1.5742948793642101e-09,4.7137448,0.657833,,0.56415,0.99596,0.49,-1.328187,-0.635085,-0.712651,-0.689856,-0.670928,1.241344,2.685574,-0.759732,-2.811439,-0.907425,2.823387,-0.514723,-0.474817,1.667331,-0.183218,-0.634989,1.64349,1.579983,1.260023,1.07159,1.30247,-1.932665,-0.555809,AGT,most likely
38,17.52078,-0.4952,38.335,27.0545,28.1895,43.5993,0.0,0.0,0.0,0.831385493,0.997816206855922,8.7600131,0.018661,9.28198,-0.217787,-0.154329,-0.65,0.181773,-0.229374,0.098281,0.155984,0.006734,-0.055102,-0.120169,-0.030258,-0.083449,-0.254352,-0.109813,0.045959,0.043924,0.125809,0.233733,0.049249,-0.21414,-0.155432,0.081136,-0.017514,0.034569,0.111806,-0.492429,AKT2,probable
104,264.70005,0.3519,,,,,,,,0.146139458,0.159467559569008,,,13.87176,,,,,,,,,,,,,,,,,,,,,,,,,,,AL031666.2,least likely
98,722.18127,0.2755,,,,,,,,,,,,9.755545,,,,,,,,,,,,,,,,,,,,,,,,,,,AL160274.1,least likely
465,611.7661,-0.3,,,,,,,,,,,,12.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,AL354808.2,least likely
48,21.64298,0.4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL354993.1,least likely
159,1286.87597,-0.4258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL391152.1,least likely
56,169.84402,0.6414,,,,,,,,0.237914741,0.172745643750502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL445989.1,least likely
27,11.5284,0.2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AL591806.1,least likely
