wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,Gene,BPlabel
528,5.07717,0.3445,0.0264917,0.0508212,0.0,1.35608,0.0,0.0,0.0,0.836621523,0.77537597388821,0.0,0.418881,9.43683,2.115381,1.107295,-0.05,1.974441,0.415186,0.192509,-3.49164,0.39092,-0.678064,,0.513081,-1.626539,1.327652,,-0.341544,-0.926989,,0.232296,0.43698,2.395831,-1.348771,1.407597,,,-0.496151,0.278406,CA7,probable
22,257.23512,1.2559,0.505665,1.20866,0.202653,4.61596,0.499434067,0.0,0.0,0.693781972,0.99999843310185,6.87689431,0.271914,8.68547,0.30704,1.151255,-2.09,-2.771541,-0.077854,-0.055056,0.217387,0.352641,-0.246612,0.387246,-0.115269,0.501587,-1.860728,0.351831,-0.522759,-0.125676,0.175855,0.250806,-0.62274,1.831244,0.058396,-1.001574,-1.230235,0.077882,0.354826,-0.199018,CACNA1C,most likely
662,728.73949,0.5555,0.0234157,0.736759,0.917359,3.00258,0.49080455,0.0,0.900502883,0.693386316,0.99999999998943,3.74177141,-0.277248,4.48029,0.726884,-1.133659,-3.51,0.89241,0.059744,-0.216786,-0.767472,0.138808,0.51022,-0.633431,0.409773,-0.600486,0.159761,0.166799,0.139793,0.258776,-0.276997,0.469274,-0.208296,0.624582,-0.418726,0.929769,0.86553,-0.308429,-3.391161,0.302131,CACNA1D,most likely
64,590.52071,-0.4331,1.08735,2.59913,0.339362,14.7574,0.512173321,0.0,0.0,0.622939706,0.999693296855458,1.90066426,-0.135808,4.41109,-0.698552,-0.373346,-0.55,-0.366244,-0.513075,0.236308,0.531235,0.381504,0.789084,-0.228812,0.296775,-0.19513,-1.301027,-0.36603,0.437445,-0.31749,-0.32183,1.176956,0.402269,0.58788,-0.343907,-0.301065,-0.170104,0.259243,0.382197,0.07638,CACNA2D2,most likely
1,766.55161,,0.369301,1.70976,2.14918,1.93115,0.570663532,0.0,0.0,0.602114379,0.0018203378419392,3.49140794,-0.812072,,0.177882,-0.17251,-0.71,0.41068,-0.095045,0.116971,0.214448,0.339584,0.177308,0.528861,0.268382,-0.570755,-0.220455,0.695892,0.127917,-0.319864,0.525699,0.488454,0.072985,1.17985,0.797328,-6.643856,0.743007,0.163579,-1.123398,-0.287597,CACNB2,most likely
65,22.57919,0.2241,0.0542263,1.86247,0.0361896,3.74133,0.0,0.0,0.0,0.638582647,0.0113635817076805,3.8518009,-0.165659,9.43416,0.17054,0.594635,0.08,0.878742,-0.177688,0.349774,0.645603,-0.487325,-0.250359,0.612237,-0.112858,0.426189,0.186647,0.543418,-0.345882,-0.444365,0.340093,0.882744,0.083467,-0.271073,0.171086,-1.017026,0.875645,-0.249607,0.768493,-0.261527,CACNB4,most likely
1,1989.47131,,66.2081,84.124,15.3251,46.0483,0.0,0.0,0.0,0.519577324,0.171891880753814,3.55585587,-0.192008,7.94672,-0.24672,-0.113267,0.96,-0.403337,0.466783,0.136588,0.070288,-0.216832,-0.172432,0.160777,0.535308,0.148087,-0.107466,0.094104,0.135346,0.089155,-0.092177,0.08488,0.210442,-0.20144,0.2526,-0.331267,-0.54879,-0.078058,-1.091373,0.142097,CALCOCO1,possible
460,105.54792,-0.2536,1.73667,5.73781,4.98674,6.77435,0.0,0.0,0.0,0.170952082,0.0102090578324751,1.86907763,0.176259,9.07861,-0.543246,-0.131497,0.24,-0.329464,-1.347163,0.683173,-1.163682,-0.191229,0.258877,0.487428,0.741258,-0.740098,0.622263,0.485709,0.911863,-0.16604,0.346528,-0.835933,1.047026,-0.301029,0.486901,0.277216,-0.230174,0.519059,0.136333,0.525451,CALML4,possible
21,1301.92267,0.3745,37.6709,0.327715,2.36737,2.557,0.431381082,0.0,0.0,0.736296356,0.468620194092365,9.88779187,0.770014,7.60617,0.407151,-0.509245,-0.62,-6.643856,0.18349,0.147283,0.224134,0.16295,0.347742,-0.402096,0.150116,-0.790441,0.189685,-0.58255,0.087438,-0.088524,2.690621,0.084455,0.123237,0.386336,-0.214231,0.716415,0.745999,1.458821,-1.937011,0.244587,CAMK2B,most likely
25,65.69716,-0.4737,4.42593,15.2294,6.3771,23.9533,0.0,0.0,0.0,0.661956608,0.999927001146307,11.6844728,0.061226,5.93494,0.126647,0.089517,-1.04,0.133427,0.275168,0.078268,-0.075449,0.223566,0.091608,0.147907,-0.081333,-0.395807,-0.291509,0.10414,0.05206,0.133366,0.102271,0.149766,-0.177636,0.202643,0.11519,0.109029,0.086221,0.113726,0.095466,-0.100896,CAND1,possible
149,1917.48114,-0.3541,4.36884,6.46368,4.27798,27.4466,0.396248826,0.0,0.0,0.669261694,0.0031939556719064,5.52376604,-0.127439,9.29424,0.222165,0.467961,0.82,0.488988,-0.380205,0.153392,0.17178,0.129589,0.373378,-0.840511,0.490959,0.265985,0.386135,-0.145565,0.173524,0.327354,0.421366,0.137382,0.167859,0.222874,0.410219,0.597375,0.454703,0.35905,0.272856,0.110679,CASP9,probable
109,804.17478,0.4873,85.3963,66.4994,21.3231,59.966,0.0,0.0,0.0,0.429466158,1.55575755785131e-06,2.93496915,0.151473,7.65635,0.130122,0.233418,0.71,0.22501,0.265138,0.328344,0.300314,0.318309,0.301778,-0.192908,0.316061,0.439502,0.262695,-0.169337,0.241284,0.40409,0.301174,0.414017,-0.225705,0.337455,0.363326,0.425274,0.260669,0.335622,0.328002,0.39955,CAST,most likely
155,11.5877,0.1871,34.4387,56.4558,4.90887,21.4049,0.788155246,0.0,0.869202136,0.769165754,0.0187079719750825,23.41984427,-1.035948,7.96358,-1.733015,-0.55095,-0.32,-0.992186,-0.4399,-0.752038,1.669594,-0.614919,-0.246638,0.083727,1.398368,-0.429898,-0.764119,-0.127221,-0.634194,-0.141298,-0.435721,0.505429,-0.452989,1.036476,0.18107,1.329662,0.493461,0.404311,0.90484,-0.527535,CAV1,probable
41,1294.94009,-0.4295,0.215039,2.71505,0.413393,96.3852,0.0,0.0,0.0,0.186891869,1.16806309975737e-05,,-0.228072,,-0.454267,1.060272,1.84,-2.266105,-0.306911,-0.275445,-0.921677,-1.823533,-0.350403,-1.524719,-0.236853,-0.576076,-0.231954,-1.076002,-0.335386,-0.268265,-0.346884,-0.240322,0.291402,-0.443667,-0.297588,0.834181,-0.302786,-0.258018,-0.356427,-0.348661,CCDC74A,possible
211,435.38052,-0.4933,0.0,0.0473853,0.0103568,1.01452,0.528331768,0.0,0.0,0.421012312,9.67009048154741e-05,1.98266541,0.687974,,0.696035,,-0.27,-6.643856,0.190975,-0.302339,-1.287642,-1.610145,-0.731149,-1.225213,-1.182166,-0.733626,1.054111,-1.477255,-0.275741,2.361098,0.869961,0.438286,-0.345427,-1.021415,-6.643856,1.031933,-0.225421,-0.652983,-1.404853,2.222629,CCKBR,probable
1166,11.551,0.467,1.39123,44.5032,25.7132,5.17559,0.0,0.0,0.957427108,0.830946863,0.238186361767522,8.79295894,0.155825,7.95173,0.716556,0.313139,-0.32,-1.121079,0.514159,0.610646,-0.510897,0.688935,0.374767,0.233483,-0.404567,1.74151,-0.481138,0.151279,-0.502458,-0.227202,-0.452264,1.036552,-0.249033,0.664619,0.976133,1.74955,0.839783,-0.808286,-1.268833,0.626871,CCND1,most likely
310,38.51875,-0.3526,1.31133,2.20333,0.38538,28.5434,0.0,0.0,0.0,0.684597015,0.268926805475888,6.62521728,-0.070162,3.63897,-3.058003,0.908164,-0.36,-0.330078,0.16294,0.130718,-0.199028,-0.577057,-0.245257,0.768883,0.258444,-1.443589,-0.25881,0.775848,-0.198161,-1.483858,-0.230223,-0.898243,0.598741,0.342568,-0.246805,-0.52272,-0.31635,-0.300618,-0.524667,-0.209152,CCNE1,possible
15,19.37612,-0.2075,0.0400276,0.311958,0.122681,0.454875,0.0,0.0,0.0,0.111908376,0.0006391178022634,1.98266541,-3.823331,,0.423567,0.928,0.13,0.527618,-2.570536,-2.176795,1.192532,,0.715396,0.581463,,-6.643856,,0.5041,,1.234554,-6.643856,0.830174,,2.891828,-6.643856,-6.643856,-0.559764,-0.280808,-0.519603,,CD300LB,least likely
99,147.30048,-0.2618,6.78559,3.07379,0.125581,1.77645,0.363622861,0.0,0.0,0.553528666,0.217594377239137,14.88905883,0.316181,9.30916,1.020385,1.177951,0.31,-0.575556,0.225813,-0.163561,1.204139,-1.051291,0.419937,-0.246241,-0.281042,0.490627,-1.320466,0.196475,0.404302,0.19249,0.937646,-0.263463,0.71464,-6.643856,-0.375096,-1.799284,-0.613177,-0.214545,1.275936,-0.281765,CDH13,possible
81,656.55651,0.373,4.65965,5.80662,1.9184,7.48491,0.0,0.0,0.0,0.488307536,0.577650480843115,4.70997211,-0.138644,8.29593,-0.102351,-0.178921,-0.58,-0.115517,0.254913,-0.218051,-0.093559,-0.153044,0.140331,-0.135071,0.131855,-0.185743,-0.166527,-0.127412,-0.156679,-0.105631,0.275503,-0.524202,-0.12762,-0.168318,0.27559,0.581276,-0.618631,-0.092991,0.233398,0.198248,CDKAL1,probable
30,899.40808,0.3491,118.116,74.9705,54.2047,73.9433,0.0,0.0,0.0,0.581228554,0.0272025507564846,8.44786072,0.195082,9.63636,-0.184652,1.782823,0.46,1.224832,0.402766,1.46018,-1.160669,-0.421202,0.923207,-0.131867,0.578075,1.849184,-0.997811,-0.422648,0.608183,0.10656,0.2474,0.508463,-0.562339,-0.924319,0.356761,-0.32449,-0.254728,0.144101,0.872475,-1.398883,CDKN1A,probable
124,3228.09595,0.2944,2.15122,9.42215,5.99015,59.4449,0.0,0.0,0.957427108,0.396241546,9.668792253044669e-18,8.67033304,-0.152964,10.4058,0.141392,0.136366,0.09,0.125045,0.132439,0.135482,0.094393,0.095514,0.142358,-0.060034,0.091746,0.316864,0.17023,0.076774,0.28161,0.043169,0.076075,-0.149822,0.277378,-0.216461,0.108926,0.151193,0.129157,0.103372,0.138953,0.144183,CEP164,possible
230,579.86625,-0.3159,1.59049,41.8648,1114.93,3.1872,0.0,0.0,0.957427108,0.332020491,0.0009788594124966,4.7073544,0.328403,8.53821,-0.5619,-1.140637,1.64,-1.63884,1.488432,1.324236,0.815696,-0.262989,-0.747575,-0.626681,-0.446055,-0.263997,0.644855,-0.541294,-0.566514,0.257709,0.961434,-0.514328,0.76015,-0.740007,-0.564124,-1.279628,-1.460046,-1.370981,-1.215169,0.670643,CFB,possible
280,36.30666,0.5709,4.98101,49.411,19.4902,119.375,0.0,0.0,0.0,0.72829324,0.787088146901824,0.0,-0.126712,9.313,-0.212567,0.411125,-0.43,0.44763,0.168206,-0.139424,-0.154322,0.522535,0.129746,-0.087012,-0.193879,-4.273598,-0.431777,-0.26825,-1.293838,-0.125702,0.545232,0.482108,-0.284553,-1.919549,0.431449,-0.684876,0.165678,0.178393,0.253042,1.033322,CHKA,probable
494,63.5868,0.4323,0.00516141,0.00797711,0.165656,0.65622,0.528331768,0.0,0.0,0.564055979,0.0058705936126482,11.91440126,0.534988,7.83634,,-6.643856,0.19,2.125907,2.032652,0.853902,0.539474,-6.643856,-4.427492,,-2.519718,-6.643856,-1.214994,,-0.877729,,,-6.643856,2.465627,-4.369303,-0.262816,2.172883,-0.587965,2.040713,-6.643856,-0.614181,CHRM2,possible
86,25.11031,0.2926,46.7842,42.8068,7.89596,418.739,0.0,0.0,0.0,0.875350475,0.85084546139957,6.95230661,0.0943,10.831,0.471294,1.374962,-0.41,0.515523,0.096277,0.219899,0.115939,0.503094,0.251278,0.714536,0.096624,-0.142102,0.111331,0.620869,0.055744,-0.215609,-0.901291,1.007919,0.126413,-0.224814,0.569378,0.45211,0.18549,0.207325,1.536892,0.087885,CKB,possible
18,371.5394,0.3012,7.74102,11.6507,8.4081,38.8683,0.0,0.0,0.0,0.575333595,0.163974191293187,2.93429059,-0.277437,9.22485,-0.103133,0.244886,-1.57,-0.194903,0.497229,0.095092,0.276293,0.186687,0.155842,0.151128,0.217495,0.261903,0.107227,0.172554,-0.221944,0.183839,0.1786,-0.30613,0.164764,-0.136826,0.125877,-0.796888,0.123703,0.18643,0.148308,0.146639,CLCN6,most likely
1,1257.07472,,0.375859,2.91657,0.0989349,10.7573,0.853179975,0.0,0.0,0.139342904,2.74927659103062e-14,2.89489364,-0.296521,,-0.929617,-6.643856,1.54,0.851226,-1.073713,-1.257155,-1.117992,-1.396128,1.975835,-1.651891,-1.015007,-1.969337,-1.350952,-1.068792,-2.21767,-1.043129,1.229697,-1.058188,-2.828286,-1.434408,2.039688,-0.824071,-0.596719,-6.643856,-0.714916,-1.326753,CLCNKA,probable
61,702.63417,-0.5387,7.42245,6.96277,2.66429,14.5914,0.504094097,0.0,0.0,0.757599056,0.998479650515238,6.46145605,0.096578,7.826,0.483828,0.291511,-0.53,0.343965,0.07575,-0.094362,-0.276434,0.166779,0.134763,0.174445,-0.169004,-0.140097,0.175602,0.155995,-0.239184,0.141239,0.117682,-0.118717,-0.172176,0.256024,0.055289,0.155595,0.112996,0.157092,0.13845,0.288781,CLOCK,probable
8,13.65731,0.1981,0.430193,7.11475,0.493971,3.61168,0.0,0.0,0.0,0.28995356,0.347229317263347,1.96195718,-0.297516,4.14163,1.219704,2.966849,-0.08,0.378668,0.999572,0.589845,-6.643856,-0.206759,-0.318889,-0.18895,-0.227783,0.585191,1.148323,0.476765,-0.796321,0.223636,1.473649,0.870019,0.543089,-6.643856,0.496775,2.180436,1.169357,-0.771631,2.239681,1.029876,CNFN,least likely
66,215.89598,-0.2298,2.10346,0.96737,0.56644,4.20784,0.0,0.0,0.0,0.262694746,0.0003492522085972,3.94830677,0.59969,9.8233,0.678289,1.485537,0.42,0.816854,-0.476032,0.361334,0.791484,1.255387,0.48756,1.078483,-1.005708,-0.339093,0.334788,0.451949,0.456984,0.547243,0.750392,-1.482964,0.36504,-2.198544,0.580127,0.833271,0.669974,0.712241,1.700856,0.65884,CNTF,probable
251,2197.61027,0.3962,1.3657,10.0662,13.4326,1.48106,0.0,0.0,0.0,0.233205885,0.0121973641922403,0.0,-0.160421,7.12955,-0.677871,1.296812,0.41,-0.777238,-3.298035,0.318325,0.252003,0.2769,-0.114095,-0.683513,0.244766,-1.216862,0.395553,-0.293471,0.367891,-0.118386,0.18352,0.223476,-0.40272,0.37924,-0.2235,-0.371515,0.088445,-0.464258,0.547457,0.185695,COBLL1,possible
10,50.21273,-0.3655,0.853078,6.22742,0.206924,0.520784,0.0,0.0,0.0,0.418466419,0.0381673646294114,4.89372234,-0.193429,5.93072,-2.399747,0.213433,-1.46,-1.177443,-1.137722,-6.643856,-6.643856,-6.643856,0.541637,0.391674,1.738303,-2.227206,-0.842868,-0.223468,-6.643856,0.242116,-0.521846,1.441152,-2.090515,-6.643856,0.287705,1.020086,2.185429,-0.95822,0.625779,-5.426312,COL8A1,possible
72,6992.13025,0.8927,0.341075,0.728949,347.112,12.4928,0.0,0.0,0.0,0.698162794,0.0833573677195577,5.64448814,-0.087549,4.18145,0.458873,-0.483245,-0.63,-2.144978,0.297866,0.331335,0.907868,-0.482132,0.327414,0.254231,0.495184,3.4284,-0.428985,0.393318,0.469869,0.252735,0.474404,0.318804,-0.536046,0.902013,0.368142,-2.554696,0.35453,0.293962,0.341726,0.533852,CPS1,possible
275,30.64753,0.515,1.28041,4.42862,0.351006,0.613246,0.0,0.0,0.0,0.746013939,0.989844564730837,1.99049944,0.696484,7.79306,-3.435095,0.377115,-0.67,-2.272435,0.19724,-0.18414,0.98775,0.263691,0.31789,-0.16583,-0.27401,1.704816,0.214107,-0.553907,0.230369,-0.190293,-1.372894,0.207675,0.273719,-0.23537,-6.16792,-2.553513,-0.735844,0.842881,1.043838,0.534347,CREB5,possible
84,1311.19681,-0.175,0.0,0.0309397,0.0,7.00215,,,,,,,0.676946,,,,,,,,-6.643856,,,,,,,,0.549731,0.38111,,,0.515884,,,1.100968,,,,,CTA-299D3.8,least likely
1,840.47456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTB-134H23.2,least likely
62,179.81605,-0.1597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTB-167G5.5,least likely
1,5.42256,,9.61935,9.06451,0.744032,7.89733,0.0,0.0,0.0,0.396258533,0.138254693826932,1.70705006,-0.111426,10.53455,0.786301,-1.303305,,-1.591081,-2.985417,0.233962,0.710261,-0.548357,-1.77715,0.722664,0.487262,0.345526,0.528463,0.161375,-0.615888,0.264201,-0.471305,-0.688346,0.358921,0.278459,-0.704756,0.716758,-0.437119,-0.196161,0.462219,-0.360514,CTF1,probable
65,10.25364,-0.5576,35.0415,119.41,33.9225,62.6791,0.389625962,0.0,0.0,0.782960892,0.999812749503708,37.57141285,-0.035311,3.18948,0.17372,0.366693,-0.58,0.359185,0.148224,0.065452,0.167468,0.09304,0.080909,-0.059406,0.142686,0.207141,0.114459,0.059978,-0.277899,0.100863,-0.318022,0.162139,-0.477658,0.451874,0.121006,0.526144,0.15888,-0.115805,-0.277855,0.16307,CTNNB1,probable
55,350.77826,-0.5502,0.0200648,0.179242,0.19893,6.4103,0.930627006,0.0,0.957427108,0.132359073,0.0014339318816204,1.6697435,0.253541,,-2.301667,1.721874,-1.19,4.073819,2.247876,-6.643856,-6.643856,-1.821252,-2.517421,2.242977,-2.39529,1.651026,-6.643856,-6.643856,3.337152,-1.619486,4.054573,-3.708659,-6.643856,3.974244,-6.643856,-6.643856,4.097321,0.9914,-1.539999,-1.395521,CYP11B1,probable
17,295.69785,-0.3979,0.0,0.0,0.00948479,0.191225,0.826392613,0.0,0.957427108,0.111908376,3.92718052728051e-13,1.6697435,0.592445,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,CYP11B2,most likely
606,8.73654,0.4083,1.30152,0.572294,1.95006,14.5682,0.0,0.0,0.957427108,0.309100866,0.0350306078051602,3.92083295,1.386835,8.46485,-5.16217,1.165507,-0.69,2.631677,0.60359,-0.539329,-0.65978,0.410855,1.463754,-0.333732,0.363287,-0.427672,1.497806,-0.859211,-0.664823,-0.303501,0.954902,0.795142,0.531662,-1.041522,1.297834,2.686582,0.380054,1.059282,-0.591849,-6.643856,CYP17A1,probable
2317,141.56503,-0.7345,0.0,0.0102511,71.5396,0.105563,0.0,0.0,0.0,0.111908376,3.28540807222054e-10,2.89366853,-1.177008,6.34038,,,-0.6,,,,,,,2.844444,,,,1.51176,,,,,,,,,,1.79801,,,CYP1A2,most likely
224,2760.21963,-0.324,0.0902374,2.52129,17.4681,0.987103,0.0,0.0,0.957427108,0.506795704,0.672306731067129,1.96359409,1.397437,7.1103,2.948177,2.367092,,1.14058,1.016834,1.493583,1.253588,1.199714,0.991508,1.975555,1.331192,0.77321,1.852474,1.848616,1.84469,1.304439,1.058942,1.042125,1.974036,0.817614,1.643843,0.944593,0.823171,1.092386,2.036873,4.313851,CYP21A2,probable
96,269.5604,-0.3323,23.7911,69.4841,332.028,33.6985,0.451842443,0.0,0.0,0.146139458,3.8968187506163296e-11,2.32162457,0.397184,5.96149,0.182789,-0.424189,-0.31,-1.023923,-0.10983,-0.379826,-0.163558,0.55206,0.311363,-0.302509,0.839336,0.768511,0.274249,0.077239,-0.082523,0.091203,0.325818,-1.208284,1.415915,-0.144926,-1.650541,-0.68478,0.174949,-0.375365,-0.42945,-0.161967,CYP27A1,possible
212,378.83872,0.3776,0.0,0.0651891,13.2527,0.0750059,0.0,0.0,0.0,0.111908376,2.53768601148421e-10,3.866916,-6.643856,,,1.0572,0.71,,,,,,1.453106,0.989182,,,,1.08234,,,,,,,,,0.800651,-3.172733,,,CYP2C19,most likely
282,21.66294,-0.283,8.01837,22.3868,7.43044,125.666,0.0,0.0,0.0,0.17792584,1.84813920683629e-05,,0.247843,6.92781,0.107895,-0.350877,-0.29,0.140747,0.097662,0.143353,0.136343,0.276349,0.093473,-0.159856,0.399353,0.182909,0.168244,-0.141425,0.23171,0.109867,0.136839,0.296262,0.140543,0.171431,-0.206993,0.36411,0.073484,0.103171,0.258128,0.119006,DALRD3,probable
109,637.88987,0.3188,0.0658249,0.163501,23.5694,0.659191,0.0,0.0,0.651169479,0.390099078,2.54160922305115e-06,12.63081829,-0.28444,7.5006,-6.643856,-2.175079,-0.01,1.274287,0.850832,0.814529,-0.526529,-2.676838,0.657492,0.533192,1.226203,-2.216272,0.920978,0.82322,-1.134928,1.075032,-0.876634,-3.934101,1.144,-1.030234,0.8918,-0.681184,-1.123052,-0.354482,0.848719,-0.446022,DBH,probable
1,77.4528,,12.4543,15.3997,37.0926,28.5401,0.887688063,0.0,0.0,0.591572225,0.168276873038356,1.99992492,-0.10818,8.80361,-1.27913,0.136376,-0.1,0.297675,-0.089613,0.125859,2.419946,0.122532,-0.134251,0.550032,0.025362,-0.789694,0.115473,0.235521,-0.439646,0.076775,-0.385079,1.254515,0.656977,0.66383,-0.148652,0.540423,1.181465,0.493513,0.608991,-0.117696,DDAH1,probable
48,8.97171,0.7071,0.0,0.0,0.0,0.0,,,,0.123297259,0.15739801203891,,,,,0.692121,0.59,,,,,,,,,,,,,,,,,,,,,,,,DEFB131,least likely
74,139.19509,-0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DKFZP434O1614,least likely
1396,796.35554,-0.5314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DKFZP761K2322,least likely
30,0.63842,0.3811,1.01731,0.990711,0.0872401,0.794476,0.0,0.0,0.0,,,,0.412115,,-0.305947,-1.925131,,1.0248,-1.955792,-0.512271,-0.73924,-1.720674,0.493944,0.399804,0.619854,-6.643856,-2.0353,-0.342151,-0.244723,-0.254595,0.547539,-1.000303,-0.462364,1.739522,0.514906,-0.227874,-0.417664,0.398914,0.919909,0.790329,DLEU2L,least likely
30,1608.73768,-0.4341,7.79902,12.9306,7.68865,111.665,0.0,0.0,0.0,0.824708164,0.999988961757209,4.62746682,-0.223103,8.69533,0.466295,0.29802,-3.18,0.197056,0.432819,-0.571829,1.502838,0.584397,0.334907,0.078556,0.398362,-0.210985,0.404068,0.08427,0.398923,0.06508,0.230603,0.30583,0.375364,0.259494,0.649324,0.554364,0.172933,0.233975,0.158725,0.415628,DOT1L,possible
672,499.50349,-0.7297,0.0265513,0.853388,0.191411,110.288,0.0,0.0,0.0,0.146139458,0.0001364929585991,8.91291128,-0.512799,1.77023,2.504432,0.796623,-0.77,-1.096725,-1.821846,0.943332,-1.483414,1.44946,1.060052,-6.643856,1.074157,-1.860065,3.226119,2.454666,-0.75615,-0.841774,0.689471,-6.643856,-6.643856,1.008785,1.204071,1.025626,0.846546,-0.668819,-1.328624,-1.236494,DPEP1,probable
2,4755.60752,-0.1857,0.464807,87.6854,21.3464,3.21316,0.528793336,0.0,0.0,0.747131348,0.999901542789998,12.88289324,0.334087,10.1219,1.016221,-2.796909,-2.23,0.352163,-6.643856,0.478139,1.948072,-0.530704,-0.75659,-0.053586,-0.42103,3.37708,-0.559994,-0.060666,0.440294,0.606835,-0.313727,1.480053,1.539978,-6.643856,-0.206697,0.475594,-0.283573,-1.197059,0.809587,-1.335074,DSP,most likely
192,218.27707,-0.3435,168.692,429.555,422.046,135.061,0.913254607,0.0,0.0,0.848568261,0.0205002018825111,1.86907763,-1.397957,13.7423,-0.402815,-3.582136,,0.552188,0.18861,-3.749093,-0.378423,-0.651049,0.858855,0.433327,-0.79043,0.750934,-6.643856,0.456631,1.105798,0.148518,0.875719,-1.407445,3.129894,-1.558254,0.671661,-0.739352,0.908838,-0.78269,0.529133,-4.879331,DUSP1,most likely
765,747.20557,0.638,4.51796,16.8669,1.52907,7.74557,0.887688063,0.0,0.0,0.449802697,0.0810200671130622,6.87802251,0.54222,10.4073,0.505017,1.757834,-0.21,0.574822,0.76774,-6.643856,1.698061,-6.643856,1.677239,-0.298273,-0.551069,0.503704,0.83232,-1.37126,-0.953853,1.236038,0.364163,-1.19023,-1.431435,1.24819,0.86679,1.683997,-1.197449,-1.772605,-2.067062,1.438662,EDN1,most likely
94,6.56136,0.2822,1.94008,9.72749,1.03118,6.46399,0.0,0.0,0.0,0.800036311,0.986016088385212,1.74820254,0.325016,8.14156,-0.265829,-0.28978,-0.38,-1.072096,-1.863382,-0.391565,2.537991,-1.071216,0.250259,0.385649,0.879012,-2.259522,-0.748222,0.280825,-0.306446,-0.101558,0.238272,-1.34069,1.642628,-0.613258,-0.477281,-0.572743,-0.20623,0.170776,0.344918,-1.051337,EDNRA,most likely
19,2847.71785,0.498,7.60684,10.9969,5.06819,7.05866,0.0,0.0,0.615881762,0.708682775,8.32742943473465e-10,1.98608503,0.099582,6.46206,0.200568,0.211346,-0.72,0.183121,-0.351583,0.160309,0.183997,0.19721,0.206156,0.165714,0.142165,0.214979,0.180802,0.203035,0.099726,0.140994,0.185824,0.125305,0.100826,0.215702,0.18444,0.160517,0.238806,0.144464,-0.258667,-1.117257,EIF2AK4,possible
14,250.99535,-0.7151,6.72923,10.61,9.39784,10.3093,0.0,0.0,0.0,0.743839204,0.0621098709716946,10.79296239,-0.119858,9.63588,-0.113515,0.196154,-0.6,0.61785,-2.489333,-0.226652,-2.337922,0.183307,0.307767,-0.039086,0.239568,0.312253,1.033123,-0.080109,0.260381,-0.104506,-0.231002,0.364576,0.27496,-1.286,0.290925,0.345293,-0.096618,-0.204635,0.611386,0.268483,EPB41,probable
4,6533.99861,-0.2812,10.9966,12.7549,6.21866,7.54731,0.0,0.0,0.0,0.167412758,9.99009541070118e-18,9.82593735,-0.322275,10.0347,-0.281181,-0.487881,1.08,0.349512,-0.336621,-0.543527,-0.524915,-0.46242,-0.491042,-0.571538,-0.617894,-0.81882,-0.474731,-0.485138,-0.314025,-0.327417,-0.442863,-0.580176,-0.749891,-0.597912,-0.326114,-0.249981,-0.475709,-0.489325,-0.404226,-0.533765,ERAP1,possible
234,741.13732,0.5378,0.0316847,0.0340596,0.0,0.100667,0.0,0.0,0.0,,,0.0,1.036993,,,,,2.03695,,,,,,,,,,,1.012,,,,-0.883757,,,,,,,,ERVV-1,least likely
257,148.46269,-0.4592,0.598896,0.563924,3.52714,2.73794,0.514240382,0.0,0.0,0.762403488,0.987167021325736,11.79347495,0.188398,7.2382,-1.196327,-0.336622,0.24,-0.395369,-0.334975,-0.624248,-0.555218,-6.643856,-0.734207,0.291585,0.292245,0.5019,4.652547,0.46938,0.203167,-0.140537,-0.398971,0.505561,0.325461,-0.360936,0.247554,1.850869,-0.968313,-0.275238,-0.253602,0.752637,ESR1,probable
