,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Liver_GTExTPM,Testis_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Ovary_GTExFC,Artery_Coronary_GTExFC
0,280.0,407.27263999999997,0.07200830000000001,0.08363910000000001,1.04186,0.0,0.0,0.0,0.7714540959999999,3.63608214,0.534513,6.9814300000000005,-1.8374080000000002,-2.09,0.326554,0.274796,0.582739,0.498882,1.7351740000000002,0.801624,0.43794399999999994,0.302197,0.7379760000000001,1.145373,0.924459,3.160413
1,56.0,117.11773000000001,4.15827,8.69046,0.506314,0.884429274,0.0,0.0,0.670620084,4.77784717,-0.242594,4.11477,0.568715,-1.97,-0.31759499999999996,0.250539,-0.469268,-0.619337,0.364388,-0.48191300000000004,0.314485,-1.363194,0.163588,0.9379209999999999,0.334298,0.429516
2,1.0,1512.78445,20.8997214,11.220314600000009,24.801223000000004,0.07670363356000001,0.0,0.015733088699999998,0.6096134610099998,4.994913279500001,-0.04203211,8.389739300000004,-0.054273559999999985,-0.11340000000000006,0.027211350000000026,0.07149644999999998,0.042314880000000006,-0.015333869999999998,-0.04892755000000002,0.14587340999999998,-0.15478674999999995,0.06279106000000001,0.010779340000000005,-0.0035829300000000046,-0.0002521499999999793,-0.3028506899999999
3,357.0,12.38694,27.111671999999995,16.8479232,43.719565799999984,0.032877162250000015,0.0,0.0,0.6277275994699998,7.016965189399997,0.0008865400000000005,8.602901800000001,-0.004026640000000001,-0.21919999999999995,0.01253018,0.02004838,0.006518960000000011,-0.06399772000000001,-0.08112013999999998,0.020459890000000026,-0.16647538,-0.02293473,0.025254160000000008,0.0010800400000000009,-0.017167469999999997,0.058003209999999986
4,24.0,1095.2409699999998,31.587920399999966,19.25562507,34.654169399999994,0.00958906534,0.0,0.0,0.2409478058900003,5.830684607999997,0.019991340000000003,7.227454400000004,-0.09296362999999998,1.0538999999999998,-0.04833387000000003,0.034233760000000016,0.052895249999999984,-0.054124310000000016,-0.059844500000000016,0.15395573999999992,-0.12970364999999995,0.039093639999999985,-0.012401709999999995,0.005402789999999999,-0.13357145000000006,0.04060398000000001
5,966.0,332.05359,21.443215699999982,11.874001900000007,27.11797440000001,0.05935357529,0.0,0.01851508076,0.64108739453,4.6292707020999995,0.018325020000000008,8.616458650000004,-0.17963483000000008,-0.2373999999999998,0.10106529999999997,0.02551095,0.010974380000000014,-0.046578349999999984,-0.08565862999999999,0.024663100000000004,-0.12398897,0.02636230000000001,-0.017039849999999992,0.005095469999999995,-0.03527391,0.06585417
6,162.0,371.98567,19.163766799999987,11.062721,23.196075599999997,0.0,0.0,0.02808935184,0.22590719383000016,3.6713185331,-0.011714170000000005,8.703512649999992,-0.08077983999999999,0.4380999999999999,-0.028651169999999976,0.03823842,0.08178188,-0.024620850000000014,-0.07494372,0.10904314000000002,-0.13722399999999996,0.08232807999999997,0.03092355999999999,0.02789343,0.04545510999999999,0.11551143
7,290.0,0.61257,67.75790220000005,32.757646799999996,104.21972659999996,0.048249997199999985,0.0,0.09157603940000003,0.7024038244399997,9.510742454799997,-0.07724835999999997,12.7035,0.03614266000000002,-0.2893999999999999,-0.5479987100000001,-0.06953453999999999,-0.2999549200000002,-0.06352540999999999,-0.07044592000000002,-1.9005461800000003,-1.0164547099999997,-0.16781620000000008,0.12374113,-0.07904010999999997,-0.09178778,-0.04172873
8,104.0,1535.52979,31.84282259999999,18.136775799999995,39.845813399999976,0.0,0.0,0.00957427108,0.2727188124100002,3.9809283465,-0.01634683000000001,12.0118,-0.07557577999999998,0.7263999999999996,-0.27677917,-0.000285680000000007,-0.08598151000000001,-0.045705479999999965,-0.08161031999999999,-0.2255909900000001,-0.3160397200000001,0.014768579999999996,-0.0035642599999999975,0.02267558,0.009258469999999994,-0.029893210000000062
9,6.0,2.95899,38.6555617,20.0414368,44.37931959999998,0.0714371013,0.0,0.028722813239999995,0.6650550020599998,8.367351010999997,-0.13112748,7.97421,-0.02689414,-0.33329999999999976,-0.3443536100000001,-0.015660419999999994,-0.12742661999999993,-0.053389460000000014,-0.04909556000000001,-0.05234913000000002,-0.8032276799999998,-0.06137076,0.037526610000000016,-0.04192905,-0.046485920000000014,0.004383320000000002
