iter	Passed	Remaining
0	2	112
1	3	92
2	5	86
3	6	80
4	8	72
5	9	67
6	10	62
7	11	59
8	12	57
9	13	55
10	15	54
11	17	54
12	18	52
13	20	52
14	22	52
15	24	51
16	25	49
17	26	47
18	28	45
19	29	43
20	30	42
21	32	41
22	33	39
23	35	38
24	36	36
25	38	35
26	39	33
27	42	33
28	44	32
29	46	31
30	48	29
31	49	27
32	51	26
33	52	24
34	54	23
35	56	21
36	57	20
37	59	18
38	60	17
39	62	15
40	63	13
41	65	12
42	67	10
43	67	9
44	68	7
45	69	6
46	69	4
47	70	2
48	70	1
49	71	0
