iter	MultiClass
0	1.034143561
1	0.9501630622
2	0.904210486
3	0.8647396795
4	0.8133004601
5	0.7891946173
6	0.7649715743
7	0.7464004099
8	0.7312189706
9	0.7094945049
10	0.6843037325
11	0.6629457305
12	0.6534475069
13	0.6399110113
14	0.6272405427
15	0.6091824168
16	0.5981032051
17	0.5922365792
18	0.5861876067
19	0.5788723304
20	0.5672942769
21	0.555287941
22	0.5480982587
23	0.5451156253
24	0.5412887398
25	0.5332856867
26	0.5254362948
27	0.5173029624
28	0.5108083645
29	0.5075791763
30	0.5028931696
31	0.4997979414
32	0.4941938019
33	0.4888830315
34	0.4844725024
35	0.4820016052
36	0.473312275
37	0.4678199647
38	0.4604943104
39	0.4566723974
40	0.4537874773
41	0.450589596
42	0.4463746272
43	0.4421090834
44	0.4386984204
45	0.4336560181
46	0.42489019
47	0.4231230584
48	0.4187407704
49	0.4114101226
