,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,Minor Salivary Gland_GTExTPM,Lung_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Fallopian Tube_GTExTPM,Heart - Left Ventricle_GTExTPM,Heart - Atrial Appendage_GTExTPM,Nerve - Tibial_GTExTPM,Esophagus - Muscularis_GTExTPM,Kidney - Cortex_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Mucosa_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Stomach_GTExTPM,Colon - Sigmoid_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Colon - Transverse_GTExTPM,Brain - Cortex_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Adipose - Subcutaneous_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,RVIS_Score,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC
0,280.0,407.27263999999997,0.07200830000000001,5.5863,0.08363910000000001,0.739279,1.70193,0.967023,1.51789,5.19364,0.5374439999999999,0.455654,0.686187,0.187323,74.0619,3.42677,0.12661,1.5584,0.202676,1.04186,7.07713,2.25624,2.05341,0.0134976,10.09,6.49074,1.45088,0.5249659999999999,0.120094,0.21223899999999998,0.189693,0.398914,6.93692,14.5522,9.76299,1.12481,30.0186,10.1244,9.749419999999999,5.38241,1.6540599999999999,0.011323399999999999,0.0179703,8.81591,0.344894,0.0,0.0,0.0,0.7714540959999999,3.63608214,0.534513,6.9814300000000005,-1.8374080000000002,-2.09,0.326554,0.582739,0.498882,0.801624,0.43794399999999994,1.731966,0.302197,0.7379760000000001,1.145373,0.298729,0.715841,0.924459,0.5599310000000001,3.160413,0.574311
1,56.0,117.11773000000001,4.15827,6.55882,8.69046,4.51777,18.294,8.40668,7.48648,7.774369999999999,13.0768,1.05469,7.75639,2.38603,2.3750299999999998,5.13089,1.44118,1.9240099999999998,1.78365,0.506314,8.48129,21.8175,5.209969999999999,0.016107299999999998,1.27613,2.04671,8.26246,12.8344,5.99089,7.70878,12.8141,5.66832,1.91818,2.25337,2.2652400000000004,3.21715,1.90986,1.18345,1.0159,1.40359,10.0998,16.5493,0.0393093,11.3598,16.971,0.884429274,0.0,0.0,0.670620084,4.77784717,-0.242594,4.11477,0.568715,-1.97,-0.31759499999999996,-0.469268,-0.619337,-0.48191300000000004,0.314485,0.556739,-1.363194,0.163588,0.9379209999999999,-0.707662,-3.589953,0.334298,-0.370917,0.429516,0.36031199999999997
2,1.0,1512.78445,43.68428700000002,66.52473099999996,20.175975299999987,37.62741799999998,86.97721700000002,49.170144000000036,50.21419200000001,86.152552,70.473955,31.26459100000001,97.10066200000004,43.87277799999998,46.145575999999984,62.399446999999995,45.40893199999997,48.38240700000003,50.639191,50.99175329999999,55.690492000000006,80.70653799999997,67.59236800000001,20.187106029999992,16.220984199999997,36.268792999999974,83.803718,55.616809,167.47291900000005,138.5252820000001,164.1693840000001,73.77942499999997,18.883488,19.644643,22.376597,51.86611919999999,24.092262000000016,24.747767,32.43756000000002,24.08926399999999,46.07276800000003,77.17766599999999,47.44515092,76.833453,50.61435699999999,0.02690631704,0.0,0.0,0.5252862832900003,3.789570956599999,0.009596189999999994,7.9739462,-0.06351903999999997,0.16720076099999998,-0.03293260999999996,0.038512470000000035,-0.06187062999999995,0.10814609,-0.09701376,-0.025919219999999996,0.02237041,-0.0016492999999999966,-0.03209254,-0.0019763699999999947,-0.06939311,-0.03794155999999999,-0.04849147,-0.20684521,-0.09928565000000003
3,357.0,12.38694,43.03292400000001,66.18973899999997,23.11572030000001,39.494861999999976,86.895195,53.75953500000002,55.529926,85.22769699999999,68.26523400000002,31.267977,95.175548,50.06803099999996,53.30299599999999,63.07833300000002,46.63773399999998,47.85683100000003,56.51001599999999,53.26840419999999,55.85080600000001,80.08276699999998,69.01493799999997,24.533215489999996,17.299570299999992,37.70838899999999,80.17879199999999,56.95844600000001,166.810625,144.4951670000001,174.68200400000012,73.02879799999997,19.185357,20.054142000000013,22.578272000000005,52.63783000000001,23.22130000000001,24.869984,33.342532000000034,24.716144999999994,45.727348000000035,76.41151409999998,65.06780880000001,79.74892800000002,50.692146,0.04677042915,0.0,0.0,0.6619640319300001,6.004860433999998,0.061307700000000014,9.414015499999996,-0.008142700000000008,-0.260099239,-0.020867459999999984,0.008250500000000011,-0.07586433999999997,0.011669990000000005,-0.09594524,-0.045904329999999986,-0.03398215999999999,0.010002399999999995,0.005666420000000003,0.01195567,-0.12419689000000002,-0.04497038999999997,-0.003344189999999996,0.0007095999999999964,-0.09644622999999998
4,24.0,1095.2409699999998,43.05291800000002,63.10297899999998,22.406184199999995,38.573791999999976,84.45694300000007,50.49796000000002,53.34719199999999,89.23995200000002,83.89078499999998,31.915250999999994,91.59605500000002,44.77376499999998,47.369899,62.937462,44.45555499999997,49.08417400000004,49.709413,53.41832020000002,55.140289,80.18420599999997,67.82962399999998,21.56782758999999,16.299098399999995,38.29315199999999,86.54835200000002,50.92632799999999,169.958259,143.3981610000001,167.2520340000001,72.89287399999995,18.86466,20.448707000000013,22.333662,53.39940499999999,26.07163100000001,25.839332999999996,32.13433800000001,23.97602899999999,46.176227000000026,72.75408499999998,55.95372517999997,77.73461,52.36019899999999,0.03719609263,0.0,0.00816284141,0.6299142466600001,5.0956885526999995,0.03760429000000001,7.723336550000003,-0.013165340000000005,-0.061699239,-0.034356809999999974,0.033510660000000005,-0.07609291999999995,0.0033807100000000077,-0.09531812,-0.010734379999999998,0.034235789999999995,-0.015228149999999998,0.0031568300000000033,0.027147280000000013,-0.04229036999999998,-0.09590313000000003,-0.029032930000000005,-0.01798369999999999,-0.12489775000000004
5,966.0,332.05359,42.118745000000025,65.60053799999997,21.4888996,38.983686999999975,84.62061399999997,55.452052000000016,54.73110899999999,79.580861,66.98695400000001,32.14244600000001,87.513438,46.33620499999997,54.785633999999995,62.00272200000001,46.64675599999998,48.325284000000046,49.49803999999999,53.8553062,54.875508999999994,76.411098,65.53948899999999,22.105032100000003,16.285009199999998,37.48555599999999,71.87210399999998,55.163429,172.06532300000003,144.01643700000002,166.8585840000001,69.40604099999997,19.234241999999995,20.132684000000005,22.683162000000006,51.09496199999999,24.456011000000014,25.399354000000002,32.119970000000016,23.87300099999999,46.09734900000003,84.82392509999998,60.16013505999999,74.68102900000002,51.240393,0.029099211279999995,0.0,0.01877293319,0.6388836880300001,5.023782801099999,0.07808919000000003,8.403876699999994,-0.07905193999999996,-0.189999239,0.0226121,0.009214220000000004,-0.05225138999999998,0.037842070000000005,-0.08597034999999996,-0.03896292000000001,0.002638910000000002,0.013698279999999995,0.009695970000000002,-0.03314812999999999,-0.17235741000000013,-0.02476202,-0.015048130000000003,-0.025450239999999985,-0.12035177999999998
6,162.0,371.98567,42.37396300000001,65.42737499999997,20.551184799999987,36.20984899999998,83.42495900000002,54.51462600000002,53.558323,80.72057899999999,62.20889300000002,26.818074,86.360947,44.462838999999974,46.843678999999995,62.868716000000006,45.85055999999996,48.41009000000004,50.49342199999999,52.2244832,55.54934399999999,77.76041499999998,67.80474999999997,23.5566417,16.074354,36.002288999999976,70.09158099999996,52.716883,166.72250499999996,141.94187600000006,165.54734400000012,70.092732,19.16422,19.41595,22.559947,49.58970719999998,23.37838700000001,25.174495999999994,32.83773300000001,24.332713999999992,45.63404100000002,76.19328369999998,56.59615948999997,79.57006200000002,50.143001,0.023956807459999997,0.0,0.0,0.6366350532899999,5.078154501299997,0.06409236,8.472280449999992,-0.012403380000000006,-0.163099239,-0.01868216,0.048710220000000005,-0.07101336999999998,0.08325803999999999,-0.11236873999999998,-0.041932470000000006,0.006931379999999997,0.00849891,0.01291758000000001,-0.008829629999999995,-0.09015418,0.004702549999999997,-0.005885940000000001,-0.029491479999999994,-0.11102780999999996
7,290.0,0.61257,43.217808000000026,71.53296899999998,26.82682260000001,41.372566000000006,91.70004,59.88848900000002,56.79543699999999,84.57562800000001,68.84028999999998,33.625376,112.179277,52.47370999999998,53.21854200000001,63.27146000000002,47.260232,47.32108800000004,66.27750099999997,54.590145299999996,55.78688200000001,82.01934899999998,69.67327099999997,25.724099719,18.219564599999995,42.601956,79.58456299999997,55.91560600000002,162.75940200000005,146.81310500000012,173.78414400000008,77.37525199999995,19.560611500000004,20.075174000000008,21.783287000000005,54.59657499999997,22.893751,24.70397100000001,33.87003700000002,25.62223006000001,46.05115100000002,74.11462109999997,66.41050577000003,81.02489000000001,52.72083299999999,0.07101527191000001,0.0,0.037921475350000004,0.6536921230599999,7.075056962299999,0.0072773399999999985,12.7035,-0.051891419999999966,-0.283099239,-0.20231327,-0.25678305,-0.11806440000000006,-0.9877906299999998,-0.15659152000000007,-0.038660450000000006,-0.02568828,-0.040404480000000007,-0.012450300000000004,-0.2761737200000001,0.000163320000000019,-0.09123972999999998,-0.04560214999999995,0.031515209999999995,-0.13045734999999994
8,104.0,1535.52979,42.520174000000026,69.68136899999996,22.0801844,39.56929,87.32600600000002,53.18193800000002,52.618751,81.93422300000002,70.23174300000001,31.63458700000001,97.738846,48.00535699999997,47.97829,62.558601,45.20792899999999,48.18765800000002,55.6088699,50.5751866,56.441390000000006,81.20732399999999,69.34230399999997,24.587886030000004,16.279350100000002,35.825018999999976,76.13946899999998,57.33987300000002,162.183688,134.79137300000008,164.6886240000001,74.79842899999997,19.0180215,19.71024,22.667084000000006,51.92673899999997,23.337850000000003,24.49068800000001,33.36117100000001,24.29688906,45.88822700000002,71.84079619999999,57.20870562,80.446212,51.23557500000001,0.037211958030000006,0.0,0.009198662109999999,0.6058320373999999,5.3487164088,0.013208729999999995,12.0118,-0.03882864999999998,0.027900760999999958,-0.08705343999999997,-0.14608754,-0.06746740000000001,-0.25414034,-0.1938557800000001,-0.05023744,-0.0075936599999999925,-0.005392610000000007,0.002527590000000002,-0.29166752,-0.10095965999999996,-0.02623530999999998,0.002129750000000004,-0.050891670000000035,-0.07023172000000001
9,6.0,2.95899,44.45205100000002,65.03954099999997,30.35677580000001,38.003031999999976,88.23605500000004,50.33683600000001,52.99023100000001,83.467886,67.77116200000002,33.47214800000002,98.396678,44.96965699999997,53.84335499999998,63.79185800000001,44.90910999999999,48.12342900000003,51.527307999999984,53.74264820000001,55.559652,79.41156199999998,67.99425399999998,23.28811868999999,17.43973499999999,37.03668499999999,80.205914,52.93579500000001,169.387674,143.72186800000014,169.99564400000008,72.90347499999999,18.948787,20.100385000000006,22.07396300000001,52.34637819999996,23.90361500000001,25.31289199999999,32.260121999999996,24.271318,46.457760000000036,74.428078,59.64598537000002,77.97968100000003,52.34410399999998,0.06294047134,0.0,0.0,0.62614211988,5.846442202399999,0.015796849999999994,7.97421,-0.04904660999999999,-0.23639923899999996,-0.08813889,-0.02974337,-0.11796946999999998,0.03867589999999998,-0.11360567000000005,-0.04600806000000001,-0.003751899999999993,-0.003182190000000001,0.002782489999999998,0.017830310000000002,-0.06500202000000001,-0.06798505999999999,-0.03352800000000001,-0.10488812000000004,-0.16280696999999994
