,wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Lung_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Fallopian Tube_GTExTPM,Heart - Left Ventricle_GTExTPM,Heart - Atrial Appendage_GTExTPM,Nerve - Tibial_GTExTPM,Esophagus - Muscularis_GTExTPM,Kidney - Cortex_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Mucosa_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Stomach_GTExTPM,Colon - Sigmoid_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Colon - Transverse_GTExTPM,Brain - Cortex_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Adipose - Subcutaneous_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC,BPlabel_encoded
258,49.0,151.61085,0.595,5.89165,14.9237,20.2426,1.43059,10.9522,21.2824,3.18343,5.72355,21.592,6.947019999999999,9.52462,22.2446,3.0251099999999997,21.6522,30.9154,4.81646,35.2712,29.17,3.14931,28.5562,24.7033,16.3305,5.47999,11.2453,31.3066,11.8,8.58419,4.7234300000000005,18.7387,15.2304,10.7034,19.0357,7.98075,9.29025,8.63915,23.9177,35.9306,16.4287,10.9417,9.51725,11.6334,8.456489999999999,11.2331,6.6836899999999995,15.5319,27.2134,9.37301,0.0,0.0,0.0,0.563471615,0.181605380199765,6.67916052,0.29172,6.598269999999999,0.248127,0.209094,-0.84,0.148463,0.139399,0.083035,-0.226671,0.164075,0.114352,0.11163599999999999,-0.212112,0.479519,-0.279879,0.13797,0.124949,-0.28689699999999996,0.22778099999999998,0.038629000000000004,0.303673,-0.17693499999999998,0.15132400000000001,0.510321,-0.36819,-0.09826599999999999,0.146706,0.139261,3
259,149.0,235.93422999999999,0.4266,6.770230000000001,8.36924,19.0937,4.52536,6.1670300000000005,10.1449,3.26058,5.99989,32.2508,21.8897,6.23906,16.9743,6.94354,16.347,9.65142,4.36969,8.04522,7.51422,24.6983,11.9467,19.1215,7.94675,6.68388,2.45396,4.32416,16.749000000000002,10.729000000000001,5.95188,17.5322,12.557,16.3326,7.67519,6.83737,7.40924,7.938860000000001,11.1209,9.62617,8.15013,9.27079,6.12664,15.0825,7.4553199999999995,11.9177,11.9894,24.9875,11.5986,16.4522,0.0,0.0,0.0,0.579714477,0.988642484366364,3.2840122043,0.21097,7.07706,-0.481588,0.204214,-0.38,0.171982,0.129951,0.259248,-0.233429,0.5836600000000001,-0.15791,0.09529800000000001,0.30301300000000003,0.279659,0.34335,0.15944,0.224981,-0.78459,-0.16388599999999998,0.259695,0.271702,0.319569,-1.413361,-0.46901400000000004,0.33267199999999997,0.266878,-0.19531099999999998,0.24714099999999997,2
260,68.0,41.402190000000004,0.359,0.801851,0.7761020000000001,1.92553,0.17297300000000002,4.92163,0.885336,0.453013,0.494738,0.9475020000000001,0.843975,3.09043,0.247975,0.422737,0.9609219999999999,1.17154,0.622558,1.8348099999999998,24.1974,0.496205,3.5012,0.510079,1.03159,0.27608699999999997,0.26077100000000003,0.685413,0.924782,1.6130000000000002,0.8499200000000001,3.71865,4.86245,1.6642700000000001,0.843726,0.298815,0.24215799999999998,0.22260500000000003,0.062227599999999994,1.17297,0.22489800000000001,0.288197,0.189827,0.404783,0.396158,0.86349,0.0746703,0.0643215,0.372113,0.933312,0.49733194799999997,0.0,0.0,0.455463469,4.6383476445277703e-07,3.27505451,1.1346180000000001,10.5511,1.214724,-0.850317,-0.89,-6.6438559999999995,-0.7117760000000001,0.380092,-3.986272,-6.6438559999999995,0.381762,0.46197299999999997,1.057527,0.695259,-0.51941,-0.261447,-0.8997299999999999,0.47498199999999996,0.855685,-6.6438559999999995,0.832889,0.517516,-0.356954,-6.6438559999999995,-0.552024,0.6753140000000001,-2.098843,-0.9478610000000001,2
261,82.0,216.58312999999998,-0.3275,0.0,0.329331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216121,0.0511293,0.0,0.0,0.0,0.907013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358099,0.0,0.0,0.0,0.0,0.0258759,0.0655623,0.151034,0.023752000000000002,0.0,0.162045,0.10684300000000001,0.0517719,0.017193200000000002,0.0222237,0.0,0.0,0.0,0.0588725,0.0,0.0,0.0,0.0,0.22862041,0.0018812415667878,2.99226437,-0.390829,10.4626,-0.24006184999999994,-3.3405774100000047,0.31,2.268513,1.089543,1.508609,2.407436,-0.837109,-1.2954204199999997,-0.5128491200000004,2.088327,-2.7844411700000005,-6.6438559999999995,-0.09857174,0.19238695000000025,-0.046729240000000026,0.3125140799999999,-2.8588009400000014,0.8449509499999996,-1.793917360000001,-3.165579710000001,-0.9245522599999998,-1.4716149300000003,-2.7000396699999976,-1.5480433699999998,4.05879,4
262,1529.0,1247.40878,0.5461,0.0,0.0725216,0.0116083,0.0,0.0116134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015795,0.0629701,0.07708730000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220167,0.038732300000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141248,0.0184717,0.0254492,0.150887,0.0,0.0264277,0.0205528,0.026876799999999996,0.0276152,0.015653200000000003,0.0257913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146139458,0.007572396904589,1.86907763,0.24349261,7.489403499999997,3.049433,-3.3367381800000047,0.61,-4.750312999999999,-0.3633272,-0.24302208000000006,-2.518017019999999,-0.3664197099999998,-0.59154622,-0.5509310000000005,-2.421112340000001,-1.89007961,-2.872086100000003,-0.94746642,0.6774819999999999,-0.031840890000000094,2.0772310000000003,-2.9566540600000017,0.7064560000000001,-1.6816429199999998,-3.2913907900000043,-3.845082930000004,-1.528862310000001,-2.899415759999999,-1.4035322899999998,-1.31073302,4
263,561.0,53.96564,0.4601,3.22776,6.87741,19.3921,7.381810000000001,7.3483,23.6963,13.59,24.0233,20.953000000000003,31.6892,4.463019999999999,95.8704,17.7048,16.9917,37.8625,10.042,12.9561,16.2294,13.6031,35.7079,18.1596,30.9912,4.07201,6.558730000000001,11.7431,65.2582,12.7133,58.6388,15.3619,21.9159,23.3203,30.429000000000002,5.02939,3.50074,18.2975,7.04395,20.8405,3.4788099999999997,11.4807,19.4886,30.2826,14.2992,13.4559,13.0196,41.8323,46.2184,15.3101,0.39536729299999995,0.0,0.0,0.672696948,0.592665483652486,1.90038475,-0.225296,9.719055,0.099855,-0.172312,-0.16,-0.246402,-0.24634099999999998,0.238934,0.965785,-0.180315,-0.16758,-0.20416900000000002,0.123992,0.5026149999999999,-0.338725,-0.133422,-0.393766,-0.135931,-0.289543,0.113554,-0.890166,0.246155,-0.188033,-1.391015,-0.249707,-0.123203,-0.188449,-0.330469,3
264,96.0,48.90667,-0.5545,0.181882,0.5471,1.24747,0.149176,1.32199,4.644909999999999,1.3565,0.965037,1.94075,0.890048,2.10473,3.64135,0.356114,4.02766,2.01036,0.383577,0.783291,1.49021,4.75542,4.95209,3.97511,1.15045,0.00485294,0.252327,0.886792,1.21656,2.8392,0.758606,1.41557,2.6686,1.1503700000000001,1.3869999999999998,0.905014,1.01001,11.8297,6.469519999999999,0.5715859999999999,1.38525,1.60629,7.5298,0.712576,1.00627,2.58744,0.042647199999999996,0.012197399999999999,2.13595,1.8853799999999998,0.0,0.0,0.0,0.80871886,0.9984853506139821,2.99056035,0.122678,8.203380000000001,0.358095,0.347559,-0.98,0.457556,-0.343694,0.28180900000000003,1.599432,0.217354,0.195191,0.29884,-1.4660520000000001,1.111184,3.044109,-1.4179059999999999,0.398156,0.217548,-0.37289,-0.591251,0.7571399999999999,-2.675056,-1.612042,-0.9671860000000001,0.391398,0.357248,-0.357471,-0.362294,2
265,166.0,1086.9460800000002,-0.2903,1.52381,0.522335,0.021948,1.43363,0.364036,0.16086,0.125328,0.0398338,0.134328,0.022678200000000003,0.308359,0.19250699999999998,0.0879177,1.5748799999999998,4.56696,0.00891402,0.266338,0.021999200000000003,1.75341,1.09689,0.419225,0.07572100000000001,0.0,0.587145,0.08815060000000001,0.44243599999999994,0.0616889,0.18208,0.177333,0.252619,0.256337,0.06204969999999999,0.43783599999999995,0.33084600000000003,0.36682800000000004,0.0968741,0.288281,0.238839,0.9114680000000001,0.299144,2.99149,1.20995,0.61949,0.0335883,0.0101761,0.781679,0.282543,0.0,0.0,0.957427108,0.527515531,4.167250187608179e-31,0.0,0.767895,7.93445,0.350224,-1.6835669999999998,0.76,-1.2998049999999999,-6.6438559999999995,-0.890287,-0.44011000000000006,0.362302,-1.6586580000000002,-0.966776,0.479216,0.312625,-0.49981899999999996,0.978309,-0.633193,-0.908256,-0.7405189999999999,-0.429622,-0.499234,-0.8420280000000001,1.298462,-1.2423030000000002,-0.597108,-0.6262778999999997,0.653159,-0.286511,2
266,745.0,40.97898,-0.5346,0.903553,1.43445,2.89018,0.721368,20.4521,11.0839,2.14804,4.139390000000001,14.7356,5.22015,7.70252,4.76808,0.885387,1.64713,2.78397,1.7255599999999998,3.0338700000000003,1.38829,18.0719,18.915,8.666839999999999,6.652889999999999,0.0185304,0.549234,2.61292,9.56809,7.66794,2.37502,15.9748,25.4196,19.1102,6.50174,7.51243,10.8531,1.2555399999999999,55.9632,3.5951199999999996,10.6748,4.268330000000001,1.4073200000000001,9.55194,3.06771,3.9649400000000004,0.510758,0.0230582,18.5861,7.268789999999999,0.0,0.0,0.0,0.54646343,0.730656355381448,2.96331746,-1.126097,8.5856,-1.1474790000000001,0.491284,-0.73,0.659449,-0.13308399999999998,-0.22209600000000002,-0.753628,-1.308227,0.6451279999999999,0.403133,-1.983084,-1.9944979999999999,0.574886,0.468075,-0.079356,-0.118672,0.24784299999999998,-0.805537,-0.114601,-1.793019,0.149702,0.700888,-0.974146,1.109381,-6.6438559999999995,-2.249541,1
267,597.0,1899.16799,-0.4488,1.62575,1.19935,7.43953,0.732066,3.9078199999999996,9.08769,30.7248,22.7791,8.38602,34.5142,2.2324599999999997,6.21667,1.1147200000000002,2.5975599999999996,6.3285,1.50722,14.8918,2.51811,0.91261,6.20424,9.66438,4.05576,0.0593866,4.37511,1.9074200000000001,28.2377,8.87904,0.6626569999999999,47.5316,46.6544,66.0557,4.3514800000000005,1.3928,1.07827,1.85775,5.88695,22.6499,0.983381,1.37352,1.52935,1.00443,1.11657,6.837039999999999,1.20246,0.0277649,11.0153,11.923,0.0,0.0,0.957427108,0.7462295290000001,0.10661209599609599,1.99962367,-0.283882,5.45136,-0.32268,-6.6438559999999995,-1.1,-0.452637,0.46552200000000005,0.597113,-0.9359629999999999,0.37354,0.468743,-0.464855,0.2842,0.482466,0.341451,-0.296415,0.17591700000000002,0.12858699999999998,0.66835,0.928884,0.382535,2.356402,-6.6438559999999995,1.021462,0.22002399999999997,0.107181,0.25307399999999997,1.2769,2
