wgEncodeBroadHmmHuvecHMM.count,GDI_Score,betamax,Muscle - Skeletal_GTExTPM,Minor Salivary Gland_GTExTPM,Lung_GTExTPM,Liver_GTExTPM,Kidney - Medulla_GTExTPM,Fallopian Tube_GTExTPM,Heart - Left Ventricle_GTExTPM,Heart - Atrial Appendage_GTExTPM,Nerve - Tibial_GTExTPM,Esophagus - Muscularis_GTExTPM,Kidney - Cortex_GTExTPM,Ovary_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Mucosa_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Stomach_GTExTPM,Colon - Sigmoid_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Colon - Transverse_GTExTPM,Brain - Cortex_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Adipose - Subcutaneous_GTExTPM,mousescore_Exomiser,fishscore_Exomiser,humanscore_Exomiser,HIPred,pLI_ExAC,SDI,Testis_GTExFC,SignalValue_H3k4me1_median,Pituitary_GTExFC,Small_Intestine_Terminal_Ileum_GTExFC,RVIS_Score,Prostate_GTExFC,Brain_Frontal_Cortex_BA9_GTExFC,Brain_Cortex_GTExFC,Brain_Hypothalamus_GTExFC,Brain_Nucleus_accumbens_basal_ganglia_GTExFC,Colon_Transverse_GTExFC,Skin_Not_Sun_Exposed_Suprapubic_GTExFC,Brain_Caudate_basal_ganglia_GTExFC,`Brain_Spinal_cord_cervical_c-1`_GTExFC,Brain_Anterior_cingulate_cortex_BA24_GTExFC,Skin_Sun_Exposed_Lower_leg_GTExFC,Brain_Cerebellum_GTExFC,Nerve_Tibial_GTExFC,Breast_Mammary_Tissue_GTExFC,Brain_Hippocampus_GTExFC,Brain_Cerebellar_Hemisphere_GTExFC,Brain_Substantia_nigra_GTExFC,Colon_Sigmoid_GTExFC,Ovary_GTExFC,Stomach_GTExFC,Lung_GTExFC,Artery_Coronary_GTExFC,Brain_Putamen_basal_ganglia_GTExFC
280.0,407.27264,-0.4145,1.15933,0.0720083,5.5863,0.0836391,0.739279,1.70193,0.967023,1.51789,5.19364,0.537444,0.455654,0.686187,0.187323,74.0619,3.42677,0.12661,1.5584,0.202676,1.04186,7.07713,2.25624,2.05341,0.0134976,10.09,6.49074,1.45088,0.524966,0.374595,0.120094,0.212239,0.189693,0.398914,6.93692,14.5522,9.76299,106.125,1.12481,30.0186,10.1244,10.187,9.74942,5.38241,1.65406,0.0113234,0.0179703,8.81591,0.344894,0.0,0.0,0.0,0.771454096,3.938723405991531e-15,3.63608214,0.534513,6.98143,-1.837408,0.548255,-2.09,1.293365,0.326554,0.274796,0.575179,0.582739,0.498882,1.735174,0.470007,0.801624,0.437944,1.731966,0.302197,0.737976,1.145373,0.405074,0.298729,0.715841,0.758276,0.924459,0.559931,-1.058049,3.160413,0.574311
56.0,117.11773,0.4561,16.1667,4.15827,6.55882,8.69046,4.51777,18.294,8.40668,7.48648,7.77437,13.0768,1.05469,7.75639,2.38603,2.37503,5.13089,1.44118,1.92401,1.78365,0.506314,8.48129,21.8175,5.20997,0.0161073,1.27613,2.04671,8.26246,12.8344,2.63463,5.99089,7.70878,12.8141,5.66832,1.91818,2.25337,2.26524,0.382471,3.21715,1.90986,1.18345,1.54357,1.0159,1.40359,10.0998,16.5493,0.0393093,11.3598,16.971,0.884429274,0.0,0.0,0.670620084,0.0007005429023646,4.77784717,-0.242594,4.11477,0.568715,1.762772,-1.97,-0.972996,-0.317595,0.250539,-0.478721,-0.469268,-0.619337,0.364388,0.50041,-0.481913,0.314485,0.556739,-1.363194,0.163588,0.937921,-1.662892,-0.707662,-3.589953,0.667657,0.334298,-0.370917,-0.216938,0.429516,0.360312
1.0,1512.78445,0.17564600000000002,52.81856860000003,43.68428700000002,66.52473099999996,20.17597529999999,37.62741799999998,86.97721700000002,49.170144000000036,50.21419200000001,86.152552,70.473955,31.264591000000006,97.10066200000003,43.87277799999998,46.145575999999984,62.399447,45.408931999999965,48.38240700000003,50.639191000000004,50.99175329999999,55.690492000000006,80.70653799999997,67.592368,20.187106029999992,16.220984199999997,36.26879299999998,83.803718,55.616808999999996,41.33713999999999,167.47291900000005,138.5252820000001,164.1693840000001,73.77942499999997,18.883487999999996,19.644643000000002,22.376597,42.18952009999999,51.86611919999999,24.092262000000016,24.747766999999996,20.09618099999998,32.43756000000002,24.08926399999999,46.07276800000003,77.17766599999999,47.445150919999996,76.833453,50.61435699999999,0.02690631704,0.0,0.0,0.5252862832900003,0.17743043894552257,3.7895709565999987,0.009596189999999994,7.9739462,-0.06351903999999997,0.04754491000000002,0.16720076099999998,0.021222779999999986,-0.03293260999999996,0.06304823,0.06035704000000003,0.038512470000000035,-0.061870629999999954,-0.062223130000000036,0.059786880000000035,0.10814608999999999,-0.09701376,-0.025919219999999993,0.022370409999999997,-0.0016492999999999963,-0.032092539999999996,0.13478445000000006,-0.0019763699999999942,-0.06939311,-0.036265349999999995,-0.037941559999999985,-0.048491469999999995,-0.015449349999999988,-0.20684521,-0.09928565000000004
357.0,12.38694,-0.438,66.05493300000008,43.03292400000001,66.18973899999997,23.115720300000007,39.49486199999998,86.895195,53.75953500000002,55.529925999999996,85.227697,68.26523400000002,31.267977000000002,95.17554799999999,50.068030999999955,53.302995999999986,63.07833300000002,46.63773399999998,47.85683100000003,56.510015999999986,53.26840419999999,55.85080600000001,80.08276699999999,69.01493799999997,24.533215489999993,17.299570299999992,37.70838899999999,80.17879199999999,56.95844600000001,44.150011999999975,166.810625,144.49516700000007,174.68200400000012,73.02879799999997,19.185356999999996,20.05414200000001,22.578272000000005,46.440627299999996,52.63783,23.221300000000006,24.869984000000002,20.429309999999976,33.34253200000003,24.716144999999994,45.727348000000035,76.41151409999999,65.06780880000001,79.74892800000002,50.692146,0.046770429149999994,0.0,0.0,0.66196403193,0.583870721418757,6.004860433999998,0.06130770000000001,9.414015499999996,-0.008142700000000008,0.08996378000000003,-0.260099239,0.03829364000000001,-0.020867459999999984,0.013552939999999998,-0.012244900000000003,0.008250500000000011,-0.07586433999999997,-0.07452954,-0.026011299999999994,0.011669990000000005,-0.09594524000000001,-0.04590432999999999,-0.03398215999999999,0.010002399999999996,0.005666420000000002,0.10439168000000003,0.01195567,-0.12419689000000002,-0.028707719999999996,-0.04497038999999997,-0.0033441899999999956,-0.021824839999999998,0.0007095999999999964,-0.09644622999999998
24.0,1095.24097,0.6259,66.24918800000006,43.05291800000002,63.10297899999998,22.406184199999995,38.57379199999998,84.45694300000007,50.49796000000002,53.34719199999999,89.23995200000002,83.89078499999998,31.915250999999994,91.59605500000002,44.77376499999998,47.369899000000004,62.937462,44.45555499999997,49.08417400000004,49.709413,53.41832020000002,55.140288999999996,80.18420599999999,67.82962399999998,21.56782758999999,16.299098399999995,38.293151999999985,86.54835200000001,50.92632799999999,41.505766999999985,169.958259,143.39816100000007,167.2520340000001,72.89287399999996,18.864659999999997,20.44870700000001,22.333662,51.446480300000005,53.39940499999999,26.071631000000014,25.839332999999993,20.258173999999986,32.134338000000014,23.97602899999999,46.17622700000003,72.75408499999999,55.95372517999997,77.73461,52.36019899999999,0.037196092630000004,0.0,0.00816284141,0.6299142466600001,0.4830866977794266,5.095688552699999,0.03760429000000001,7.723336550000002,-0.013165340000000003,0.027007710000000004,-0.061699238999999996,0.04626471000000001,-0.034356809999999974,0.036123129999999996,-0.02303177999999999,0.033510660000000005,-0.07609291999999995,-0.061720820000000017,0.028918239999999998,0.0033807100000000077,-0.09531811999999999,-0.010734379999999998,0.034235789999999995,-0.015228149999999996,0.003156830000000003,0.03735821,0.027147280000000013,-0.04229036999999998,-0.0622454,-0.09590313000000002,-0.029032930000000005,-0.023626650000000006,-0.01798369999999999,-0.12489775000000003
966.0,332.05359,0.4141,66.07875800000006,42.11874500000002,65.60053799999997,21.488899599999996,38.983686999999975,84.62061399999999,55.45205200000002,54.73110899999999,79.580861,66.98695400000001,32.14244600000001,87.513438,46.336204999999964,54.785634,62.002722000000006,46.646755999999975,48.325284000000046,49.49803999999999,53.8553062,54.875509,76.411098,65.53948899999999,22.1050321,16.285009199999998,37.48555599999999,71.87210399999998,55.163428999999994,43.60371499999999,172.06532300000003,144.01643700000002,166.8585840000001,69.40604099999997,19.234241999999995,20.132684000000005,22.683162000000003,43.04934439999999,51.09496199999999,24.456011000000018,25.399354,20.600451999999976,32.119970000000016,23.87300099999999,46.09734900000003,84.82392509999998,60.16013505999999,74.68102900000001,51.240393,0.029099211279999995,0.0,0.01877293319,0.6388836880300001,0.5257249304947573,5.0237828010999985,0.07808919000000002,8.403876699999994,-0.07905193999999996,0.07674511,-0.18999923900000001,0.040508869999999975,0.022612099999999996,0.013268870000000004,-0.13260600000000006,0.009214220000000004,-0.05225138999999998,-0.07087861999999999,0.014630870000000008,0.037842070000000005,-0.08597034999999996,-0.03896292000000001,0.002638910000000002,0.013698279999999997,0.009695970000000002,0.09029281999999995,-0.03314812999999999,-0.17235741000000013,-0.040844370000000005,-0.02476202,-0.015048130000000003,-0.028548650000000002,-0.025450239999999985,-0.12035177999999998
162.0,371.98567,-0.2965,60.861370100000066,42.37396300000001,65.42737499999997,20.551184799999987,36.20984899999998,83.42495900000002,54.514626000000014,53.558323,80.72057899999999,62.20889300000002,26.818073999999996,86.360947,44.462838999999974,46.843679,62.86871600000001,45.85055999999996,48.41009000000004,50.49342199999999,52.224483199999995,55.54934399999999,77.76041499999998,67.80474999999997,23.5566417,16.074354,36.00228899999998,70.09158099999996,52.716882999999996,40.86526599999999,166.72250499999998,141.94187600000006,165.54734400000012,70.092732,19.164219999999997,19.415950000000002,22.559947,41.608853099999976,49.58970719999998,23.378387000000007,25.174495999999994,20.273119999999977,32.837733000000014,24.332713999999992,45.634041000000025,76.19328369999998,56.59615948999997,79.57006200000001,50.143001,0.02395680746,0.0,0.0,0.63663505329,0.44761290325792863,5.078154501299997,0.06409236,8.472280449999992,-0.012403380000000004,0.06478504999999997,-0.163099239,0.020399979999999998,-0.01868216,0.018290510000000003,-0.011248080000000008,0.048710220000000005,-0.07101336999999998,-0.06979332,0.004520489999999996,0.08325803999999999,-0.11236873999999998,-0.041932470000000006,0.006931379999999998,0.00849891,0.01291758000000001,0.08821923,-0.008829629999999995,-0.09015417999999999,-0.02591038000000002,0.004702549999999997,-0.005885940000000001,-0.01735420999999999,-0.029491479999999994,-0.11102780999999996
290.0,0.61257,-0.2878,73.86831500000002,43.21780800000003,71.53296899999998,26.82682260000001,41.372566000000006,91.70003999999999,59.88848900000002,56.795436999999986,84.575628,68.84028999999998,33.625376,112.179277,52.473709999999976,53.21854200000001,63.27146000000002,47.260231999999995,47.32108800000004,66.27750099999997,54.5901453,55.786882000000006,82.01934899999998,69.67327099999997,25.724099719,18.219564599999995,42.601955999999994,79.58456299999999,55.91560600000002,49.04612399999999,162.75940200000002,146.81310500000012,173.78414400000008,77.37525199999996,19.560611500000004,20.075174000000008,21.783287000000005,46.46981229999999,54.59657499999997,22.893751,24.70397100000001,19.76482899999998,33.87003700000002,25.622230060000014,46.051151000000026,74.11462109999997,66.41050577000003,81.02489000000001,52.720832999999985,0.07101527191,0.0,0.03792147535,0.6536921230599999,0.5565152104699096,7.075056962299999,0.0072773399999999985,12.7035,-0.051891419999999966,-0.16058113000000007,-0.283099239,-0.07113613999999999,-0.20231327,-0.09460127,-1.2458154100000003,-0.25678305,-0.11806440000000004,-0.09533725999999997,-0.10477906,-0.9877906299999998,-0.15659152000000007,-0.038660450000000006,-0.025688279999999997,-0.040404480000000007,-0.012450300000000004,-0.11787687,-0.2761737200000001,0.000163320000000019,-0.027321269999999995,-0.09123972999999998,-0.04560214999999995,-0.002964510000000005,0.031515209999999995,-0.13045734999999994
104.0,1535.52979,-0.3792,55.18973260000004,42.52017400000002,69.68136899999996,22.080184399999997,39.569289999999995,87.32600600000002,53.18193800000002,52.618750999999996,81.93422300000002,70.231743,31.634587000000014,97.73884600000001,48.00535699999997,47.978289999999994,62.558600999999996,45.207928999999986,48.18765800000002,55.6088699,50.575186599999995,56.44139,81.20732399999999,69.34230399999997,24.587886030000004,16.279350100000002,35.82501899999998,76.13946899999999,57.33987300000002,41.35030799999998,162.183688,134.79137300000008,164.6886240000001,74.79842899999997,19.0180215,19.710240000000002,22.667084000000003,44.778744399999994,51.92673899999997,23.337850000000003,24.49068800000001,20.609164999999983,33.36117100000001,24.29688906,45.88822700000002,71.84079619999999,57.20870562,80.446212,51.23557500000001,0.03721195803,0.0,0.00919866211,0.6058320373999999,0.39371860464877506,5.3487164088,0.013208729999999995,12.0118,-0.03882864999999998,0.07508056999999996,0.027900760999999955,0.04589902999999999,-0.08705343999999998,-0.026347619999999995,0.44334964000000016,-0.14608754,-0.06746740000000001,-0.08350944000000002,-0.04046344000000003,-0.25414034,-0.19385578000000006,-0.050237439999999994,-0.007593659999999992,-0.005392610000000007,0.002527590000000002,-0.13814713,-0.29166752,-0.10095965999999996,-0.02820346,-0.02623530999999998,0.002129750000000004,-0.013960500000000002,-0.05089167000000003,-0.07023172000000001
6.0,2.95899,-0.3115,57.77160600000003,44.45205100000002,65.03954099999997,30.35677580000001,38.00303199999998,88.23605500000004,50.33683600000001,52.990231,83.467886,67.77116200000002,33.47214800000002,98.39667800000001,44.96965699999997,53.84335499999998,63.79185800000001,44.90910999999999,48.12342900000003,51.527307999999984,53.742648200000005,55.559652,79.41156199999999,67.99425399999998,23.28811868999999,17.43973499999999,37.03668499999999,80.205914,52.935795000000006,42.484972,169.387674,143.72186800000011,169.9956440000001,72.90347499999999,18.948787,20.100385000000006,22.073963000000006,45.78869419999997,52.34637819999996,23.90361500000001,25.31289199999999,20.348511999999985,32.260122,24.271317999999997,46.457760000000036,74.428078,59.64598537000002,77.97968100000003,52.34410399999998,0.06294047134,0.0,0.0,0.62614211988,0.45169435710575245,5.846442202399999,0.015796849999999994,7.97421,-0.04904660999999999,0.043048030000000015,-0.23639923899999993,-0.002458810000000019,-0.08813889,0.05194008999999997,-0.007106709999999993,-0.029743369999999998,-0.11796946999999998,-0.07042697000000002,-0.0023282899999999937,0.03867589999999998,-0.11360567000000006,-0.04600806000000001,-0.0037518999999999925,-0.0031821900000000014,0.002782489999999998,0.09531881000000007,0.017830310000000002,-0.06500202000000001,-0.06291596,-0.06798505999999999,-0.03352800000000001,-0.02124544,-0.10488812000000003,-0.16280696999999994
