wgEncodeBroadHmmHuvecHMM.count,IPA_BP_annotation,IPA_Activity,GDI_Score,betamax,Fallopian Tube_GTExTPM,Nerve - Tibial_GTExTPM,Heart - Atrial Appendage_GTExTPM,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Kidney - Medulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Minor Salivary Gland_GTExTPM,Muscle - Skeletal_GTExTPM,Ovary_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Esophagus - Muscularis_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Whole Blood_GTExTPM,Pancreas_GTExTPM,Esophagus - Mucosa_GTExTPM,Vagina_GTExTPM,Colon - Transverse_GTExTPM,Adipose - Subcutaneous_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Brain - Cortex_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Cervix - Endocervix_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Colon - Sigmoid_GTExTPM,Brain - Substantia nigra_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Hypothalamus_GTExTPM,Breast - Mammary Tissue_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,humanscore_Exomiser,mousescore_Exomiser,fishscore_Exomiser,HIPred,pLI_ExAC,SDI
56.0,1.0,1.0,117.11773,0.4561,18.294,7.77437,7.48648,8.40668,1.05469,4.51777,8.69046,6.55882,4.15827,16.1667,7.75639,3.27033,2.37503,5.13089,13.0768,1.92401,1.78365,2.04671,0.506314,8.48129,21.8175,0.0161073,1.27613,1.44118,5.20997,3.21715,16.971,2.63463,5.99089,7.70878,12.8141,5.66832,1.91818,2.25337,2.26524,0.382471,1.90986,12.8344,11.6318,0.0393093,16.5493,8.26246,1.40359,1.0159,1.18345,10.0998,1.54357,0.0,0.884429274,0.0,0.670620084,0.000700543,4.77784717
1.0,0.0,0.0,1512.78445,0.22627100000000008,63.663033999999996,71.500661,1205.0711259999998,177.42096899999993,34.86791700000002,45.3848,39.92965129999999,71.43136699999997,43.57252100000001,151.9888874,63.76869499999998,62.910263999999955,45.290742,63.938018999999976,55.06680100000004,44.57588500000004,55.07436500000001,43.755541999999984,75.29285580000001,57.222257,84.93218299999995,25.732748399,21.262130499999998,57.135949000000004,74.044371,49.316074999999984,54.60260119999999,52.881486,116.87823599999996,94.13843900000002,95.37302899999999,70.05386599999997,17.487331999999988,18.23337,21.589813,39.52411169999998,22.203730999999994,66.40480299999996,88.54756200000001,66.93058492800003,89.70161459999997,61.893027999999994,17.795344000000004,24.53909300000001,21.742866000000014,51.944008000000004,18.320134999999997,0.12358327431999996,0.0,0.0,0.5531404245800002,0.2745275328415999,5.543528702599998
357.0,0.0,0.0,12.38694,-0.438,53.14850800000002,57.161143,27.20627370000002,18.802165700000018,30.66607700000001,35.72292499999999,19.277058549999992,57.13473799999996,37.565871,42.823267600000015,46.69547169999997,49.042843000000005,42.87154350000002,50.40948399999999,43.78882200000004,44.67697100000004,55.61089799999996,37.38585399999999,55.25208319999999,54.80549300000001,55.51155999999999,23.977726029,15.691581,48.284272,55.72623300000002,44.82722400000001,49.64753600000002,57.75003100000001,95.84492599999994,83.22045499999996,68.02653900000003,52.880705,17.835601999999998,19.251249,22.366750000000007,45.49548569999999,23.395064999999992,50.72860600000002,60.512432,63.34203282000002,59.586564300000006,50.42022799999999,16.7463824,20.022855999999987,21.614495000000016,48.025348000000015,20.377958999999997,0.04712013746,0.030734570960000002,0.0,0.61992011568,0.4024108691656817,4.555437302599999
24.0,0.0,0.0,1095.24097,0.6259,56.754333000000024,66.10045099999999,47.74321600000002,45.828852000000005,32.45350500000003,42.103524,26.06918987000001,65.40501199999999,40.925726,63.865211900000034,46.93000399999997,58.056147,41.04287500000002,58.493334999999995,46.10749300000004,44.770342000000035,50.86728599999996,34.898852999999974,54.4836784,54.51005799999999,73.41807499999999,23.327057198999995,15.780008000000004,49.503456,65.703339,47.20058099999999,51.29288520000001,50.661508999999995,104.319225,88.63093499999997,75.08601600000003,63.06628599999997,17.63507499999999,18.338713000000002,21.57644599999999,38.927237500000004,24.338738000000006,57.74311499999999,83.63811,59.35230302000001,70.40209489999998,58.50872999999999,17.493804000000004,24.350366000000022,22.15417900000001,50.433434,18.914853,0.01566886955,0.00955764802,0.0,0.23358207127000022,0.14220453847080003,4.956339956099995
966.0,0.0,0.0,332.05359,0.4141,51.977928,59.661337,50.751632000000015,59.39211400000003,34.84558100000002,38.649304,23.84021227,57.323767,40.214861,64.34460400000002,44.64137769999996,54.58177099999998,38.080738000000025,51.142040000000016,45.68142200000004,45.23319800000003,54.12996599999996,34.978698999999985,47.344997199999995,54.032404,54.506277999999995,22.39751379999999,14.652298799999997,50.474785999999995,57.91578100000001,45.76210700000001,50.37778600000001,44.59227699999999,102.96132699999998,86.80096899999995,70.064644,56.160460999999984,17.862583999999995,19.190429,22.445050000000002,41.05347149999999,22.885672000000003,58.44950899999994,59.24781200000001,57.17624366000002,67.37536804,49.76074399999999,16.833708000000005,22.141690000000008,21.874351000000004,47.49949400000001,18.982579999999995,0.12296308816,0.012686169870000001,0.0,0.5647500223199999,0.30382193059193396,5.768113877599997
162.0,0.0,0.0,371.98567,-0.2965,49.97326000000004,60.695584,47.79638100000001,56.627654500000034,26.826481000000022,35.734878,20.237159500000004,61.52730099999998,39.277502,51.55594470000001,44.397520999999976,52.30130999999999,39.75260400000001,51.755600000000015,46.16639400000005,43.85349300000005,60.130836999999964,34.77591699999999,46.182618100000006,54.88661400000001,54.543051,21.97257197,14.2650863,48.99269900000001,58.74122100000002,46.077459999999995,51.49423520000001,60.01866000000002,100.18161699999997,89.73504699999995,72.73139900000004,56.616938999999974,16.999514599999994,17.573102000000002,21.176012999999994,35.453214700000004,21.84124800000001,55.951985000000015,60.642610999999995,52.93770178,59.027840700000006,49.65754899999998,16.893739000000004,21.6621,19.72310600000002,47.44077900000002,17.92352099999999,0.02872281324,0.0,0.0,0.30106028688,0.05638909417910724,4.148420932199998
290.0,0.0,0.0,0.61257,-0.2878,52.136023000000016,57.70087899999999,26.910678700000016,18.954221700000016,32.22622300000001,36.26843599999999,20.13961597999999,53.27319699999998,38.13389600000001,42.43548370000001,45.54983469999995,50.719829,41.97178000000004,50.95350499999999,44.173691000000034,44.18759300000005,55.50266599999997,33.821894999999984,54.85322379999999,54.06440400000001,54.515266000000004,20.93573705799999,16.037180699999997,48.42786400000001,56.25914500000002,44.900933,49.92353300000003,40.0805305,95.49178799999996,80.90818499999996,68.13030800000003,53.05718499999998,17.732188999999995,18.89367,22.253150000000005,43.592018500000016,23.065209999999993,48.156465000000004,58.78809000000001,63.25213876800002,74.22561529999999,50.82610499999998,16.912929000000005,20.88726999999999,21.312389000000017,47.82937400000004,20.09040499999999,0.00957427108,0.0,0.0,0.5145850655900002,0.23883122207207072,4.427407418199999
104.0,0.0,0.0,1535.52979,-0.3792,52.76541900000003,61.324178999999994,49.05840600000001,54.720245000000006,27.493413000000018,36.112866999999994,18.621028369999998,64.277069,40.432854000000006,47.81609130000002,45.744624699999974,52.63805399999998,40.45420100000002,52.104394,45.915531000000044,43.187176000000036,49.947110799999976,35.01953699999998,48.51825889999999,56.487856,61.89284900000001,22.195786969999993,14.760462400000002,49.57963800000002,58.48604300000002,46.964389999999995,51.281363200000015,56.43003200000001,102.58662199999993,90.73295799999997,72.09168800000003,59.972859999999955,16.985957599999992,17.517917999999998,20.835499999999993,37.6598503,21.41296700000001,56.21571800000002,63.542463000000005,56.65510482999999,59.94895520000002,54.639981,16.8172124,21.603571999999996,20.15932300000002,47.964161999999995,17.936501999999994,0.0,0.0,0.0,0.31335329580000015,0.04912554598930001,4.135672210699998
6.0,0.0,0.0,2.95899,-0.3115,52.06638700000001,61.35194499999997,46.33447900000001,43.9187555,31.230355000000014,38.73237200000001,22.680323569999995,60.46550599999996,38.735097,48.11300540000003,46.03837069999995,53.443455,42.634271500000025,53.051134999999995,46.088265000000035,45.486250000000055,58.40285899999997,34.03741499999998,69.16765869999999,53.863444999999984,58.54223600000001,25.540105728999997,16.689670399999997,48.59991200000001,57.81222,45.813590000000005,50.812588000000005,40.45442549999999,109.93859199999996,90.07175099999999,76.79455100000004,56.810462999999984,17.40006799999999,18.197877999999992,21.329122999999996,47.04306059999999,23.813796999999987,53.34037300000002,61.94914300000002,71.88862826800002,79.638254,53.405082999999976,17.050742000000007,21.46026299999999,20.515344000000024,48.01870700000002,19.422355999999994,0.00957427108,0.0,0.0,0.48799167193000037,0.25643312445439986,4.3625845107
1399.0,0.0,0.0,12.51592,0.4977,52.40387700000001,64.65795999999999,51.20354900000001,60.434485,35.84973400000002,40.743201,25.546306870000002,59.48096899999998,40.911657999999996,68.44455060000004,46.838928699999954,57.0807,40.59549100000002,56.07181599999999,45.644657000000045,45.105130000000045,50.972415999999946,36.57087999999998,51.358706899999994,53.400836999999996,57.477596999999996,22.865636928999994,16.432173099999996,49.033125999999996,61.16711400000002,46.441233999999994,50.63433720000001,51.55217800000002,100.682115,88.73029699999995,70.26366800000001,55.18242600000001,18.225137999999994,19.543028000000003,22.481535000000004,44.16176540000001,23.665906999999994,60.02872899999998,59.20806800000004,61.43526706800002,88.64416443999998,50.45483399999999,17.336197000000006,22.359050000000007,23.163405,50.21211100000001,20.116787999999996,0.14864605691,0.02784779298,0.0,0.54692573611,0.27638185812574156,5.013923119999998
210.0,0.0,0.0,171.18661,-0.3834,49.298503000000025,60.77760199999999,48.88717700000001,57.14847400000002,26.640154000000024,35.55107799999999,19.56076224,60.40170999999999,39.31747900000002,51.850089900000015,44.031624999999984,50.96806599999999,39.16200300000002,51.46549200000001,46.106399000000046,44.225464000000045,58.204777999999976,36.062587999999984,44.91423389999999,55.335129000000016,55.20284299999999,23.664452469999997,14.098948400000001,48.21824900000001,58.06063400000002,46.399870999999976,50.10766520000002,56.64272800000001,101.41924999999993,89.61716599999995,71.90098300000005,57.000155999999976,17.071895599999994,17.484242999999996,21.241354999999988,37.0312701,21.837513000000012,54.81147000000001,61.72008500000002,52.48122101999999,58.605879300000026,49.64244599999998,16.7544794,20.99663099999999,20.43222800000002,47.60312600000002,18.165806999999994,0.01914854216,0.01028480764,0.0,0.34511771902000016,0.07182924278332926,4.448756831599997
261.0,0.0,0.0,4573.51533,-0.4349,57.751153000000016,64.86901899999997,50.21449200000003,61.81071399999999,30.734118000000002,38.83582099999998,20.898817639999997,66.83047299999998,42.697287,67.42913180000002,49.33444069999995,59.78822199999997,44.809166000000026,59.63776899999999,46.76491900000006,45.14996700000004,50.64739199999998,38.75167699999998,59.75791689999999,56.37868,69.310494,25.54557569,17.25950990000001,50.16157200000001,65.40423999999999,47.39400400000002,51.16357100000002,106.80392099999999,102.52874299999996,89.27643199999997,75.46057400000001,63.013204999999964,18.01262999999999,19.376338000000008,21.756098000000005,46.85106920000001,22.553097,58.671583,69.83840099999999,57.61152526800003,70.69644350000002,56.775374,17.3515674,22.954323,22.201624000000017,50.63561199999998,19.037080999999997,0.046630023849999994,0.038519650180000004,0.0,0.5601742254700002,0.2809395486594151,6.452101951499997
21.0,0.0,0.0,31.18816,-0.229,52.48472500000002,61.01179599999998,41.10384000000003,40.73427499999998,32.586901000000005,39.51636999999998,23.469463299999994,63.38049699999997,39.84141800000001,44.90485620000001,46.910132699999956,51.66144199999998,41.386384000000014,52.98750799999999,46.69661600000004,46.17158000000005,58.03712399999998,37.06723499999999,59.1368286,54.174579,57.840429000000015,19.98599659899999,18.026727099999995,48.472626999999996,58.68827900000001,47.170176999999995,49.6207802,45.837275999999996,107.84174699999996,93.51852699999999,81.81733600000005,58.959618999999996,17.707452599999993,18.772894000000004,21.967546000000002,41.2052682,22.962761,53.30980600000001,61.87980699999999,60.79748446800003,74.969101835,53.655222,17.389468000000004,22.356501999999995,21.422545000000014,47.448551000000016,19.290190999999997,0.02872281324,0.00994663896,0.0,0.146139458,0.050466464,3.1522054807999997
846.0,0.0,0.0,3024.54248,0.4032,56.482619000000014,66.993107,52.36181600000002,60.365350000000014,36.00113600000002,41.69186899999999,26.218331869999982,69.93370300000001,42.108168,72.9205677,48.01706769999996,60.993558999999976,40.57210500000002,58.29795300000001,46.43175300000005,45.303282000000046,49.61263799999996,39.791410999999975,52.21214219999998,55.816691,64.91011,22.77709275999999,17.4206302,51.11999200000001,66.27501699999999,48.13164199999999,52.43395120000002,108.64459499999997,106.64034799999996,88.95306799999997,73.81141300000002,61.921220999999974,18.08919999999999,20.01853400000001,22.264345000000006,46.18157220000002,22.302181000000008,65.14989299999999,63.439719000000004,57.21430897800002,74.5949285,56.875414000000006,17.831928000000005,24.55994000000001,24.158623999999996,51.02535999999999,19.34254,0.15625491601,0.01617127199,0.0,0.541585525,0.24248220557141395,5.996227428799998
